PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
101139,2005,00,1610612762,UTA,19.0,23,0,203.0,28,76,0.368,5,20,0.25,18,24,0.75,18,20,38,16,7,2,9,20,79,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,387,369,360,,220,221,,344,350,,324,391,374,340,361,365,393,364,376,,,,,,,,,,,,,,,,,,,,CJ Miles
101139,2006,00,1610612762,UTA,20.0,37,13,373.0,40,116,0.345,7,32,0.219,14,23,0.609,11,24,35,25,11,4,28,60,101,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,349,348,339,,225,220,,367,359,,363,378,379,321,340,322,324,349,381,182.0,172.0,182.0,,97.0,130.0,,150.0,143.0,,159.0,175.0,178.0,165.0,151.0,126.0,160.0,177.0,177.0,CJ Miles
101139,2007,00,1610612762,UTA,21.0,60,13,689.0,113,236,0.479,30,77,0.39,41,52,0.788,16,62,78,53,32,8,27,98,297,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,293,263,274,,163,175,,268,281,,331,306,320,262,219,268,313,267,274,161.0,146.0,141.0,,77.0,83.0,,162.0,165.0,,145.0,148.0,154.0,165.0,107.0,131.0,138.0,149.0,156.0,CJ Miles
101139,2008,00,1610612762,UTA,22.0,72,72,1623.0,258,562,0.459,63,179,0.352,78,89,0.876,45,122,167,107,46,15,64,187,657,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,179,152,149,,114,114,100.0,200,219,,201,242,238,163,168,210,213,161,194,141.0,131.0,125.0,,81.0,82.0,,120.0,126.0,,126.0,148.0,145.0,149.0,110.0,96.0,124.0,128.0,153.0,CJ Miles
101139,2009,00,1610612762,UTA,23.0,63,28,1497.0,241,562,0.429,74,217,0.341,66,95,0.695,42,126,168,105,58,17,81,190,622,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,198,166,150,,88,82,97.0,225,218,,205,230,230,178,119,194,168,176,219,39.0,41.0,42.0,37.0,21.0,21.0,49.0,27.0,38.0,10.0,88.0,77.0,88.0,33.0,59.0,40.0,35.0,38.0,44.0,CJ Miles
101139,2010,00,1610612762,UTA,24.0,78,19,1969.0,366,899,0.407,109,339,0.322,159,196,0.811,54,201,255,135,74,38,93,221,1000,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,132,83,60,114.0,45,26,124.0,97,106,58.0,172,150,157,136,77,101,132,84,130,,,,,,,,,,,,,,,,,,,,CJ Miles
101139,2011,00,1610612762,UTA,25.0,56,14,1145.0,177,465,0.381,46,150,0.307,108,136,0.794,27,89,116,69,46,18,53,122,508,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,201,175,145,,119,97,114.0,108,119,61.0,233,266,267,196,126,175,217,157,229,,,,,,,,,,,,,,,,,,,,CJ Miles
101139,2012,00,1610612739,CLE,26.0,65,13,1364.0,255,614,0.415,126,328,0.384,93,107,0.869,24,150,174,63,49,17,69,138,729,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,209,153,134,,40,41,45.0,163,189,,287,208,224,238,155,207,204,131,200,,,,,,,,,,,,,,,,,,,,CJ Miles
101139,2013,00,1610612739,CLE,27.0,51,34,984.0,178,409,0.435,83,211,0.393,64,75,0.853,18,85,103,52,46,15,44,103,503,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,262,217,211,,89,104,29.0,218,236,,327,310,321,266,173,222,272,203,261,,,,,,,,,,,,,,,,,,,,CJ Miles
101139,2014,00,1610612754,IND,28.0,70,40,1841.0,329,827,0.398,154,446,0.345,130,161,0.807,18,196,214,75,60,26,73,132,942,1987-03-18T00:00:00,USA,6-6,220,2005,2,34,132,95,71,105.0,13,10,66.0,115,131,56.0,332,157,199,233,105,129,198,84,161,,,,,,,,,,,,,,,,,,,,CJ Miles
