PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
1123,1983,00,1610612738,BOS,22.0,35,1,197.0,30,66,0.455,0,0,0.0,5,16,0.313,27,35,62,7,1,5,20,42,65,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,281,270,270,,163,245,,292,280,,237,261,253,289,290,227,267,273,276,153.0,169.0,158.0,,53.0,102.0,,123.0,130.0,,111.0,139.0,129.0,137.0,148.0,94.0,136.0,162.0,156.0,Greg Kite
1123,1984,00,1610612738,BOS,23.0,55,4,424.0,33,88,0.375,0,0,0.0,22,32,0.688,38,51,89,17,3,10,29,84,88,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,256,275,266,,148,263,,264,263,,211,238,231,272,287,189,264,273,270,130.0,142.0,144.0,,48.0,99.0,,156.0,152.0,,102.0,102.0,107.0,130.0,142.0,119.0,146.0,150.0,134.0,Greg Kite
1123,1985,00,1610612738,BOS,24.0,64,2,464.0,34,91,0.374,0,1,0.0,15,39,0.385,35,93,128,17,3,28,32,81,83,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,252,274,271,,165,228,,278,257,,213,198,202,269,296,100,253,276,264,113.0,130.0,149.0,,51.0,102.0,,122.0,121.0,,98.0,79.0,82.0,122.0,103.0,39.0,132.0,132.0,107.0,Greg Kite
1123,1986,00,1610612738,BOS,25.0,74,1,745.0,47,110,0.427,0,1,0.0,29,76,0.382,61,108,169,27,17,46,34,148,123,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,224,269,268,,167,234,,254,208,,164,173,175,254,240,79,246,269,239,68.0,132.0,126.0,,56.0,100.0,,137.0,120.0,,45.0,42.0,42.0,90.0,107.0,27.0,87.0,135.0,89.0,Greg Kite
1123,1987,00,1610612738,BOS,26.0,13,0,86.0,9,23,0.391,0,0,0.0,1,6,0.167,10,14,24,2,3,8,9,16,19,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,190,228,225,,176,235,,236,202,,125,120,122,232,228,52,176,229,209,,,,,,,,,,,,,,,,,,,,Greg Kite
1123,1987,00,1610612746,LAC,26.0,40,19,977.0,83,182,0.456,0,1,0.0,39,73,0.534,75,165,240,45,16,50,64,137,205,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,190,228,225,,176,235,,236,202,,125,120,122,232,228,52,176,229,209,,,,,,,,,,,,,,,,,,,,Greg Kite
1123,1987,00,0,TOT,26.0,53,19,1063.0,92,205,0.449,0,1,0.0,40,79,0.506,85,179,264,47,19,58,73,153,224,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,190,228,225,,176,235,,236,202,,125,120,122,232,228,52,176,229,209,,,,,,,,,,,,,,,,,,,,Greg Kite
1123,1988,00,1610612746,LAC,27.0,58,12,729.0,49,121,0.405,0,0,0.0,14,31,0.452,66,124,190,29,23,46,46,118,112,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,216,258,258,,209,298,,287,274,,146,150,150,247,215,68,214,267,227,,,,,,,,,,,,,,,,,,,,Greg Kite
1123,1988,00,1610612766,CHH,27.0,12,12,213.0,16,30,0.533,0,0,0.0,6,10,0.6,15,38,53,7,4,8,12,43,38,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,216,258,258,,209,298,,287,274,,146,150,150,247,215,68,214,267,227,,,,,,,,,,,,,,,,,,,,Greg Kite
1123,1988,00,0,TOT,27.0,70,24,942.0,65,151,0.43,0,0,0.0,20,41,0.488,81,162,243,36,27,54,58,161,150,1961-08-05T00:00:00,USA,6-11,250,1983,1,21,216,258,258,,209,298,,287,274,,146,150,150,247,215,68,214,267,227,,,,,,,,,,,,,,,,,,,,Greg Kite
