PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
1134,1991,00,1610612762,UTH,22.0,31,0,112.0,21,46,0.457,0,0,0.0,19,30,0.633,11,24,35,5,2,2,8,20,61,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,344,331,334,,240,326,,300,294,,325,319,321,349,348,322,342,331,334,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,1992,00,1610612762,UTH,23.0,46,3,306.0,50,112,0.446,0,1,0.0,29,44,0.659,38,41,79,6,8,14,23,60,129,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,313,303,303,,244,300,,288,284,,237,292,281,343,317,193,304,303,307,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,1993,00,1610612755,PHL,24.0,14,0,201.0,29,66,0.439,0,1,0.0,14,23,0.609,25,44,69,17,5,10,17,29,72,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,332,322,329,,247,293,,321,322,,283,297,297,310,337,239,314,327,316,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,1996,00,1610612748,MIA,27.0,82,17,1880.0,321,639,0.502,0,3,0.0,150,226,0.664,136,342,478,101,45,43,161,244,792,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,140,110,121,24.0,303,301,,108,98,120.0,69,55,60,175,178,86,65,121,114,46.0,48.0,49.0,,87.0,87.0,,39.0,36.0,,34.0,26.0,30.0,89.0,53.0,21.0,25.0,48.0,46.0,Ike Austin
1134,1997,00,1610612748,MIA,28.0,52,25,1371.0,252,532,0.474,0,3,0.0,155,228,0.68,119,211,330,87,43,34,117,162,659,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,92,61,63,48.0,274,231,,50,35,124.0,32,44,40,114,136,62,21,66,73,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,1997,00,1610612746,LAC,28.0,26,25,895.0,154,339,0.454,0,5,0.0,88,135,0.652,80,147,227,88,18,22,89,69,396,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,92,61,63,48.0,274,231,,50,35,124.0,32,44,40,114,136,62,21,66,73,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,1997,00,0,TOT,28.0,78,50,2266.0,406,871,0.466,0,8,0.0,243,363,0.669,199,358,557,175,61,56,206,231,1055,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,92,61,63,48.0,274,231,,50,35,124.0,32,44,40,114,136,62,21,66,73,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,1998,00,1610612753,ORL,29.0,49,49,1259.0,185,453,0.408,2,7,0.286,105,157,0.669,83,154,237,89,47,35,114,125,477,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,114,98,84,84.0,203,222,,89,76,119.0,72,95,88,117,78,59,38,105,142,102.0,114.0,116.0,,87.0,90.0,,82.0,81.0,67.0,67.0,101.0,94.0,76.0,80.0,42.0,74.0,114.0,111.0,Ike Austin
1134,1999,00,1610612764,WAS,30.0,59,23,1173.0,151,352,0.429,1,4,0.25,94,137,0.686,64,218,282,74,17,38,107,128,397,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,225,225,217,,247,268,,173,164,,165,133,147,206,296,95,132,224,226,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,2000,00,1610612763,VAN,31.0,52,16,846.0,96,270,0.356,6,24,0.25,28,40,0.7,50,172,222,58,20,23,54,94,226,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,269,273,241,,197,198,,299,296,,202,173,188,237,281,152,237,283,264,,,,,,,,,,,,,,,,,,,,Ike Austin
1134,2001,00,1610612763,MEM,32.0,21,8,306.0,36,92,0.391,0,3,0.0,4,4,1.0,11,60,71,13,9,5,11,36,76,1969-08-18T00:00:00,USA,6-10,288,1991,2,48,344,344,339,,288,283,,396,411,,353,297,318,347,341,316,370,353,348,,,,,,,,,,,,,,,,,,,,Ike Austin
