PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
1719,1998,00,1610612757,POR,22.0,7,0,35.0,11,20,0.55,1,3,0.333,8,18,0.444,4,5,9,3,1,1,6,5,31,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,392,361,373,,215,257,,340,324,,364,382,383,367,385,339,371,361,370,,,,,,,,,,,,,,,,,,,,Bonzi Wells
1719,1999,00,1610612757,POR,23.0,66,0,1162.0,236,480,0.492,20,53,0.377,88,129,0.682,78,104,182,97,69,12,97,153,580,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,227,149,165,,152,162,,179,172,,145,251,213,169,101,238,154,160,199,59.0,40.0,45.0,,64.0,56.0,,30.0,28.0,60.0,45.0,63.0,66.0,63.0,53.0,120.0,37.0,41.0,61.0,Bonzi Wells
1719,2000,00,1610612757,POR,24.0,75,46,1996.0,387,726,0.533,17,50,0.34,159,240,0.663,120,247,367,208,94,20,169,203,950,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,122,63,91,2.0,157,166,,97,80,119.0,78,102,88,88,45,169,45,76,79,,,,,,,,,,,,,,,,,,,,Bonzi Wells
1719,2001,00,1610612757,POR,25.0,74,69,2351.0,487,1039,0.469,66,172,0.384,215,290,0.741,121,323,444,204,113,25,191,208,1255,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,78,39,45,36.0,76,86,36.0,53,52,88.0,84,56,58,80,28,142,23,42,58,103.0,92.0,90.0,52.0,92.0,67.0,,76.0,75.0,64.0,93.0,114.0,114.0,66.0,50.0,82.0,57.0,96.0,110.0,Bonzi Wells
1719,2002,00,1610612757,POR,26.0,75,65,2397.0,437,990,0.441,38,130,0.292,226,313,0.722,98,296,394,246,123,18,215,220,1138,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,74,53,51,61.0,116,112,,57,49,101.0,106,71,85,60,23,186,16,55,80,58.0,40.0,32.0,49.0,42.0,40.0,45.0,46.0,37.0,69.0,48.0,54.0,50.0,43.0,23.0,67.0,31.0,43.0,59.0,Bonzi Wells
1719,2003,00,1610612757,POR,27.0,13,10,404.0,68,175,0.389,1,8,0.125,21,27,0.778,21,40,61,35,20,3,32,38,158,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,139,82,72,75.0,144,145,,111,111,74.0,134,163,161,128,54,166,61,90,149,123.0,85.0,98.0,6.0,96.0,110.0,,86.0,80.0,61.0,133.0,114.0,124.0,115.0,88.0,100.0,79.0,98.0,114.0,Bonzi Wells
1719,2003,00,1610612763,MEM,27.0,59,17,1467.0,295,675,0.437,21,61,0.344,117,156,0.75,57,142,199,104,71,16,129,159,728,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,139,82,72,75.0,144,145,,111,111,74.0,134,163,161,128,54,166,61,90,149,123.0,85.0,98.0,6.0,96.0,110.0,,86.0,80.0,61.0,133.0,114.0,124.0,115.0,88.0,100.0,79.0,98.0,114.0,Bonzi Wells
1719,2003,00,0,TOT,27.0,72,27,1872.0,363,850,0.427,22,69,0.319,138,183,0.754,78,182,260,139,91,19,161,197,886,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,139,82,72,75.0,144,145,,111,111,74.0,134,163,161,128,54,166,61,90,149,123.0,85.0,98.0,6.0,96.0,110.0,,86.0,80.0,61.0,133.0,114.0,124.0,115.0,88.0,100.0,79.0,98.0,114.0,Bonzi Wells
1719,2004,00,1610612763,MEM,28.0,69,19,1487.0,272,617,0.441,36,104,0.346,141,188,0.75,49,180,229,80,85,27,90,165,721,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,190,131,127,,133,140,,120,128,98.0,203,161,175,205,50,120,163,130,176,165.0,149.0,157.0,,104.0,125.0,,105.0,123.0,,164.0,150.0,162.0,123.0,113.0,102.0,152.0,147.0,144.0,Bonzi Wells
1719,2005,00,1610612758,SAC,29.0,52,41,1684.0,284,613,0.463,10,45,0.222,129,190,0.679,142,259,401,144,94,25,126,156,707,1976-09-28T00:00:00,USA,6-5,210,1998,1,11,164,121,122,,198,187,,132,128,121.0,52,93,73,125,38,138,86,131,117,61.0,36.0,50.0,2.0,59.0,80.0,1.0,40.0,38.0,69.0,18.0,36.0,30.0,87.0,67.0,68.0,41.0,35.0,41.0,Bonzi Wells
