PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
200770,2006,00,1610612747,LAL,20.0,72,2,1090.0,124,294,0.422,45,137,0.328,27,38,0.711,22,97,119,137,44,7,73,77,320,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,250,260,247,,135,129,,323,323,,302,270,283,131,178,283,200,261,263,111.0,101.0,108.0,,78.0,71.0,,97.0,106.0,,138.0,97.0,109.0,82.0,63.0,98.0,106.0,102.0,105.0,Jordan Farmar
200770,2007,00,1610612747,LAL,21.0,82,0,1690.0,291,631,0.461,114,307,0.371,53,78,0.679,39,144,183,225,77,5,108,105,749,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,171,129,128,,46,42,62.0,245,246,,213,213,222,74,67,307,114,133,150,40.0,40.0,35.0,,23.0,20.0,27.0,71.0,78.0,,76.0,63.0,69.0,37.0,49.0,54.0,38.0,44.0,60.0,Jordan Farmar
200770,2008,00,1610612747,LAL,22.0,65,0,1192.0,161,412,0.391,49,146,0.336,45,77,0.584,22,95,117,155,57,10,87,105,416,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,231,221,205,,136,133,,262,239,,297,276,286,110,118,259,151,228,260,55.0,56.0,50.0,,31.0,28.0,,70.0,72.0,,94.0,71.0,76.0,37.0,45.0,61.0,45.0,61.0,71.0,Jordan Farmar
200770,2009,00,1610612747,LAL,23.0,82,0,1474.0,224,515,0.435,86,229,0.376,57,85,0.671,14,117,131,127,52,11,72,109,591,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,204,181,173,,63,72,54.0,239,233,,340,241,265,149,140,251,191,183,225,46.0,55.0,51.0,,12.0,17.0,18.0,90.0,90.0,,143.0,58.0,82.0,26.0,14.0,128.0,32.0,57.0,63.0,Jordan Farmar
200770,2010,00,1610612751,NJN,24.0,73,18,1796.0,255,651,0.392,109,304,0.359,82,100,0.82,24,149,173,368,62,6,139,128,701,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,147,152,120,,45,42,82.0,193,208,,288,208,233,33,106,310,74,145,146,,,,,,,,,,,,,,,,,,,,Jordan Farmar
200770,2011,00,1610612751,NJN,25.0,39,5,831.0,147,315,0.467,55,125,0.44,57,63,0.905,7,54,61,129,24,2,68,49,406,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,257,204,214,,90,124,8.0,208,238,,392,326,344,111,246,387,160,198,233,,,,,,,,,,,,,,,,,,,,Jordan Farmar
200770,2013,00,1610612747,LAL,27.0,41,5,912.0,151,364,0.415,70,160,0.438,44,59,0.746,20,84,104,199,38,8,95,65,416,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,278,236,224,,112,146,,269,276,,316,313,320,97,217,297,146,232,259,,,,,,,,,,,,,,,,,,,,Jordan Farmar
200770,2014,00,1610612746,LAC,28.0,36,0,529.0,61,158,0.386,35,97,0.361,10,11,0.909,8,34,42,67,20,5,32,52,167,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,360,362,358,,196,210,,402,419,,395,392,395,251,310,353,332,362,366,,,,,,,,,,,,,,,,,,,,Jordan Farmar
200770,2015,00,1610612763,MEM,29.0,12,10,291.0,42,100,0.42,16,45,0.356,10,10,1.0,4,21,25,37,15,2,18,22,110,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,393,378,378,,257,274,,402,419,,421,418,422,323,339,395,373,380,388,117.0,128.0,123.0,,77.0,92.0,36.0,138.0,152.0,,176.0,153.0,163.0,55.0,100.0,111.0,69.0,130.0,147.0,Jordan Farmar
200770,2016,00,1610612758,SAC,30.0,2,0,35.0,4,12,0.333,4,9,0.444,0,0,0.0,1,2,3,9,2,0,3,1,12,1986-11-30T00:00:00,USA,6-2,180,2006,1,26,,,463,457,459,,344,366,,468,472,,455,469,469,419,435,447,447,457,457,,,,,,,,,,,,,,,,,,,,Jordan Farmar
