PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
201228,2007,00,1610612744,GSW,24.0,32,0,368.0,43,101,0.426,9,26,0.346,23,29,0.793,13,19,32,35,15,0,18,19,118,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,343,338,340,,227,234,,326,335,,347,388,383,296,302,415,342,337,353,,,,,,,,,,,,,,,,,,,,C.J. Watson
201228,2008,00,1610612744,GSW,25.0,77,18,1883.0,257,562,0.457,48,120,0.4,168,193,0.87,39,153,192,206,96,4,92,137,730,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,145,153,149,,138,145,,101,115,16.0,222,209,219,74,25,334,139,142,148,,,,,,,,,,,,,,,,,,,,C.J. Watson
201228,2009,00,1610612744,GSW,26.0,65,15,1788.0,247,528,0.468,45,145,0.31,128,166,0.771,28,141,169,180,103,8,69,124,667,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,152,161,164,,143,134,,132,137,79.0,263,212,228,95,27,292,199,153,157,,,,,,,,,,,,,,,,,,,,C.J. Watson
201228,2010,00,1610612741,CHI,27.0,82,1,1091.0,146,394,0.371,44,112,0.393,69,93,0.742,16,78,94,186,55,11,73,82,405,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,247,234,211,,144,158,,217,221,,338,305,321,91,118,260,178,229,257,108.0,92.0,74.0,,73.0,63.0,,76.0,92.0,,120.0,112.0,118.0,27.0,46.0,131.0,34.0,96.0,94.0,C.J. Watson
201228,2011,00,1610612741,CHI,28.0,49,25,1159.0,161,437,0.368,68,173,0.393,84,104,0.808,21,84,105,200,45,8,97,103,474,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,198,191,160,,67,82,28.0,146,163,,273,278,281,59,130,275,96,172,214,94.0,113.0,82.0,,62.0,64.0,,66.0,65.0,40.0,148.0,116.0,131.0,23.0,70.0,139.0,96.0,108.0,121.0,C.J. Watson
201228,2012,00,1610612751,BKN,29.0,80,8,1521.0,192,459,0.418,88,214,0.411,71,91,0.78,38,107,145,161,66,12,69,123,543,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,186,200,193,,73,90,23.0,206,217,,222,260,251,118,102,253,204,190,204,93.0,80.0,81.0,,72.0,70.0,,91.0,87.0,,88.0,114.0,108.0,75.0,75.0,108.0,167.0,88.0,95.0,C.J. Watson
201228,2013,00,1610612754,IND,30.0,63,5,1193.0,146,334,0.437,53,145,0.366,69,88,0.784,19,82,101,107,60,8,60,66,414,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,234,241,240,,152,155,,211,223,,321,316,324,173,117,297,226,233,264,44.0,60.0,57.0,,33.0,37.0,,60.0,51.0,,123.0,49.0,65.0,61.0,17.0,101.0,57.0,61.0,64.0,C.J. Watson
201228,2014,00,1610612754,IND,31.0,57,21,1422.0,181,417,0.434,70,175,0.4,138,167,0.826,18,145,163,208,57,9,100,107,570,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,204,221,213,,113,137,,103,123,42.0,332,235,262,79,115,295,121,182,190,,,,,,,,,,,,,,,,,,,,C.J. Watson
201228,2015,00,1610612753,ORL,32.0,33,2,656.0,47,137,0.343,14,48,0.292,34,39,0.872,10,56,66,88,19,5,25,49,142,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,327,372,355,,275,268,,306,334,,371,357,366,216,313,348,349,359,352,,,,,,,,,,,,,,,,,,,,C.J. Watson
201228,2016,00,1610612753,ORL,33.0,62,9,1013.0,96,248,0.387,32,105,0.305,57,66,0.864,16,73,89,114,43,2,47,84,281,1984-04-17T00:00:00,USA,6-2,175,Undrafted,Undrafted,Undrafted,,,276,314,296,,234,225,,243,266,,336,339,341,168,185,398,264,306,308,,,,,,,,,,,,,,,,,,,,C.J. Watson
