PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
202337,2010,00,1610612757,POR,22.0,24,0,137.0,15,55,0.273,3,16,0.188,3,9,0.333,6,24,30,6,2,2,8,15,36,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,405,402,390,,260,256,,415,404,,392,385,390,402,410,388,397,406,419,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2011,00,1610612757,POR,23.0,40,4,537.0,71,173,0.41,43,100,0.43,17,20,0.85,16,79,95,16,10,4,27,46,202,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,321,302,298,,126,157,,338,355,,313,287,299,358,354,338,321,292,314,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2012,00,1610612757,POR,24.0,62,0,730.0,86,234,0.368,62,178,0.348,10,13,0.769,15,122,137,29,14,5,22,82,244,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,305,299,288,,118,115,96.0,387,399,,348,239,269,334,341,350,351,296,311,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2013,00,1610612740,NOP,25.0,27,2,473.0,60,154,0.39,36,95,0.379,14,18,0.778,18,70,88,29,7,11,15,52,170,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,345,339,328,,182,194,,366,376,,327,328,335,328,382,263,381,333,337,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2014,00,1610612740,NOP,26.0,63,19,830.0,92,192,0.479,59,115,0.513,13,19,0.684,12,99,111,24,17,11,26,63,256,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,307,314,331,,143,192,,391,393,,374,299,315,367,338,270,353,312,323,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2015,00,1610612740,NOP,27.0,47,13,845.0,122,289,0.422,44,109,0.404,39,50,0.78,25,123,148,53,11,7,23,90,327,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,297,287,280,,174,194,,291,303,,282,259,270,289,368,322,357,284,299,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2016,00,1610612748,MIA,28.0,68,55,1065.0,113,281,0.402,87,210,0.414,11,15,0.733,12,129,141,36,20,11,25,118,324,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,269,294,284,,109,128,9.0,389,396,,358,264,287,330,308,270,352,286,302,,,,,,,,,,,,,,,,,,,,Luke Babbitt
202337,2017,00,1610612737,ATL,29.0,37,9,570.0,80,168,0.476,49,111,0.441,17,22,0.773,5,76,81,26,7,5,15,47,226,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,318,316,309,,166,185,,375,379,,403,312,326,354,388,332,369,307,332,200.0,195.0,191.0,,143.0,169.0,,172.0,175.0,,175.0,196.0,200.0,181.0,169.0,143.0,181.0,199.0,206.0,Luke Babbitt
202337,2017,00,1610612748,MIA,29.0,13,5,145.0,11,47,0.234,11,45,0.244,0,0,0.0,2,13,15,5,1,2,4,7,33,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,318,316,309,,166,185,,375,379,,403,312,326,354,388,332,369,307,332,200.0,195.0,191.0,,143.0,169.0,,172.0,175.0,,175.0,196.0,200.0,181.0,169.0,143.0,181.0,199.0,206.0,Luke Babbitt
202337,2017,00,0,TOT,29.0,50,14,715.0,91,215,0.423,60,156,0.385,17,22,0.773,7,89,96,31,8,7,19,54,259,1989-06-20T00:00:00,USA,6-9,225,2010,1,16,,,318,316,309,,166,185,,375,379,,403,312,326,354,388,332,369,307,332,200.0,195.0,191.0,,143.0,169.0,,172.0,175.0,,175.0,196.0,200.0,181.0,169.0,143.0,181.0,199.0,206.0,Luke Babbitt
