PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
203507,2013,00,1610612749,MIL,19.0,77,23,1897.0,173,418,0.414,41,118,0.347,138,202,0.683,78,261,339,150,60,61,122,173,525,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,139,222,206,,170,175,,118,100,112,117,96,101,124,117,44,100,195,175,,,,,,,,,,,,,,,,,,,,Giannis Antetokounmpo
203507,2014,00,1610612749,MIL,20.0,81,71,2541.0,383,780,0.491,7,44,0.159,257,347,0.741,100,442,542,207,73,85,173,254,1030,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,23,59,81,25.0,302,265,,28,25,95,90,20,33,81,68,31,30,63,44,68.0,77.0,68.0,66.0,125.0,137.0,,53.0,53.0,50.0,49.0,60.0,61.0,69.0,101.0,34.0,67.0,78.0,77.0,Giannis Antetokounmpo
203507,2015,00,1610612749,MIL,21.0,80,79,2823.0,513,1013,0.506,28,109,0.257,296,409,0.724,113,499,612,345,94,113,208,258,1350,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,9,29,39,22.0,223,194,,23,21,101,67,14,25,29,40,16,17,30,18,,,,,,,,,,,,,,,,,,,,Giannis Antetokounmpo
203507,2016,00,1610612749,MIL,22.0,80,80,2845.0,656,1259,0.521,49,180,0.272,471,612,0.77,142,558,700,434,131,151,234,246,1832,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,4,13,23,18.0,181,153,,9,8,82,40,13,15,18,9,5,9,14,6,54.0,22.0,31.0,12.0,101.0,112.0,,31.0,23.0,53.0,45.0,28.0,30.0,48.0,23.0,22.0,25.0,27.0,31.0,Giannis Antetokounmpo
203507,2017,00,1610612749,MIL,23.0,75,75,2756.0,742,1402,0.529,43,140,0.307,487,641,0.76,156,597,753,361,109,106,223,231,2014,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,10,4,9,18.0,208,199,,4,2,72,27,9,10,28,21,13,8,5,5,46.0,20.0,34.0,10.0,96.0,93.0,,21.0,14.0,55.0,62.0,25.0,31.0,18.0,33.0,39.0,34.0,23.0,21.0,Giannis Antetokounmpo
203507,2018,00,1610612749,MIL,24.0,72,72,2358.0,721,1247,0.578,52,203,0.256,500,686,0.729,159,739,898,424,92,110,268,232,1994,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,47,4,21,11.0,204,152,,3,2,93,36,2,6,26,33,12,5,7,2,16.0,8.0,9.0,18.0,28.0,29.0,57.0,3.0,2.0,70.0,8.0,3.0,3.0,8.0,14.0,2.0,7.0,8.0,7.0,Giannis Antetokounmpo
203507,2019,00,1610612749,MIL,25.0,63,63,1917.0,685,1238,0.553,89,293,0.304,398,629,0.633,140,716,856,354,61,66,230,195,1857,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,67,1,11,13.0,110,87,145.0,8,2,112,25,1,4,26,71,26,7,4,2,48.0,14.0,27.0,9.0,56.0,55.0,78.0,19.0,8.0,61.0,11.0,10.0,9.0,23.0,61.0,26.0,20.0,19.0,13.0,Giannis Antetokounmpo
203507,2020,00,1610612749,MIL,26.0,61,61,2013.0,626,1100,0.569,67,221,0.303,398,581,0.685,97,574,671,357,72,73,207,168,1717,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,46,7,19,13.0,167,135,,5,1,101,50,8,11,21,40,18,8,6,2,5.0,1.0,3.0,10.0,57.0,27.0,,3.0,1.0,60.0,3.0,1.0,1.0,5.0,9.0,2.0,4.0,1.0,1.0,Giannis Antetokounmpo
203507,2021,00,1610612749,MIL,27.0,67,67,2204.0,689,1245,0.553,71,242,0.293,553,766,0.722,134,644,778,388,72,91,219,212,2002,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,57,5,11,11.0,172,147,,2,2,96,39,5,7,17,57,14,11,6,2,27.0,9.0,9.0,19.0,67.0,52.0,,6.0,3.0,62.0,14.0,2.0,2.0,11.0,51.0,9.0,6.0,8.0,7.0,Giannis Antetokounmpo
203507,2022,00,1610612749,MIL,28.0,63,63,2024.0,707,1278,0.553,47,171,0.275,498,772,0.645,137,605,742,359,52,51,246,197,1959,1994-12-06T00:00:00,Greece,6-11,243,2013,1,15,101,4,17,17.0,236,200,,7,1,119,40,5,9,36,132,51,6,5,7,127.0,72.0,81.0,15.0,153.0,145.0,,58.0,37.0,55.0,71.0,74.0,75.0,66.0,141.0,84.0,49.0,80.0,99.0,Giannis Antetokounmpo
