PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
203952,2014,00,1610612750,MIN,20.0,82,82,2969.0,497,1137,0.437,39,126,0.31,354,466,0.76,134,240,374,170,86,50,177,190,1387,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,2,25,17,72.0,185,182,,9,6,89.0,52,116,90,108,49,66,28,19,57,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2015,00,1610612750,MIN,21.0,81,81,2845.0,594,1294,0.459,57,190,0.3,430,565,0.761,105,186,291,164,78,46,182,165,1675,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,8,13,16,50.0,148,133,,8,7,85.0,71,179,138,109,64,77,30,13,51,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2016,00,1610612750,MIN,22.0,82,82,3048.0,709,1570,0.452,103,289,0.356,412,542,0.76,102,226,328,189,82,30,187,183,1933,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,1,6,2,73.0,86,79,82.0,12,10,87.0,73,129,109,89,54,131,20,11,46,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2017,00,1610612750,MIN,23.0,82,82,2979.0,569,1300,0.438,112,338,0.331,202,314,0.643,82,276,358,160,91,51,138,163,1452,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,3,21,16,95.0,85,65,123.0,46,29,99.0,88,102,101,122,36,63,63,23,71,87.0,71.0,68.0,47.0,68.0,68.0,48.0,69.0,55.0,62.0,83.0,84.0,84.0,97.0,122.0,86.0,73.0,74.0,96.0,Andrew Wiggins
203952,2018,00,1610612750,MIN,24.0,73,73,2543.0,498,1209,0.412,118,348,0.339,207,296,0.699,83,269,352,184,70,48,138,153,1321,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,30,44,24,114.0,79,68,109.0,48,38,106.0,85,101,97,109,77,69,60,47,99,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2019,00,1610612750,MIN,25.0,42,42,1455.0,351,790,0.444,91,275,0.331,149,207,0.72,48,171,219,155,29,36,107,101,942,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,80,34,30,83.0,77,59,130.0,46,39,100.0,100,139,129,81,143,44,49,36,78,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2019,00,1610612744,GSW,25.0,12,12,403.0,86,188,0.457,20,59,0.339,41,61,0.672,18,37,55,43,16,17,25,26,233,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,80,34,30,83.0,77,59,130.0,46,39,100.0,100,139,129,81,143,44,49,36,78,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2019,00,0,TOT,25.0,54,54,1859.0,437,978,0.447,111,334,0.332,190,268,0.709,66,208,274,198,45,53,132,127,1175,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,80,34,30,83.0,77,59,130.0,46,39,100.0,100,139,129,81,143,44,49,36,78,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2020,00,1610612744,GSW,26.0,71,71,2364.0,505,1058,0.477,140,368,0.38,170,238,0.714,82,265,347,167,67,70,126,159,1320,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,8,21,25,58.0,41,44,94.0,47,40,92.0,70,68,69,103,51,20,49,25,47,,,,,,,,,,,,,,,,,,,,Andrew Wiggins
203952,2021,00,1610612744,GSW,27.0,73,73,2330.0,475,1019,0.466,157,399,0.393,149,235,0.634,85,240,325,161,76,51,111,158,1256,1995-02-23T00:00:00,Canada,6-7,197,2014,1,1,,,40,39,44,50.0,49,52,33.0,83,55,111.0,82,115,109,131,46,56,88,49,78,5.0,8.0,8.0,36.0,14.0,11.0,60.0,18.0,14.0,64.0,2.0,7.0,5.0,27.0,9.0,4.0,17.0,10.0,8.0,Andrew Wiggins
