PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
2207,2001,00,1610612738,BOS,21.0,48,33,1003.0,130,296,0.439,24,88,0.273,20,26,0.769,40,99,139,74,33,9,28,59,304,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,128,136,138,,120,109,,262,270,,154,169,165,96,130,175,189,159,159,,,,,,,,,,,,,,,,,,,,Joe Johnson
2207,2001,00,1610612756,PHX,21.0,29,27,914.0,121,288,0.42,14,42,0.333,21,27,0.778,35,83,118,105,26,11,43,55,277,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,128,136,138,,120,109,,262,270,,154,169,165,96,130,175,189,159,159,,,,,,,,,,,,,,,,,,,,Joe Johnson
2207,2001,00,0,TOT,21.0,77,60,1917.0,251,584,0.43,38,130,0.292,41,53,0.774,75,182,257,179,59,20,71,114,581,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,128,136,138,,120,109,,262,270,,154,169,165,96,130,175,189,159,159,,,,,,,,,,,,,,,,,,,,Joe Johnson
2207,2002,00,1610612756,PHX,22.0,82,34,2253.0,316,796,0.397,75,205,0.366,96,124,0.774,57,207,264,210,62,19,108,143,803,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,96,99,78,103.0,68,73,44.0,161,168,,192,141,154,78,129,177,121,103,145,95.0,111.0,88.0,,80.0,65.0,,148.0,128.0,,97.0,84.0,93.0,100.0,86.0,79.0,73.0,115.0,144.0,Joe Johnson
2207,2003,00,1610612756,PHX,23.0,82,77,3331.0,555,1291,0.43,83,272,0.305,174,232,0.75,80,305,385,362,93,26,199,177,1367,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,1,17,16,73.0,50,42,85.0,83,82,78.0,131,67,82,28,45,123,28,35,54,,,,,,,,,,,,,,,,,,,,Joe Johnson
2207,2004,00,1610612756,PHX,24.0,82,82,3238.0,544,1179,0.461,177,370,0.478,135,180,0.75,120,302,422,291,79,24,148,167,1400,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,4,23,24,53.0,8,17,2.0,132,136,98.0,85,68,73,49,62,130,54,28,31,38.0,30.0,35.0,16.0,17.0,24.0,2.0,41.0,40.0,53.0,77.0,50.0,58.0,32.0,36.0,55.0,70.0,32.0,33.0,Joe Johnson
2207,2005,00,1610612737,ATL,25.0,82,82,3340.0,632,1395,0.453,128,360,0.356,261,330,0.791,98,237,335,536,103,31,267,187,1653,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,3,17,16,64.0,26,25,69.0,44,51,57.0,100,112,107,8,28,115,5,18,30,,,,,,,,,,,,,,,,,,,,Joe Johnson
2207,2006,00,1610612737,ATL,26.0,57,57,2359.0,536,1139,0.471,119,312,0.381,235,314,0.748,53,186,239,249,60,11,176,115,1426,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,76,22,19,45.0,32,30,44.0,61,51,97.0,183,166,172,65,108,235,45,25,75,,,,,,,,,,,,,,,,,,,,Joe Johnson
2207,2007,00,1610612737,ATL,27.0,82,82,3343.0,647,1497,0.432,169,444,0.381,316,379,0.834,83,284,367,474,84,18,223,168,1779,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,2,11,5,104.0,11,8,53.0,33,36,32.0,124,85,94,13,55,180,14,10,29,52.0,37.0,35.0,50.0,24.0,28.0,13.0,36.0,44.0,9.0,68.0,88.0,85.0,34.0,107.0,131.0,39.0,35.0,54.0,Joe Johnson
2207,2008,00,1610612737,ATL,28.0,79,79,3124.0,620,1420,0.437,149,414,0.36,299,362,0.826,65,281,346,455,84,19,195,176,1688,1981-06-29T00:00:00,USA,6-7,240,2001,1,10,,,2,10,6,98.0,18,10,90.0,36,40,44.0,159,86,109,17,52,175,27,12,24,28.0,26.0,22.0,47.0,31.0,32.0,41.0,37.0,28.0,65.0,30.0,53.0,44.0,28.0,27.0,141.0,16.0,27.0,42.0,Joe Johnson
