PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
2222,2001,00,1610612758,SAC,19.0,54,1,432.0,75,175,0.429,0,7,0.0,23,46,0.5,49,40,89,27,19,6,22,46,173,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,327,294,300,,288,250,,313,282,,211,332,296,301,281,298,326,307,320,159.0,169.0,167.0,,92.0,121.0,,107.0,120.0,,132.0,170.0,160.0,141.0,144.0,82.0,131.0,157.0,156.0,Gerald Wallace
2222,2002,00,1610612758,SAC,20.0,47,7,573.0,90,183,0.492,1,4,0.25,39,74,0.527,38,90,128,23,24,15,44,68,220,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,301,275,283,,248,270,,270,240,,241,268,271,310,257,208,267,277,286,175.0,168.0,172.0,,101.0,131.0,,148.0,157.0,,173.0,147.0,159.0,168.0,159.0,96.0,151.0,165.0,168.0,Gerald Wallace
2222,2003,00,1610612758,SAC,21.0,37,1,337.0,32,89,0.36,0,2,0.0,11,24,0.458,35,39,74,19,14,14,8,37,75,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,351,355,350,,289,305,,365,345,,256,343,321,329,312,209,379,359,347,160.0,152.0,156.0,,96.0,128.0,,147.0,146.0,,159.0,158.0,164.0,149.0,140.0,100.0,133.0,152.0,158.0,Gerald Wallace
2222,2004,00,1610612766,CHA,22.0,70,68,2146.0,286,637,0.449,17,62,0.274,191,289,0.661,118,268,386,137,117,91,159,182,780,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,100,119,121,,183,179,,74,58,133.0,87,91,91,130,19,35,47,117,109,,,,,,,,,,,,,,,,,,,,Gerald Wallace
2222,2005,00,1610612766,CHA,23.0,55,52,1895.0,317,589,0.538,14,50,0.28,188,306,0.614,123,289,412,96,138,115,99,150,836,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,135,102,131,4.0,180,181,,87,61,131.0,67,70,69,168,11,18,138,105,74,,,,,,,,,,,,,,,,,,,,Gerald Wallace
2222,2006,00,1610612766,CHA,24.0,72,71,2640.0,478,952,0.502,39,120,0.325,309,447,0.691,142,376,518,185,144,69,160,209,1304,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,44,37,53,25.0,144,141,,29,21,119.0,53,36,41,106,4,40,58,41,27,,,,,,,,,,,,,,,,,,,,Gerald Wallace
2222,2007,00,1610612766,CHA,25.0,62,59,2376.0,408,908,0.449,71,221,0.321,313,428,0.731,58,315,373,216,131,58,180,189,1200,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,76,70,65,85.0,92,78,110.0,34,23,102.0,167,69,91,81,9,58,36,56,74,,,,,,,,,,,,,,,,,,,,Gerald Wallace
2222,2008,00,1610612766,CHA,26.0,71,71,2669.0,389,811,0.48,39,131,0.298,365,454,0.804,112,441,553,189,121,67,148,210,1182,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,42,81,81,42.0,150,138,,20,20,68.0,80,23,36,86,11,49,65,57,33,,,,,,,,,,,,,,,,,,,,Gerald Wallace
2222,2009,00,1610612766,CHA,27.0,76,76,3119.0,456,943,0.484,52,140,0.371,422,544,0.776,150,612,762,161,117,83,178,194,1386,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,5,50,57,39.0,134,137,,12,10,75.0,50,7,10,109,14,31,31,34,17,87.0,83.0,88.0,22.0,60.0,75.0,7.0,50.0,45.0,62.0,126.0,47.0,60.0,90.0,72.0,40.0,121.0,74.0,71.0,Gerald Wallace
2222,2010,00,1610612766,CHA,28.0,48,48,1872.0,252,582,0.433,35,106,0.33,210,284,0.739,72,322,394,116,59,48,100,120,749,1982-07-23T00:00:00,USA,6-7,220,2001,1,25,,,35,73,69,66.0,122,110,111.0,37,34,100.0,75,24,36,100,21,46,55,55,46,59.0,58.0,61.0,30.0,73.0,57.0,,32.0,39.0,10.0,62.0,28.0,32.0,54.0,46.0,65.0,43.0,54.0,42.0,Gerald Wallace
