PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
2365,2001,00,1610612743,DEN,23.0,24,1,261.0,25,74,0.338,0,4,0.0,22,28,0.786,38,38,76,7,7,28,13,35,72,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,351,359,355,,288,271,,318,328,,240,337,310,378,350,130,361,356,339,,,,,,,,,,,,,,,,,,,,Chris Andersen
2365,2002,00,1610612743,DEN,24.0,59,3,903.0,114,285,0.4,0,1,0.0,77,140,0.55,109,165,274,32,30,60,60,90,305,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,256,248,244,,275,317,,190,147,,97,185,148,291,238,57,225,245,235,,,,,,,,,,,,,,,,,,,,Chris Andersen
2365,2003,00,1610612743,DEN,25.0,71,0,1029.0,90,203,0.443,0,1,0.0,63,107,0.589,89,209,298,35,34,114,48,119,243,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,235,271,275,,289,323,,223,191,,120,137,127,282,216,22,247,268,201,151.0,152.0,150.0,,96.0,128.0,,157.0,159.0,,83.0,125.0,117.0,131.0,140.0,82.0,148.0,156.0,140.0,Chris Andersen
2365,2004,00,1610612740,NOH,26.0,67,2,1430.0,191,358,0.534,0,3,0.0,131,190,0.689,137,273,410,71,14,100,64,144,513,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,197,185,223,,301,305,,137,126,124.0,66,86,77,221,328,31,222,184,131,,,,,,,,,,,,,,,,,,,,Chris Andersen
2365,2005,00,1610612740,NOK,27.0,32,2,570.0,56,98,0.571,0,0,0.0,49,103,0.476,61,94,155,6,8,41,26,84,161,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,313,316,338,,307,371,,255,215,,169,275,245,401,354,91,322,311,293,,,,,,,,,,,,,,,,,,,,Chris Andersen
2365,2007,00,1610612740,NOH,29.0,5,0,34.0,2,7,0.286,0,0,0.0,2,4,0.5,2,7,9,0,0,4,1,6,6,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,435,441,439,,303,374,,419,419,,421,422,426,437,430,324,432,439,433,,,,,,,,,,,,,,,,,,,,Chris Andersen
2365,2008,00,1610612743,DEN,30.0,71,1,1460.0,160,292,0.548,2,10,0.2,130,181,0.718,163,279,442,31,41,175,69,174,452,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,197,224,245,,265,267,,135,127,122.0,37,87,61,299,189,2,199,214,131,39.0,56.0,79.0,,114.0,121.0,,35.0,29.0,60.0,10.0,19.0,16.0,80.0,71.0,4.0,79.0,56.0,25.0,Chris Andersen
2365,2009,00,1610612743,DEN,31.0,76,0,1695.0,142,251,0.566,0,3,0.0,164,236,0.695,147,336,483,33,42,143,59,171,448,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,171,245,273,,314,326,,99,85,120.0,52,59,54,303,175,7,230,224,119,117.0,127.0,137.0,,110.0,141.0,,90.0,87.0,,71.0,77.0,82.0,148.0,129.0,40.0,111.0,121.0,106.0,Chris Andersen
2365,2010,00,1610612743,DEN,32.0,45,0,732.0,82,137,0.599,0,1,0.0,86,135,0.637,75,144,219,20,23,58,25,79,250,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,304,302,329,,309,350,,186,160,,118,216,185,344,279,52,333,290,245,140.0,140.0,153.0,,110.0,136.0,,76.0,75.0,54.0,85.0,126.0,118.0,124.0,103.0,35.0,130.0,131.0,113.0,Chris Andersen
2365,2011,00,1610612743,DEN,33.0,32,1,486.0,59,108,0.546,0,0,0.0,50,82,0.61,48,100,148,6,19,46,17,52,168,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,333,321,353,,341,401,,220,206,,159,247,229,412,289,59,364,316,273,,,,,,,,,,,,,,,,,,,,Chris Andersen
2365,2012,00,1610612748,MIA,34.0,42,0,624.0,71,123,0.577,2,3,0.667,63,93,0.677,57,115,172,17,16,44,24,89,207,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,325,322,351,,293,338,,226,213,,158,247,225,370,321,89,341,309,280,48.0,43.0,77.0,,112.0,148.0,,27.0,22.0,44.0,16.0,38.0,26.0,133.0,46.0,9.0,70.0,45.0,24.0,Chris Andersen
2365,2013,00,1610612748,MIA,35.0,72,0,1396.0,177,275,0.644,3,12,0.25,120,169,0.71,129,250,379,19,32,97,53,162,477,1978-07-07T00:00:00,USA,6-10,245,Undrafted,Undrafted,Undrafted,,,209,218,266,,304,311,,129,128,,55,106,77,363,236,18,255,216,142,49.0,67.0,84.0,,121.0,132.0,,42.0,38.0,,14.0,15.0,16.0,113.0,72.0,9.0,84.0,66.0,31.0,Chris Andersen
