PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
2406,2002,00,1610612748,MIA,23.0,78,78,2856.0,429,1032,0.416,34,107,0.318,309,375,0.824,135,262,397,213,137,31,192,230,1201,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,35,54,47,88.0,127,130,,34,31,34.0,70,99,83,77,9,117,30,49,71,,,,,,,,,,,,,,,,,,,,Caron Butler
2406,2003,00,1610612748,MIA,24.0,68,56,2028.0,240,631,0.38,10,42,0.238,133,176,0.756,92,234,326,126,75,13,91,162,623,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,123,138,116,,181,172,,121,117,72.0,114,112,109,144,85,222,153,140,161,16.0,28.0,23.0,48.0,76.0,65.0,,17.0,19.0,24.0,30.0,9.0,11.0,32.0,5.0,32.0,29.0,25.0,20.0,Caron Butler
2406,2004,00,1610612747,LAL,25.0,77,77,2747.0,441,991,0.445,38,125,0.304,275,319,0.862,146,304,450,146,110,23,125,213,1195,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,35,49,45,67.0,130,119,,39,43,17.0,57,66,60,120,22,139,88,48,62,,,,,,,,,,,,,,,,,,,,Caron Butler
2406,2005,00,1610612764,WAS,26.0,75,54,2708.0,494,1086,0.455,41,120,0.342,289,332,0.87,114,352,466,186,127,18,175,238,1318,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,54,35,36,61.0,123,126,,32,50,11.0,78,48,54,96,14,173,39,40,49,57.0,50.0,44.0,48.0,73.0,64.0,,50.0,54.0,27.0,32.0,36.0,34.0,59.0,29.0,50.0,53.0,51.0,52.0,Caron Butler
2406,2006,00,1610612764,WAS,27.0,63,63,2474.0,451,975,0.463,18,72,0.25,283,328,0.863,147,320,467,233,134,17,181,188,1203,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,63,51,48,56.0,183,173,,38,46,14.0,47,59,53,71,7,181,41,51,50,,,,,,,,,,,,,,,,,,,,Caron Butler
2406,2007,00,1610612764,WAS,28.0,58,58,2314.0,439,943,0.466,66,185,0.357,236,262,0.901,93,295,388,284,128,20,150,160,1180,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,82,54,56,57.0,98,103,80.0,53,71,6.0,109,76,86,49,12,166,64,58,55,61.0,48.0,53.0,27.0,52.0,50.0,53.0,41.0,48.0,18.0,64.0,69.0,66.0,43.0,29.0,99.0,39.0,48.0,48.0,Caron Butler
2406,2008,00,1610612764,WAS,29.0,67,67,2585.0,491,1085,0.453,65,210,0.31,345,402,0.858,118,296,414,290,106,20,210,165,1392,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,52,36,32,70.0,109,93,124.0,22,29,25.0,72,80,75,46,18,168,18,35,41,,,,,,,,,,,,,,,,,,,,Caron Butler
2406,2009,00,1610612764,WAS,30.0,47,47,1853.0,293,694,0.422,25,95,0.263,185,211,0.877,68,248,316,107,68,15,113,126,796,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,33,54,37,104.0,148,134,,38,42,28.0,91,53,61,120,16,155,52,56,74,74.0,45.0,48.0,39.0,52.0,47.0,54.0,46.0,58.0,6.0,114.0,50.0,63.0,95.0,38.0,47.0,44.0,52.0,61.0,Caron Butler
2406,2009,00,1610612742,DAL,30.0,27,27,930.0,157,357,0.44,17,50,0.34,79,104,0.76,36,109,145,49,48,9,47,67,410,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,33,54,37,104.0,148,134,,38,42,28.0,91,53,61,120,16,155,52,56,74,74.0,45.0,48.0,39.0,52.0,47.0,54.0,46.0,58.0,6.0,114.0,50.0,63.0,95.0,38.0,47.0,44.0,52.0,61.0,Caron Butler
2406,2009,00,0,TOT,30.0,74,74,2784.0,450,1051,0.428,42,145,0.29,264,315,0.838,104,357,461,156,116,24,160,193,1206,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,33,54,37,104.0,148,134,,38,42,28.0,91,53,61,120,16,155,52,56,74,74.0,45.0,48.0,39.0,52.0,47.0,54.0,46.0,58.0,6.0,114.0,50.0,63.0,95.0,38.0,47.0,44.0,52.0,61.0,Caron Butler
2406,2010,00,1610612742,DAL,31.0,29,29,867.0,170,378,0.45,28,65,0.431,68,88,0.773,22,96,118,46,28,8,49,59,436,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,278,219,216,,177,189,,221,230,,305,282,293,260,253,288,260,218,268,,,,,,,,,,,,,,,,,,,,Caron Butler
2406,2011,00,1610612746,LAC,32.0,63,63,1871.0,287,705,0.407,92,257,0.358,87,107,0.813,44,186,230,78,52,9,77,123,753,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,66,74,60,102.0,35,36,80.0,139,156,,168,106,127,182,97,261,128,81,141,52.0,63.0,44.0,,42.0,34.0,52.0,66.0,65.0,,109.0,66.0,76.0,79.0,59.0,86.0,36.0,60.0,93.0,Caron Butler
2406,2012,00,1610612746,LAC,33.0,78,78,1879.0,305,720,0.424,128,330,0.388,75,90,0.833,41,182,223,78,51,11,72,139,813,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,139,117,102,101.0,38,39,39.0,195,218,,215,166,183,209,145,266,195,115,179,104.0,88.0,93.0,19.0,72.0,68.0,,126.0,143.0,,141.0,101.0,113.0,175.0,109.0,83.0,99.0,97.0,112.0,Caron Butler
2406,2013,00,1610612749,MIL,34.0,34,13,821.0,137,354,0.387,53,147,0.361,47,56,0.839,16,142,158,56,23,11,52,64,374,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,201,189,165,,65,75,26.0,221,236,,309,142,180,204,167,208,226,178,211,33.0,62.0,45.0,,24.0,20.0,41.0,51.0,51.0,,61.0,38.0,38.0,69.0,72.0,81.0,71.0,55.0,65.0,Caron Butler
2406,2013,00,1610612760,OKC,34.0,22,0,598.0,76,186,0.409,45,102,0.441,16,19,0.842,5,66,71,26,24,6,8,56,213,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,201,189,165,,65,75,26.0,221,236,,309,142,180,204,167,208,226,178,211,33.0,62.0,45.0,,24.0,20.0,41.0,51.0,51.0,,61.0,38.0,38.0,69.0,72.0,81.0,71.0,55.0,65.0,Caron Butler
2406,2013,00,0,TOT,34.0,56,13,1419.0,213,540,0.394,98,249,0.394,63,75,0.84,21,208,229,82,47,17,60,120,587,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,201,189,165,,65,75,26.0,221,236,,309,142,180,204,167,208,226,178,211,33.0,62.0,45.0,,24.0,20.0,41.0,51.0,51.0,,61.0,38.0,38.0,69.0,72.0,81.0,71.0,55.0,65.0,Caron Butler
2406,2014,00,1610612765,DET,35.0,78,21,1623.0,161,396,0.407,83,219,0.379,55,61,0.902,21,175,196,79,43,4,49,120,460,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,170,239,224,,86,100,29.0,253,281,,313,189,222,223,180,370,265,227,244,,,,,,,,,,,,,,,,,,,,Caron Butler
2406,2015,00,1610612758,SAC,36.0,17,1,176.0,25,59,0.424,3,18,0.167,10,12,0.833,5,17,22,10,9,1,3,19,63,1980-03-13T00:00:00,USA,6-7,228,2002,1,10,,,416,407,411,,334,319,,402,413,,416,424,427,411,383,419,442,411,412,,,,,,,,,,,,,,,,,,,,Caron Butler
