PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
244,1990,00,1610612738,BOS,22.0,82,5,1945.0,284,612,0.464,7,34,0.206,137,157,0.873,41,141,182,344,83,14,137,161,712,1968-11-29T00:00:00,USA,,,1990,1,19,129,141,138,,123,116,,134,152,15.0,239,179,200,42,75,193,94,145,143,40.0,34.0,33.0,32.0,74.0,52.0,,39.0,38.0,40.0,50.0,35.0,37.0,19.0,26.0,32.0,21.0,36.0,36.0,Dee Brown
244,1991,00,1610612738,BOS,23.0,31,20,883.0,149,350,0.426,5,22,0.227,60,78,0.769,15,64,79,164,33,7,59,74,363,1968-11-29T00:00:00,USA,,,1990,1,19,239,221,213,,144,150,,222,226,,303,266,279,118,216,266,224,222,240,91.0,75.0,81.0,,77.0,65.0,,110.0,111.0,,106.0,97.0,102.0,32.0,131.0,46.0,82.0,92.0,82.0,Dee Brown
244,1992,00,1610612738,BOS,24.0,80,48,2254.0,328,701,0.468,26,82,0.317,192,242,0.793,45,201,246,461,138,32,136,203,874,1968-11-29T00:00:00,USA,,,1990,1,19,89,112,109,79.0,78,79,,86,89,61.0,219,120,154,21,15,106,89,106,74,96.0,106.0,103.0,75.0,61.0,51.0,,62.0,80.0,1.0,131.0,138.0,140.0,68.0,120.0,45.0,99.0,102.0,107.0,Dee Brown
244,1993,00,1610612738,BOS,25.0,77,76,2867.0,490,1021,0.48,30,96,0.313,182,219,0.831,63,237,300,347,156,47,126,207,1192,1968-11-29T00:00:00,USA,,,1990,1,19,22,41,42,51.0,87,86,,83,100,22.0,185,94,118,37,12,74,110,53,53,,,,,,,,,,,,,,,,,,,,Dee Brown
244,1994,00,1610612738,BOS,26.0,79,69,2792.0,437,977,0.447,126,327,0.385,236,277,0.852,63,186,249,301,110,49,146,181,1236,1968-11-29T00:00:00,USA,,,1990,1,19,31,53,45,84.0,26,26,40.0,52,73,16.0,161,127,146,46,33,69,82,46,61,64.0,59.0,58.0,48.0,35.0,33.0,41.0,66.0,73.0,11.0,73.0,76.0,76.0,46.0,61.0,89.0,87.0,57.0,56.0,Dee Brown
244,1995,00,1610612738,BOS,27.0,65,23,1591.0,246,616,0.399,68,220,0.309,135,158,0.854,36,100,136,146,80,12,74,119,695,1968-11-29T00:00:00,USA,,,1990,1,19,181,158,132,,82,72,92.0,136,154,14.0,249,243,247,128,80,223,206,150,190,,,,,,,,,,,,,,,,,,,,Dee Brown
244,1996,00,1610612738,BOS,28.0,21,2,522.0,61,166,0.367,20,65,0.308,18,22,0.818,8,40,48,67,31,7,24,45,160,1968-11-29T00:00:00,USA,,,1990,1,19,307,304,286,,167,169,,332,342,,363,325,335,213,223,279,324,306,313,,,,,,,,,,,,,,,,,,,,Dee Brown
244,1997,00,1610612738,BOS,29.0,41,10,811.0,109,255,0.427,43,113,0.381,19,28,0.679,10,52,62,53,44,6,32,76,280,1968-11-29T00:00:00,USA,,,1990,1,19,157,149,141,,24,32,21.0,242,259,,291,213,236,136,73,158,206,146,168,,,,,,,,,,,,,,,,,,,,Dee Brown
244,1997,00,1610612761,TOR,29.0,31,2,908.0,137,307,0.446,65,158,0.411,39,43,0.907,14,76,90,101,38,17,41,47,378,1968-11-29T00:00:00,USA,,,1990,1,19,157,149,141,,24,32,21.0,242,259,,291,213,236,136,73,158,206,146,168,,,,,,,,,,,,,,,,,,,,Dee Brown
244,1997,00,0,TOT,29.0,72,12,1719.0,246,562,0.438,108,271,0.399,58,71,0.817,24,128,152,154,82,23,73,123,658,1968-11-29T00:00:00,USA,,,1990,1,19,157,149,141,,24,32,21.0,242,259,,291,213,236,136,73,158,206,146,168,,,,,,,,,,,,,,,,,,,,Dee Brown
