PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
384,1993,00,1610612764,WAS,22.0,65,21,1604.0,327,696,0.47,1,23,0.043,124,161,0.77,88,102,190,126,63,10,108,148,779,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,159,114,115,65.0,221,157,,139,145,,139,232,191,151,124,239,128,126,168,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,1994,00,1610612764,WAS,23.0,78,71,2651.0,512,1129,0.453,96,283,0.339,173,213,0.812,105,216,321,177,80,21,151,215,1293,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,50,26,25,76.0,43,38,67.0,93,103,36.0,96,105,103,100,70,152,72,38,82,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,1995,00,1610612764,WAS,24.0,70,70,2324.0,426,905,0.471,52,154,0.338,151,214,0.706,67,172,239,154,67,18,129,205,1055,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,93,62,59,60.0,96,92,,115,102,122.0,158,159,158,124,106,180,108,72,133,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,1996,00,1610612764,WAS,25.0,79,79,2416.0,369,730,0.505,4,30,0.133,95,137,0.693,70,198,268,114,77,18,94,226,837,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,84,86,97,22.0,235,210,,164,162,,153,125,141,161,85,185,155,113,136,92.0,82.0,81.0,42.0,102.0,99.0,,79.0,83.0,53.0,74.0,121.0,105.0,112.0,81.0,69.0,95.0,88.0,104.0,Calbert Cheaney
384,1997,00,1610612764,WAS,26.0,82,82,2841.0,448,981,0.457,15,53,0.283,139,215,0.647,82,242,324,173,96,36,104,264,1050,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,30,48,46,57.0,152,152,,131,105,134.0,138,100,114,116,45,109,141,68,109,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,1998,00,1610612764,WAS,27.0,50,18,1266.0,172,415,0.414,8,37,0.216,33,67,0.493,33,108,141,73,39,16,42,146,385,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,113,111,98,,157,141,,246,205,,188,156,169,142,122,124,209,151,195,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,1999,00,1610612738,BOS,28.0,67,19,1309.0,120,273,0.44,18,54,0.333,9,21,0.429,23,115,138,80,44,14,46,158,267,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,209,257,256,,155,161,,374,356,,293,238,248,197,165,219,257,270,256,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,2000,00,1610612743,DEN,29.0,9,5,153.0,10,30,0.333,0,0,0.0,1,2,0.5,5,15,20,9,4,2,5,14,21,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,379,394,391,,295,368,,415,414,,378,383,389,367,380,352,395,402,397,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,2001,00,1610612743,DEN,30.0,68,47,1631.0,224,466,0.481,0,4,0.0,46,67,0.687,57,183,240,110,34,21,70,156,494,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,170,155,168,,288,271,,245,249,,193,167,183,158,211,167,190,181,193,,,,,,,,,,,,,,,,,,,,Calbert Cheaney
384,2002,00,1610612762,UTA,31.0,81,74,2351.0,325,651,0.499,10,25,0.4,40,69,0.58,73,211,284,163,65,13,108,225,700,1971-07-17T00:00:00,USA,6-7,210,1993,1,6,81,93,106,14.0,177,193,,265,245,,146,136,142,113,114,230,121,126,141,115.0,123.0,121.0,,101.0,131.0,,148.0,130.0,,127.0,152.0,147.0,100.0,124.0,96.0,105.0,134.0,154.0,Calbert Cheaney
