PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
386,1991,00,1610612746,LAC,23.0,10,0,66.0,6,15,0.4,0,2,0.0,1,2,0.5,2,5,7,14,9,1,13,10,13,1969-03-28T00:00:00,USA,,,1991,2,37,292,300,292,,194,213,,278,275,,306,316,317,209,215,309,235,296,304,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1991,00,1610612766,CHH,23.0,40,0,371.0,43,114,0.377,1,5,0.2,26,39,0.667,12,20,32,64,25,2,37,26,113,1969-03-28T00:00:00,USA,,,1991,2,37,292,300,292,,194,213,,278,275,,306,316,317,209,215,309,235,296,304,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1991,00,0,TOT,23.0,50,0,437.0,49,129,0.38,1,7,0.143,27,41,0.659,14,25,39,78,34,3,50,36,126,1969-03-28T00:00:00,USA,,,1991,2,37,292,300,292,,194,213,,278,275,,306,316,317,209,215,309,235,296,304,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1993,00,1610612756,PHX,25.0,27,9,432.0,42,113,0.372,0,3,0.0,21,28,0.75,12,27,39,125,25,1,43,36,105,1969-03-28T00:00:00,USA,,,1991,2,37,293,306,298,,247,253,,301,311,,319,325,323,153,245,341,257,310,290,166.0,164.0,156.0,,81.0,114.0,,158.0,161.0,,164.0,169.0,175.0,152.0,125.0,129.0,143.0,165.0,184.0,Elliot Perry
386,1994,00,1610612756,PHX,26.0,82,51,1977.0,306,588,0.52,25,60,0.417,158,195,0.81,51,100,151,394,156,4,163,142,795,1969-03-28T00:00:00,USA,,,1991,2,37,124,114,131,18.0,132,149,,102,116,38.0,192,222,218,26,6,297,54,119,90,100.0,72.0,79.0,,64.0,75.0,,45.0,50.0,31.0,108.0,108.0,113.0,64.0,61.0,125.0,65.0,66.0,81.0,Elliot Perry
386,1995,00,1610612756,PHX,27.0,81,26,1668.0,261,549,0.475,24,59,0.407,151,194,0.778,34,102,136,353,87,5,146,140,697,1969-03-28T00:00:00,USA,,,1991,2,37,168,150,158,,155,169,,115,125,61.0,260,239,247,32,62,303,85,149,140,137.0,125.0,133.0,,100.0,121.0,,153.0,156.0,,157.0,143.0,158.0,62.0,93.0,112.0,166.0,136.0,124.0,Elliot Perry
386,1996,00,1610612749,MIL,28.0,82,3,1597.0,217,458,0.474,49,137,0.358,79,106,0.745,24,100,124,247,98,3,111,117,562,1969-03-28T00:00:00,USA,,,1991,2,37,172,160,164,,115,115,,189,194,,298,235,251,68,49,332,132,162,170,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1997,00,1610612749,MIL,29.0,81,33,1752.0,241,561,0.43,17,50,0.34,92,109,0.844,21,87,108,230,90,2,128,129,591,1969-03-28T00:00:00,USA,,,1991,2,37,152,153,142,,146,155,,186,206,,303,268,281,65,54,351,99,167,198,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1998,00,1610612749,MIL,30.0,5,0,47.0,9,17,0.529,1,1,1.0,1,2,0.5,1,7,8,12,4,0,2,3,20,1969-03-28T00:00:00,USA,,,1991,2,37,319,297,292,,149,171,,333,339,,336,320,330,198,230,376,233,303,314,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1998,00,1610612751,NJN,30.0,30,0,243.0,30,86,0.349,9,23,0.391,9,12,0.75,6,20,26,35,16,0,32,22,78,1969-03-28T00:00:00,USA,,,1991,2,37,319,297,292,,149,171,,333,339,,336,320,330,198,230,376,233,303,314,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1998,00,0,TOT,30.0,35,0,290.0,39,103,0.379,10,24,0.417,10,14,0.714,7,27,34,47,20,0,34,25,98,1969-03-28T00:00:00,USA,,,1991,2,37,319,297,292,,149,171,,333,339,,336,320,330,198,230,376,233,303,314,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,1999,00,1610612751,NJN,31.0,60,5,803.0,128,294,0.435,11,39,0.282,50,62,0.806,13,48,61,139,39,1,60,47,317,1969-03-28T00:00:00,USA,,,1991,2,37,270,246,246,,180,180,,247,264,,344,322,334,132,189,369,226,254,262,,,,,,,,,,,,,,,,,,,,Elliot Perry
386,2000,00,1610612753,ORL,32.0,6,0,39.0,5,11,0.455,0,1,0.0,0,0,0.0,1,3,4,5,3,0,6,1,10,1969-03-28T00:00:00,USA,,,1991,2,37,319,305,312,,250,267,,340,349,,360,337,345,193,273,374,280,317,316,165.0,124.0,140.0,,97.0,104.0,,138.0,150.0,,140.0,148.0,154.0,105.0,102.0,130.0,171.0,131.0,122.0,Elliot Perry
386,2000,00,1610612756,PHX,32.0,43,6,459.0,60,129,0.465,1,4,0.25,16,22,0.727,8,34,42,74,19,1,32,28,137,1969-03-28T00:00:00,USA,,,1991,2,37,319,305,312,,250,267,,340,349,,360,337,345,193,273,374,280,317,316,165.0,124.0,140.0,,97.0,104.0,,138.0,150.0,,140.0,148.0,154.0,105.0,102.0,130.0,171.0,131.0,122.0,Elliot Perry
386,2000,00,0,TOT,32.0,49,6,499.0,65,140,0.464,1,5,0.2,16,22,0.727,9,37,46,79,22,1,38,29,147,1969-03-28T00:00:00,USA,,,1991,2,37,319,305,312,,250,267,,340,349,,360,337,345,193,273,374,280,317,316,165.0,124.0,140.0,,97.0,104.0,,138.0,150.0,,140.0,148.0,154.0,105.0,102.0,130.0,171.0,131.0,122.0,Elliot Perry
386,2001,00,1610612763,MEM,33.0,2,0,48.0,5,10,0.5,0,0,0.0,1,2,0.5,0,4,4,7,3,0,7,6,11,1969-03-28T00:00:00,USA,,,1991,2,37,417,418,424,,288,361,,419,420,,425,418,427,378,386,412,392,419,419,,,,,,,,,,,,,,,,,,,,Elliot Perry
