PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
400,1991,00,1610612764,WAS,24.0,1,0,12.0,0,4,0.0,0,0,0.0,3,4,0.75,1,4,5,1,0,0,1,1,3,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,375,381,377,,240,326,,364,365,,365,364,367,367,370,357,372,377,373,,,,,,,,,,,,,,,,,,,,Derek Strong
400,1992,00,1610612749,MIL,25.0,23,0,339.0,42,92,0.457,4,8,0.5,68,85,0.8,40,75,115,14,11,1,13,20,156,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,305,308,310,,163,198,,223,234,,232,252,251,319,302,344,329,291,283,,,,,,,,,,,,,,,,,,,,Derek Strong
400,1993,00,1610612749,MIL,26.0,67,11,1131.0,141,341,0.413,3,13,0.231,159,206,0.772,109,172,281,48,38,14,61,69,444,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,215,225,217,,186,192,,104,114,65.0,101,144,129,252,202,204,217,198,199,,,,,,,,,,,,,,,,,,,,Derek Strong
400,1994,00,1610612738,BOS,27.0,70,24,1344.0,149,329,0.453,2,7,0.286,141,172,0.82,136,239,375,44,24,13,79,143,441,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,186,211,202,,232,254,,117,137,32.0,76,95,83,256,251,210,181,196,177,111.0,142.0,136.0,,101.0,131.0,,119.0,108.0,,38.0,88.0,70.0,116.0,86.0,89.0,106.0,143.0,122.0,Derek Strong
400,1995,00,1610612747,LAL,28.0,63,0,746.0,72,169,0.426,1,9,0.111,69,85,0.812,60,118,178,32,18,12,20,80,214,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,272,300,296,,265,254,,221,236,,177,215,206,295,296,223,345,286,255,,,,,,,,,,,,,,,,,,,,Derek Strong
400,1996,00,1610612753,ORL,29.0,82,21,2005.0,262,586,0.447,0,13,0.0,175,218,0.803,174,345,519,73,47,20,102,196,699,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,121,134,136,,303,245,,92,102,43.0,46,54,50,205,169,164,145,138,118,63.0,71.0,83.0,12.0,102.0,110.0,,48.0,50.0,51.0,23.0,43.0,37.0,112.0,98.0,69.0,46.0,67.0,63.0,Derek Strong
400,1997,00,1610612753,ORL,30.0,58,8,1638.0,259,617,0.42,0,4,0.0,218,279,0.781,152,275,427,51,31,24,74,122,736,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,171,135,121,,274,265,,67,73,63.0,61,75,72,255,241,150,203,131,141,,,,,,,,,,,,,,,,,,,,Derek Strong
400,1998,00,1610612753,ORL,31.0,44,0,695.0,76,180,0.422,0,2,0.0,71,99,0.717,66,95,161,17,15,7,37,64,223,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,236,236,238,,255,269,,148,151,,95,182,142,300,261,232,223,224,229,162.0,161.0,168.0,,87.0,112.0,,139.0,143.0,,160.0,173.0,178.0,163.0,130.0,123.0,148.0,157.0,167.0,Derek Strong
400,1999,00,1610612753,ORL,32.0,20,0,148.0,21,48,0.438,1,4,0.25,11,14,0.786,11,33,44,4,5,2,12,15,54,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,382,370,378,,247,268,,363,372,,361,352,355,398,369,354,368,372,371,,,,,,,,,,,,,,,,,,,,Derek Strong
400,2000,00,1610612746,LAC,33.0,28,8,492.0,45,117,0.385,0,1,0.0,28,37,0.757,34,74,108,7,14,1,22,30,118,1968-02-09T00:00:00,USA,6-9,240,1990,2,47,321,331,325,,295,335,,299,305,,249,287,281,372,302,374,330,334,329,,,,,,,,,,,,,,,,,,,,Derek Strong
