PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
402,1985,00,1610612737,ATL,23.0,82,15,1695.0,263,519,0.507,0,1,0.0,156,257,0.607,171,296,467,55,37,69,111,296,682,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,133,136,136,,165,228,,115,81,136.0,42,61,52,212,182,38,135,130,129,56.0,98.0,96.0,,51.0,102.0,,37.0,27.0,82.0,57.0,52.0,56.0,105.0,54.0,23.0,79.0,84.0,80.0,Jon Koncak
402,1986,00,1610612737,ATL,24.0,82,19,1684.0,169,352,0.48,0,1,0.0,125,191,0.654,153,340,493,31,52,76,92,262,463,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,126,172,179,,167,234,,130,111,126.0,65,50,54,248,123,43,147,166,134,115.0,132.0,138.0,,56.0,100.0,,107.0,118.0,,92.0,66.0,74.0,124.0,91.0,52.0,163.0,129.0,98.0,Jon Koncak
402,1987,00,1610612737,ATL,25.0,49,22,1073.0,98,203,0.483,0,2,0.0,83,136,0.61,103,230,333,19,36,56,53,161,279,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,188,226,226,,176,200,,173,155,,100,85,92,270,173,56,211,219,178,,,,,,,,,,,,,,,,,,,,Jon Koncak
402,1988,00,1610612737,ATL,26.0,74,22,1531.0,141,269,0.524,0,3,0.0,63,114,0.553,147,306,453,56,54,98,60,238,345,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,157,211,220,,209,220,,202,175,,69,64,70,220,137,20,211,213,144,55.0,91.0,106.0,,66.0,110.0,,31.0,35.0,27.0,33.0,36.0,35.0,114.0,98.0,22.0,76.0,67.0,57.0,Jon Koncak
402,1989,00,1610612737,ATL,27.0,54,28,977.0,78,127,0.614,0,1,0.0,42,79,0.532,58,168,226,23,38,34,47,182,198,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,225,271,290,,231,282,,257,232,,189,156,169,284,191,102,246,272,227,,,,,,,,,,,,,,,,,,,,Jon Koncak
402,1990,00,1610612737,ATL,28.0,77,61,1931.0,140,321,0.436,1,8,0.125,32,54,0.593,101,274,375,124,74,76,50,265,313,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,134,219,216,,200,205,,282,270,,126,81,90,150,95,40,238,234,167,81.0,142.0,130.0,,74.0,112.0,,128.0,137.0,,98.0,68.0,73.0,89.0,99.0,41.0,119.0,143.0,113.0,Jon Koncak
402,1991,00,1610612737,ATL,29.0,77,14,1489.0,111,284,0.391,0,12,0.0,19,29,0.655,62,199,261,132,50,67,54,207,241,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,180,245,230,,240,181,,300,297,,193,129,143,149,157,51,231,257,206,,,,,,,,,,,,,,,,,,,,Jon Koncak
402,1992,00,1610612737,ATL,30.0,78,65,1975.0,124,267,0.464,3,8,0.375,24,50,0.48,100,327,427,140,75,100,52,264,275,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,116,241,246,,172,198,,299,276,,115,51,68,140,96,24,247,255,139,122.0,166.0,147.0,,81.0,114.0,,146.0,142.0,,71.0,83.0,79.0,126.0,100.0,42.0,141.0,169.0,124.0,Jon Koncak
402,1993,00,1610612737,ATL,31.0,82,78,1823.0,159,369,0.431,0,3,0.0,24,36,0.667,83,282,365,102,63,125,44,236,342,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,137,212,206,,247,253,,292,293,,146,73,88,169,124,16,252,234,154,58.0,63.0,62.0,,81.0,114.0,,118.0,100.0,,95.0,54.0,64.0,61.0,59.0,12.0,91.0,79.0,74.0,Jon Koncak
402,1994,00,1610612737,ATL,32.0,62,20,943.0,77,187,0.412,12,36,0.333,13,24,0.542,23,161,184,52,36,46,20,137,179,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,237,284,277,,166,173,,345,336,,278,160,188,245,198,74,326,295,241,,,,,,,,,,,,,,,,,,,,Jon Koncak
402,1995,00,1610612753,ORL,33.0,67,35,1288.0,84,175,0.48,3,9,0.333,32,57,0.561,63,209,272,51,27,44,41,226,203,1963-05-17T00:00:00,USA,7-0,250,1985,1,5,204,282,292,,235,254,,303,281,,169,126,137,253,243,80,288,291,225,79.0,141.0,149.0,,100.0,121.0,,117.0,101.0,,62.0,75.0,75.0,117.0,59.0,42.0,122.0,144.0,100.0,Jon Koncak
