PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
446,1993,00,1610612742,DAL,23.0,77,0,1165.0,162,385,0.421,7,33,0.212,87,119,0.731,45,112,157,106,49,10,78,117,418,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,210,206,199,,149,132,,187,188,,216,217,222,166,168,239,185,209,232,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,1994,00,1610612742,DAL,24.0,79,31,1695.0,280,610,0.459,55,142,0.387,136,170,0.8,85,135,220,132,58,14,77,105,751,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,151,130,122,,85,91,35.0,128,141,46.0,129,181,160,135,128,198,189,130,147,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,1995,00,1610612742,DAL,25.0,61,1,1016.0,183,397,0.461,47,125,0.376,68,87,0.782,41,81,122,79,35,3,46,56,481,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,236,191,191,,102,109,,223,232,,229,264,262,198,211,332,269,192,224,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,1996,00,1610612755,PHI,26.0,54,3,811.0,112,294,0.381,36,99,0.364,33,47,0.702,27,44,71,50,41,3,34,45,293,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,267,249,230,,131,137,,290,291,,281,318,313,242,191,332,286,254,296,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,1997,00,1610612751,NJN,27.0,50,0,671.0,69,177,0.39,12,39,0.308,41,55,0.745,21,31,52,42,42,5,21,77,191,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,291,295,286,,163,168,,280,293,,303,341,333,277,202,296,332,290,306,136.0,151.0,154.0,,90.0,88.0,,110.0,117.0,23.0,137.0,120.0,132.0,137.0,106.0,123.0,130.0,141.0,139.0,Lucious Harris
446,1998,00,1610612751,NJN,28.0,36,5,602.0,73,181,0.403,11,50,0.22,36,48,0.75,21,46,67,31,18,7,18,52,193,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,248,241,237,,143,121,,233,239,,250,278,280,236,242,232,307,244,270,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,1999,00,1610612751,NJN,29.0,77,11,1510.0,198,463,0.428,38,115,0.33,79,99,0.798,53,134,187,100,65,6,42,98,513,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,190,180,171,,115,116,,199,207,,195,211,209,166,112,293,270,181,209,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,2000,00,1610612751,NJN,30.0,73,50,2071.0,265,624,0.425,46,132,0.348,107,139,0.77,71,217,288,135,74,16,64,127,683,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,115,123,116,,102,105,,149,165,,155,128,136,129,88,195,209,128,140,,,,,,,,,,,,,,,,,,,,Lucious Harris
446,2001,00,1610612751,NJN,31.0,74,0,1556.0,249,537,0.464,44,118,0.373,133,158,0.842,49,158,207,116,53,6,61,99,675,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,180,140,146,,111,119,,121,143,26.0,211,201,211,147,153,298,214,135,158,21.0,18.0,24.0,,33.0,37.0,,19.0,23.0,20.0,49.0,35.0,36.0,44.0,23.0,117.0,38.0,19.0,26.0,Lucious Harris
446,2002,00,1610612751,NJN,32.0,77,25,1972.0,298,721,0.413,47,136,0.346,152,189,0.804,63,169,232,155,53,8,71,95,795,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,126,107,92,,105,105,,96,104,45.0,176,181,180,120,150,272,197,105,154,29.0,31.0,26.0,,37.0,34.0,,29.0,31.0,38.0,30.0,56.0,44.0,36.0,51.0,138.0,29.0,32.0,48.0,Lucious Harris
446,2003,00,1610612751,NJN,33.0,69,15,1507.0,187,463,0.404,38,101,0.376,66,78,0.846,39,101,140,135,41,2,53,74,478,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,180,177,167,,121,126,,211,237,,244,254,257,137,194,356,238,183,221,80.0,85.0,84.0,,68.0,62.0,,62.0,62.0,,58.0,106.0,93.0,84.0,50.0,100.0,116.0,84.0,89.0,Lucious Harris
446,2004,00,1610612739,CLE,34.0,73,4,1127.0,118,299,0.395,21,65,0.323,56,69,0.812,39,82,121,49,27,6,29,68,313,1970-12-18T00:00:00,USA,6-5,205,1993,2,28,249,262,251,,173,175,,253,268,,232,296,288,268,260,304,318,266,285,,,,,,,,,,,,,,,,,,,,Lucious Harris
