PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
739,1995,00,1610612764,WAS,21.0,65,51,1788.0,275,565,0.487,27,82,0.329,78,120,0.65,93,210,303,85,42,54,103,206,655,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,148,137,155,,146,146,,206,197,,118,124,125,190,187,59,143,161,162,,,,,,,,,,,,,,,,,,,,Rasheed Wallace
739,1996,00,1610612757,POR,22.0,62,56,1898.0,380,681,0.558,9,33,0.273,169,265,0.638,122,297,419,74,48,59,114,198,938,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,139,78,111,3.0,204,203,,99,70,127.0,84,67,67,202,163,56,127,90,89,75.0,50.0,62.0,5.0,73.0,82.0,,72.0,59.0,78.0,65.0,76.0,76.0,89.0,98.0,69.0,85.0,57.0,65.0,Rasheed Wallace
739,1997,00,1610612757,POR,23.0,77,77,2896.0,466,875,0.533,8,39,0.205,184,278,0.662,132,346,478,195,75,88,167,268,1124,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,25,40,62,8.0,180,168,,85,74,128.0,83,50,57,100,90,29,57,56,43,80.0,68.0,79.0,21.0,51.0,72.0,1.0,87.0,72.0,77.0,63.0,96.0,87.0,68.0,106.0,61.0,99.0,73.0,90.0,Rasheed Wallace
739,1998,00,1610612757,POR,24.0,49,18,1414.0,242,476,0.508,13,31,0.419,131,179,0.732,57,184,241,60,48,54,80,175,628,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,82,55,76,6.0,132,153,,63,56,81.0,114,71,87,166,74,32,90,59,64,14.0,12.0,15.0,10.0,72.0,60.0,,12.0,13.0,54.0,21.0,22.0,20.0,38.0,6.0,15.0,40.0,14.0,15.0,Rasheed Wallace
739,1999,00,1610612757,POR,25.0,81,77,2845.0,542,1045,0.519,8,50,0.16,233,331,0.704,129,437,566,142,87,107,157,216,1325,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,33,27,43,5.0,193,165,,52,48,109.0,74,27,36,128,69,26,71,37,29,13.0,5.0,9.0,9.0,36.0,50.0,,13.0,13.0,40.0,8.0,12.0,9.0,36.0,16.0,7.0,24.0,6.0,7.0,Rasheed Wallace
739,2000,00,1610612757,POR,26.0,77,75,2940.0,590,1178,0.501,52,162,0.321,245,320,0.766,147,455,602,212,90,135,158,206,1477,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,28,21,34,11.0,90,85,,50,48,77.0,54,27,32,87,55,18,58,29,20,86.0,72.0,66.0,56.0,47.0,54.0,28.0,76.0,63.0,60.0,79.0,66.0,71.0,80.0,121.0,52.0,106.0,78.0,88.0,Rasheed Wallace
739,2001,00,1610612757,POR,27.0,79,79,2963.0,603,1287,0.469,114,317,0.36,201,274,0.734,136,509,645,152,101,101,131,212,1521,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,27,16,22,37.0,33,25,57.0,62,57,94.0,66,16,24,117,34,25,87,22,18,93.0,56.0,54.0,44.0,38.0,43.0,19.0,64.0,67.0,26.0,55.0,49.0,52.0,101.0,101.0,66.0,131.0,55.0,63.0,Rasheed Wallace
739,2002,00,1610612757,POR,28.0,74,74,2684.0,515,1094,0.471,110,307,0.358,200,272,0.735,113,435,548,153,70,77,140,223,1340,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,47,33,40,27.0,32,29,51.0,68,66,96.0,89,25,36,122,97,42,79,39,31,60.0,46.0,50.0,27.0,28.0,31.0,22.0,62.0,61.0,58.0,70.0,72.0,70.0,65.0,86.0,42.0,114.0,49.0,58.0,Rasheed Wallace
739,2003,00,1610612757,POR,29.0,45,44,1675.0,296,669,0.442,59,173,0.341,115,155,0.742,69,229,298,114,36,72,87,131,766,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,80,53,49,65.0,52,49,71.0,95,94,92.0,95,42,59,116,131,20,105,63,68,6.0,6.0,6.0,39.0,14.0,5.0,49.0,19.0,18.0,37.0,3.0,5.0,5.0,27.0,32.0,3.0,9.0,8.0,7.0,Rasheed Wallace
739,2003,00,1610612737,ATL,29.0,1,1,42.0,8,24,0.333,1,6,0.167,3,3,1.0,1,5,6,2,1,5,3,0,20,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,80,53,49,65.0,52,49,71.0,95,94,92.0,95,42,59,116,131,20,105,63,68,6.0,6.0,6.0,39.0,14.0,5.0,49.0,19.0,18.0,37.0,3.0,5.0,5.0,27.0,32.0,3.0,9.0,8.0,7.0,Rasheed Wallace
739,2003,00,1610612765,DET,29.0,22,21,673.0,121,281,0.431,22,69,0.319,38,54,0.704,32,123,155,40,24,45,29,59,302,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,80,53,49,65.0,52,49,71.0,95,94,92.0,95,42,59,116,131,20,105,63,68,6.0,6.0,6.0,39.0,14.0,5.0,49.0,19.0,18.0,37.0,3.0,5.0,5.0,27.0,32.0,3.0,9.0,8.0,7.0,Rasheed Wallace
739,2003,00,0,TOT,29.0,68,66,2392.0,425,974,0.436,82,248,0.331,156,212,0.736,102,357,459,156,61,122,119,190,1088,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,80,53,49,65.0,52,49,71.0,95,94,92.0,95,42,59,116,131,20,105,63,68,6.0,6.0,6.0,39.0,14.0,5.0,49.0,19.0,18.0,37.0,3.0,5.0,5.0,27.0,32.0,3.0,9.0,8.0,7.0,Rasheed Wallace
739,2004,00,1610612765,DET,30.0,79,79,2687.0,467,1062,0.44,75,236,0.318,136,195,0.697,174,470,644,142,65,115,127,236,1145,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,44,38,35,74.0,65,58,91.0,128,122,121.0,38,24,25,125,102,22,84,54,41,7.0,8.0,5.0,41.0,9.0,4.0,43.0,25.0,23.0,42.0,11.0,3.0,4.0,29.0,3.0,3.0,11.0,9.0,8.0,Rasheed Wallace
739,2005,00,1610612765,DET,31.0,80,80,2780.0,459,1067,0.43,155,434,0.357,136,183,0.743,90,457,547,182,82,130,85,232,1209,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,48,44,38,87.0,15,9,65.0,123,131,92.0,113,21,35,98,56,14,166,48,41,20.0,20.0,18.0,42.0,5.0,9.0,21.0,38.0,27.0,72.0,29.0,12.0,15.0,33.0,39.0,13.0,29.0,21.0,20.0,Rasheed Wallace
739,2006,00,1610612765,DET,32.0,75,72,2419.0,357,843,0.423,104,296,0.351,108,137,0.788,90,453,543,127,75,118,94,225,926,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,71,82,77,102.0,47,41,77.0,162,175,,105,22,38,139,64,19,164,88,68,16.0,14.0,12.0,36.0,9.0,9.0,39.0,30.0,36.0,14.0,29.0,7.0,8.0,31.0,12.0,3.0,38.0,14.0,10.0,Rasheed Wallace
739,2007,00,1610612765,DET,33.0,77,76,2346.0,376,870,0.432,112,315,0.356,115,150,0.767,84,427,511,137,91,129,86,213,979,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,79,81,72,105.0,51,39,82.0,147,149,,122,30,47,135,39,11,160,80,63,14.0,17.0,16.0,45.0,10.0,8.0,40.0,38.0,34.0,51.0,31.0,11.0,13.0,34.0,11.0,4.0,20.0,18.0,19.0,Rasheed Wallace
739,2008,00,1610612765,DET,34.0,66,63,2123.0,302,720,0.419,113,319,0.354,78,101,0.772,56,434,490,91,62,86,59,197,795,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,109,118,104,106.0,48,36,98.0,200,202,,173,25,47,185,106,30,227,126,106,116.0,113.0,113.0,,66.0,82.0,6.0,165.0,171.0,,126.0,71.0,84.0,121.0,110.0,96.0,124.0,117.0,114.0,Rasheed Wallace
739,2009,00,1610612738,BOS,35.0,79,13,1780.0,266,650,0.409,82,290,0.283,96,125,0.768,42,283,325,80,80,70,63,222,710,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,153,146,126,,67,46,129.0,177,183,,205,88,119,214,59,49,216,143,148,25.0,36.0,31.0,,17.0,13.0,43.0,49.0,54.0,,88.0,19.0,25.0,90.0,29.0,13.0,71.0,37.0,35.0,Rasheed Wallace
739,2012,00,1610612752,NYK,38.0,21,0,296.0,55,142,0.387,22,69,0.319,14,20,0.7,11,72,83,6,13,15,10,40,146,1974-09-17T00:00:00,USA,6-11,230,1995,1,4,387,350,339,,207,213,,362,374,,366,314,336,418,347,224,405,346,360,,,,,,,,,,,,,,,,,,,,Rasheed Wallace
