PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
76046,1984,00,1610612739,CLE,26.0,36,7,520.0,84,195,0.431,1,2,0.5,41,50,0.82,39,49,88,34,9,7,34,40,210,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,248,235,228,,116,188,,232,242,,207,244,234,239,267,212,254,235,247,173.0,178.0,173.0,,48.0,99.0,,162.0,163.0,,148.0,157.0,161.0,170.0,154.0,119.0,171.0,180.0,180.0,Ron Anderson
76046,1985,00,1610612739,CLE,27.0,17,3,207.0,37,74,0.5,0,1,0.0,12,16,0.75,5,21,26,8,1,0,6,20,86,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,134,109,109,53.0,116,136,,180,169,,81,146,122,125,132,219,180,124,144,,,,,,,,,,,,,,,,,,,,Ron Anderson
76046,1985,00,1610612754,IND,27.0,60,27,1469.0,273,554,0.493,2,8,0.25,73,111,0.658,125,123,248,136,55,6,76,105,621,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,134,109,109,53.0,116,136,,180,169,,81,146,122,125,132,219,180,124,144,,,,,,,,,,,,,,,,,,,,Ron Anderson
76046,1985,00,0,TOT,27.0,77,30,1676.0,310,628,0.494,2,9,0.222,85,127,0.669,130,144,274,144,56,6,82,125,707,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,134,109,109,53.0,116,136,,180,169,,81,146,122,125,132,219,180,124,144,,,,,,,,,,,,,,,,,,,,Ron Anderson
76046,1986,00,1610612754,IND,28.0,63,0,721.0,139,294,0.473,0,5,0.0,85,108,0.787,73,78,151,54,31,3,55,65,363,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,226,201,205,,167,159,,174,183,,140,214,184,216,196,257,213,196,209,160.0,157.0,165.0,,56.0,100.0,,163.0,166.0,,127.0,164.0,158.0,159.0,147.0,121.0,163.0,162.0,161.0,Ron Anderson
76046,1987,00,1610612754,IND,29.0,74,1,1097.0,217,436,0.498,0,2,0.0,108,141,0.766,89,127,216,78,41,6,73,98,542,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,184,155,167,,176,200,,150,153,,117,167,154,178,155,220,176,160,163,,,,,,,,,,,,,,,,,,,,Ron Anderson
76046,1988,00,1610612755,PHL,30.0,82,12,2618.0,566,1152,0.491,2,11,0.182,196,229,0.856,167,239,406,139,71,23,126,166,1330,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,47,34,36,49.0,151,157,,87,106,19.0,47,94,78,123,103,132,114,48,77,99.0,59.0,67.0,3.0,66.0,86.0,,120.0,124.0,,76.0,99.0,93.0,66.0,118.0,64.0,133.0,71.0,73.0,Ron Anderson
76046,1989,00,1610612755,PHL,31.0,78,3,2089.0,379,841,0.451,3,21,0.143,165,197,0.838,81,214,295,143,72,13,78,143,926,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,119,96,90,113.0,150,136,,119,136,34.0,150,120,134,137,100,191,195,106,134,47.0,48.0,43.0,71.0,34.0,53.0,,34.0,47.0,6.0,83.0,44.0,54.0,67.0,83.0,107.0,46.0,46.0,61.0,Ron Anderson
76046,1990,00,1610612755,PHL,32.0,82,13,2340.0,512,1055,0.485,9,43,0.209,165,198,0.833,103,264,367,115,65,13,100,163,1198,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,84,47,42,59.0,114,99,,110,126,32.0,125,85,93,158,112,200,157,63,97,48.0,47.0,45.0,70.0,56.0,52.0,,61.0,68.0,16.0,50.0,91.0,83.0,46.0,54.0,118.0,51.0,52.0,73.0,Ron Anderson
76046,1991,00,1610612755,PHL,33.0,82,11,2432.0,469,1008,0.465,42,127,0.331,143,163,0.877,96,182,278,135,86,11,109,128,1123,1958-10-15T00:00:00,USA,6-7,215,1984,2,27,74,57,52,91.0,40,42,,126,151,10.0,125,142,133,146,70,230,131,74,119,,,,,,,,,,,,,,,,,,,,Ron Anderson
