PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
76441,1978,00,1610612744,GOS,22.0,65,1,795.0,128,293,0.437,,,,41,61,0.672,90,190,280,21,7,44,52,118,297,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,206,197,198,,,,,213,213,,127,101,115,239,250,71,214,203,198,,,,,,,,,,,,,,,,,,,,Wayne Cooper
76441,1979,00,1610612744,GOS,23.0,79,42,1781.0,367,750,0.489,1.0,4.0,0.25,136,181,0.751,202,305,507,42,20,79,140,246,871,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,127,90,89,54.0,106.0,142.0,,118,117,90.0,37,58,55,226,223,30,109,97,106,,,,,,,,,,,,,,,,,,,,Wayne Cooper
76441,1980,00,1610612762,UTH,24.0,71,19,1420.0,213,471,0.452,1.0,3.0,0.333,62,90,0.689,166,274,440,52,18,51,77,219,489,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,168,161,156,,100.0,160.0,,198,199,,54,75,66,224,232,65,191,169,152,,,,,,,,,,,,,,,,,,,,Wayne Cooper
76441,1981,00,1610612742,DAL,25.0,76,38,1818.0,281,669,0.42,1.0,8.0,0.125,119,160,0.744,200,350,550,115,37,106,88,285,682,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,124,130,107,,110.0,114.0,,142,142,,31,41,43,149,173,24,171,133,98,,,,,,,,,,,,,,,,,,,,Wayne Cooper
76441,1982,00,1610612757,POR,26.0,80,60,2099.0,320,723,0.443,0.0,5.0,0.0,135,197,0.685,214,397,611,116,27,136,162,318,775,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,93,108,95,110.0,149.0,145.0,,116,107,110.0,25,34,29,155,209,16,87,112,89,33.0,33.0,35.0,26.0,29.0,72.0,,42.0,47.0,10.0,13.0,29.0,24.0,65.0,69.0,17.0,31.0,34.0,34.0,Wayne Cooper
76441,1983,00,1610612757,POR,27.0,81,38,1662.0,304,663,0.459,0.0,7.0,0.0,185,230,0.804,176,300,476,76,26,106,110,247,793,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,141,115,104,104.0,163.0,126.0,,93,100,46.0,39,65,56,188,201,25,142,108,111,112.0,125.0,117.0,,53.0,102.0,,132.0,116.0,,65.0,111.0,94.0,128.0,125.0,52.0,112.0,132.0,128.0,Wayne Cooper
76441,1984,00,1610612743,DEN,28.0,80,78,2031.0,404,856,0.472,0.0,2.0,0.0,161,235,0.685,229,402,631,86,28,197,149,304,969,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,104,84,75,88.0,148.0,188.0,,101,94,109.0,12,34,23,178,196,4,90,90,67,31.0,27.0,24.0,59.0,48.0,99.0,,36.0,34.0,61.0,11.0,17.0,12.0,53.0,46.0,2.0,39.0,29.0,21.0,Wayne Cooper
76441,1985,00,1610612743,DEN,29.0,78,78,2112.0,422,906,0.466,3.0,7.0,0.429,174,219,0.795,190,420,610,81,42,227,117,315,1021,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,91,71,66,89.0,98.0,151.0,,93,109,56.0,28,30,31,179,161,4,125,75,51,69.0,75.0,66.0,,51.0,62.0,,60.0,64.0,,57.0,45.0,48.0,95.0,103.0,34.0,59.0,72.0,80.0,Wayne Cooper
76441,1986,00,1610612743,DEN,30.0,69,64,1561.0,235,524,0.448,0.0,3.0,0.0,79,109,0.725,162,311,473,68,13,101,78,257,549,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,144,145,139,,167.0,188.0,,182,182,,58,56,59,192,251,21,166,152,121,148.0,143.0,139.0,,56.0,100.0,,142.0,150.0,,83.0,95.0,95.0,139.0,147.0,98.0,152.0,147.0,123.0,Wayne Cooper
76441,1987,00,1610612743,DEN,31.0,45,32,865.0,118,270,0.437,0.0,1.0,0.0,50,67,0.746,98,172,270,30,12,94,59,145,286,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,218,210,207,,176.0,235.0,,216,219,,105,128,117,253,251,26,196,217,189,109.0,123.0,116.0,,59.0,116.0,,130.0,135.0,,43.0,70.0,62.0,110.0,80.0,30.0,114.0,126.0,96.0,Wayne Cooper
76441,1988,00,1610612743,DEN,32.0,79,72,1864.0,220,444,0.495,1.0,4.0,0.25,79,106,0.745,212,407,619,78,36,211,73,302,520,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,128,156,165,,169.0,206.0,,182,184,,32,36,33,187,192,6,192,165,93,135.0,125.0,133.0,,66.0,110.0,,158.0,161.0,,105.0,99.0,101.0,126.0,118.0,64.0,159.0,136.0,121.0,Wayne Cooper
76441,1989,00,1610612757,POR,33.0,79,0,1176.0,138,304,0.454,0.0,3.0,0.0,25,39,0.641,118,221,339,44,18,95,39,211,301,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,211,218,217,,231.0,243.0,,289,282,,99,115,112,251,266,27,261,233,191,51.0,87.0,79.0,,69.0,112.0,,83.0,67.0,,21.0,29.0,25.0,104.0,68.0,4.0,96.0,89.0,52.0,Wayne Cooper
76441,1990,00,1610612757,POR,34.0,67,1,746.0,57,145,0.393,0.0,1.0,0.0,33,42,0.786,54,134,188,22,7,61,22,120,147,1956-11-16T00:00:00,USA,6-10,220,1978,2,40,261,294,289,,235.0,295.0,,280,286,,202,190,195,299,312,55,304,293,253,165.0,169.0,175.0,,74.0,112.0,,153.0,160.0,,140.0,134.0,138.0,152.0,152.0,118.0,149.0,170.0,157.0,Wayne Cooper
