PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
76526,1976,00,1610612757,POR,21.0,79,3,1451.0,234,531,0.441,,,,166,209,0.794,62,64,126,148,41,11,,128,634,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,149,140,139,,,,,86,98,50.0,175,210,205,116,163,168,,127,27,13.0,22.0,25.0,,,,,20.0,16.0,44.0,46.0,48.0,48.0,15.0,4.0,41.0,,21.0,1.0,Johnny Davis
76526,1977,00,1610612757,POR,22.0,82,35,2188.0,343,756,0.454,,,,188,227,0.828,65,108,173,217,81,14,151.0,173,874,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,77,90,91,78.0,,,,75,88,21.0,179,164,180,80,83,163,107.0,86,135,42.0,42.0,43.0,37.0,,,,41.0,38.0,42.0,86.0,80.0,85.0,59.0,95.0,53.0,51.0,42.0,62.0,Johnny Davis
76526,1978,00,1610612754,IND,23.0,79,79,2971.0,565,1240,0.456,,,,314,396,0.793,70,121,191,453,95,22,214.0,177,1444,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,10,37,25,103.0,,,,27,31,54.0,150,162,158,10,55,120,45.0,30,68,,,,,,,,,,,,,,,,,,,,Johnny Davis
76526,1979,00,1610612754,IND,24.0,82,82,2912.0,496,1159,0.428,4.0,42.0,0.095,304,352,0.864,102,124,226,440,110,23,202.0,178,1300,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,16,48,35,109.0,65.0,31.0,,27,34,12.0,120,151,140,14,39,121,44.0,42,73,,,,,,,,,,,,,,,,,,,,Johnny Davis
76526,1980,00,1610612754,IND,25.0,76,73,2536.0,426,917,0.465,4.0,33.0,0.121,238,299,0.796,56,114,170,480,95,14,167.0,179,1094,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,53,71,61,99.0,46.0,29.0,,51,58,51.0,181,168,173,8,54,165,82.0,70,80,86.0,73.0,69.0,54.0,23.0,35.0,,52.0,65.0,4.0,95.0,88.0,93.0,62.0,84.0,84.0,108.0,70.0,75.0,Johnny Davis
76526,1981,00,1610612754,IND,26.0,82,70,2664.0,538,1153,0.467,5.0,27.0,0.185,315,394,0.799,72,106,178,346,76,11,186.0,176,1396,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,38,35,30,101.0,53.0,46.0,,23,28,42.0,154,182,175,35,70,182,45.0,33,71,,,,,,,,,,,,,,,,,,,,Johnny Davis
76526,1982,00,1610612737,ATL,27.0,53,33,1465.0,258,567,0.455,5.0,18.0,0.278,164,206,0.796,37,91,128,315,43,7,114.0,100,685,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,153,135,128,,53.0,70.0,,94,100,34.0,213,201,205,37,162,209,143.0,128,142,65.0,57.0,49.0,55.0,29.0,41.0,,58.0,63.0,7.0,105.0,102.0,108.0,30.0,106.0,83.0,70.0,58.0,69.0,Johnny Davis
76526,1983,00,1610612737,ATL,28.0,75,72,2079.0,354,800,0.443,0.0,8.0,0.0,217,256,0.848,53,86,139,326,62,6,134.0,146,925,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,98,92,80,115.0,163.0,119.0,,72,88,13.0,176,201,193,39,108,212,117.0,89,133,102.0,87.0,83.0,71.0,53.0,102.0,,115.0,130.0,,139.0,116.0,123.0,49.0,125.0,129.0,126.0,98.0,106.0,Johnny Davis
76526,1984,00,1610612739,CLE,29.0,76,30,1920.0,337,791,0.426,12.0,46.0,0.261,255,300,0.85,35,84,119,426,43,4,152.0,136,941,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,113,100,85,114.0,39.0,35.0,,55,64,16.0,220,208,214,24,149,244,84.0,93,118,139.0,117.0,135.0,,48.0,66.0,,132.0,136.0,,148.0,128.0,141.0,67.0,74.0,119.0,146.0,124.0,112.0,Johnny Davis
76526,1985,00,1610612739,CLE,30.0,39,0,612.0,102,237,0.43,2.0,11.0,0.182,67,79,0.848,6,30,36,105,24,4,40.0,44,273,1955-10-21T00:00:00,USA,6-2,170,1976,2,22,206,199,194,,98.0,112.0,,148,161,,288,245,264,77,182,240,184.0,185,203,126.0,116.0,111.0,,51.0,102.0,,122.0,131.0,,134.0,130.0,138.0,59.0,103.0,118.0,101.0,121.0,125.0,Johnny Davis
