PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
76598,1974,00,1610612737,ATL,20.0,78,,2289.0,527,1230,0.428,,,,388,544,0.713,357,479,836,138,119,39,,274,1442,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,62,32,27,71.0,,,,8,4,77.0,2,20,14,102,22,44,,29,1,,,,,,,,,,,,,,,,,,,,John Drew
76598,1975,00,1610612737,ATL,21.0,77,,2351.0,586,1168,0.502,,,,488,656,0.744,286,374,660,150,138,30,,261,1660,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,63,26,33,11.0,,,,3,2,70.0,8,34,30,88,15,60,,10,1,,,,,,,,,,,,,,,,,,,,John Drew
76598,1976,00,1610612737,ATL,22.0,74,,2688.0,689,1416,0.487,,,,412,577,0.714,280,395,675,133,102,29,,275,1790,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,33,12,15,36.0,,,,8,6,92.0,13,36,28,129,50,88,,9,1,,,,,,,,,,,,,,,,,,,,John Drew
76598,1977,00,1610612737,ATL,23.0,70,,2203.0,593,1236,0.48,,,,437,575,0.76,213,298,511,141,119,27,210.0,247,1623,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,76,27,23,55.0,,,,7,6,71.0,34,64,55,130,34,100,54.0,16,35,78.0,59.0,58.0,51.0,,,,58.0,51.0,52.0,42.0,84.0,73.0,94.0,95.0,67.0,92.0,60.0,80.0,John Drew
76598,1978,00,1610612737,ATL,24.0,79,,2410.0,650,1375,0.473,,,,495,677,0.731,225,297,522,119,128,16,211.0,332,1795,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,68,18,11,85.0,,,,5,5,99.0,29,57,53,149,23,146,48.0,11,38,36.0,29.0,22.0,45.0,,,,22.0,22.0,32.0,28.0,25.0,29.0,79.0,34.0,37.0,39.0,26.0,41.0,John Drew
76598,1979,00,1610612737,ATL,25.0,80,,2306.0,535,1182,0.453,0.0,7.0,0.0,489,646,0.757,203,268,471,101,91,23,240.0,313,1559,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,73,38,30,100.0,151.0,114.0,,6,4,85.0,36,68,61,167,64,121,21.0,23,71,52.0,52.0,44.0,53.0,33.0,75.0,,27.0,24.0,46.0,47.0,39.0,44.0,85.0,35.0,83.0,42.0,42.0,59.0,John Drew
76598,1980,00,1610612737,ATL,26.0,67,,2075.0,500,1096,0.456,0.0,7.0,0.0,454,577,0.787,145,238,383,79,98,15,194.0,264,1454,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,98,49,40,107.0,140.0,105.0,,7,7,60.0,79,82,89,193,48,160,53.0,29,84,,,,,,,,,,,,,,,,,,,,John Drew
76598,1981,00,1610612737,ATL,27.0,70,51.0,2040.0,465,957,0.486,4.0,12.0,0.333,364,491,0.741,169,206,375,96,64,3,178.0,250,1298,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,89,52,51,75.0,60.0,85.0,,14,13,93.0,47,96,84,171,101,249,54.0,39,85,89.0,86.0,82.0,54.0,24.0,61.0,,61.0,57.0,58.0,65.0,92.0,80.0,109.0,112.0,91.0,73.0,83.0,106.0,John Drew
76598,1982,00,1610612762,UTH,28.0,44,33.0,1206.0,318,671,0.474,0.0,5.0,0.0,296,392,0.755,98,137,235,97,35,7,135.0,152,932,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,183,109,109,83.0,149.0,145.0,,32,28,65.0,109,155,139,178,189,209,119.0,87,141,,,,,,,,,,,,,,,,,,,,John Drew
76598,1983,00,1610612762,UTH,29.0,81,4.0,1797.0,511,1067,0.479,6.0,22.0,0.273,402,517,0.778,146,192,338,135,88,2,192.0,208,1430,1954-09-30T00:00:00,USA,6-6,205,1974,2,25,127,47,43,79.0,53.0,59.0,,12,11,67.0,64,108,94,140,59,261,47.0,40,82,84.0,50.0,52.0,31.0,53.0,102.0,,49.0,51.0,49.0,73.0,85.0,84.0,94.0,83.0,129.0,70.0,49.0,72.0,John Drew
