PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
76712,1959,00,1610612737,STL,23.0,62,,875.0,144,338,0.426,,,,76,119,0.639,,,233,40,,,,132,364,1937-05-31T00:00:00,USA,6-8,230,1959,,,70,67,70,,,,,64,65,,,,62,72,,,,68,1,46.0,42.0,46.0,,,,,47.0,44.0,,,,40.0,57.0,,,,42.0,1.0,Bob Ferry
76712,1960,00,1610612765,DET,24.0,79,,1657.0,350,776,0.451,,,,189,255,0.741,,,500,129,,,,205,889,1937-05-31T00:00:00,USA,6-8,230,1959,,,43,34,37,10.0,,,,39,41,26.0,,,28,45,,,,35,1,32.0,27.0,30.0,19.0,,,,11.0,11.0,6.0,,,19.0,37.0,,,,24.0,1.0,Bob Ferry
76712,1961,00,1610612765,DET,25.0,80,,1918.0,411,939,0.438,,,,286,422,0.678,,,503,145,,,,199,1108,1937-05-31T00:00:00,USA,6-8,230,1959,,,45,30,32,23.0,,,,21,21,45.0,,,33,44,,,,30,1,35.0,24.0,25.0,6.0,,,,23.0,18.0,34.0,,,30.0,32.0,,,,22.0,1.0,Bob Ferry
76712,1962,00,1610612765,DET,26.0,79,,2479.0,426,984,0.433,,,,220,339,0.649,,,537,170,,,,246,1072,1937-05-31T00:00:00,USA,6-8,230,1959,,,25,26,27,29.0,,,,32,24,54.0,,,23,39,,,,26,1,40.0,38.0,40.0,18.0,,,,44.0,33.0,40.0,,,33.0,31.0,,,,41.0,1.0,Bob Ferry
76712,1963,00,1610612765,DET,27.0,74,,1522.0,298,670,0.445,,,,186,279,0.667,,,428,94,,,,174,782,1937-05-31T00:00:00,USA,6-8,230,1959,,,54,40,46,18.0,,,,43,38,48.0,,,33,60,,,,39,1,,,,,,,,,,,,,,,,,,,,Bob Ferry
76712,1964,00,1610612764,BLT,28.0,77,,1280.0,143,338,0.423,,,,122,199,0.613,,,355,60,,,,156,408,1937-05-31T00:00:00,USA,6-8,230,1959,,,66,74,76,,,,,61,56,57.0,,,44,77,,,,68,1,46.0,46.0,48.0,,,,,53.0,45.0,,,,38.0,38.0,,,,49.0,1.0,Bob Ferry
76712,1965,00,1610612764,BLT,29.0,66,,1229.0,188,457,0.411,,,,105,157,0.669,,,334,111,,,,134,481,1937-05-31T00:00:00,USA,6-8,230,1959,,,65,67,68,,,,,64,62,,,,47,53,,,,69,1,40.0,42.0,47.0,2.0,,,,38.0,37.0,26.0,,,36.0,43.0,,,,42.0,1.0,Bob Ferry
76712,1966,00,1610612764,BLT,30.0,51,,991.0,132,315,0.419,,,,70,110,0.636,,,258,92,,,,97,334,1937-05-31T00:00:00,USA,6-8,230,1959,,,86,91,92,,,,,86,86,,,,71,67,,,,91,1,,,,,,,,,,,,,,,,,,,,Bob Ferry
76712,1967,00,1610612764,BLT,31.0,59,,841.0,128,311,0.412,,,,73,117,0.624,,,186,61,,,,92,329,1937-05-31T00:00:00,USA,6-8,230,1959,,,107,106,105,,,,,103,101,,,,97,104,,,,104,1,,,,,,,,,,,,,,,,,,,,Bob Ferry
76712,1968,00,1610612764,BLT,32.0,7,,36.0,5,14,0.357,,,,3,6,0.5,,,9,4,,,,3,13,1937-05-31T00:00:00,USA,6-8,230,1959,,,162,161,161,,,,,161,161,,,,161,159,,,,161,1,,,,,,,,,,,,,,,,,,,,Bob Ferry
