PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
76874,1977,00,1610612744,GOS,23.0,76,28,1098.0,143,375,0.381,,,,54,90,0.6,49,67,116,149,58,1,79,95,340,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,186,193,181,,,,,203,195,,199,204,209,121,135,253,185,198,210,,,,,,,,,,,,,,,,,,,,Rickey Green
76874,1978,00,1610612765,DET,24.0,27,1,431.0,67,177,0.379,,,,45,67,0.672,15,25,40,63,25,1,44,37,179,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,229,225,219,,,,,208,206,,241,244,249,203,204,250,223,221,232,,,,,,,,,,,,,,,,,,,,Rickey Green
76874,1980,00,1610612762,UTH,26.0,47,38,1307.0,176,366,0.481,0.0,1.0,0.0,70,97,0.722,30,86,116,235,75,1,83,123,422,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,179,175,176,,140.0,199.0,,189,191,,221,196,208,75,96,268,182,179,177,,,,,,,,,,,,,,,,,,,,Rickey Green
76874,1981,00,1610612762,UTH,27.0,81,73,2822.0,500,1015,0.493,0.0,8.0,0.0,202,264,0.765,85,158,243,630,185,9,198,183,1202,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,24,49,45,66.0,152.0,114.0,,66,68,68.0,138,126,135,5,5,196,34,51,33,,,,,,,,,,,,,,,,,,,,Rickey Green
76874,1982,00,1610612762,UTH,28.0,78,78,2783.0,464,942,0.493,2.0,13.0,0.154,185,232,0.797,62,161,223,697,220,4,222,154,1115,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,25,57,55,52.0,87.0,91.0,,78,87,33.0,165,134,147,3,1,239,35,62,33,,,,,,,,,,,,,,,,,,,,Rickey Green
76874,1983,00,1610612762,UTH,29.0,81,81,2768.0,439,904,0.486,2.0,17.0,0.118,192,234,0.821,56,174,230,748,215,13,172,155,1072,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,22,65,62,71.0,92.0,78.0,,90,98,32.0,171,122,135,4,1,166,65,65,28,27.0,32.0,30.0,63.0,29.0,38.0,,37.0,39.0,59.0,85.0,60.0,70.0,5.0,17.0,52.0,28.0,34.0,30.0,Rickey Green
76874,1984,00,1610612762,UTH,30.0,77,77,2431.0,381,798,0.477,6.0,20.0,0.3,232,267,0.869,37,152,189,597,132,3,177,131,1000,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,63,87,82,80.0,67.0,83.0,,62,73,10.0,216,141,170,10,20,258,61,84,63,37.0,30.0,36.0,23.0,25.0,22.0,,27.0,37.0,12.0,68.0,67.0,66.0,10.0,29.0,119.0,36.0,31.0,27.0,Rickey Green
76874,1985,00,1610612762,UTH,31.0,80,44,2012.0,357,758,0.471,5.0,29.0,0.172,213,250,0.852,32,103,135,411,106,6,132,130,932,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,100,86,84,83.0,74.0,63.0,,70,87,19.0,220,184,197,27,32,219,108,86,95,87.0,83.0,84.0,45.0,26.0,49.0,,83.0,95.0,8.0,162.0,95.0,121.0,32.0,103.0,118.0,101.0,86.0,74.0,Rickey Green
76874,1986,00,1610612762,UTH,32.0,81,80,2090.0,301,644,0.467,7.0,19.0,0.368,172,208,0.827,38,125,163,541,110,2,133,108,781,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,91,109,106,76.0,78.0,99.0,,96,104,35.0,208,158,178,15,28,271,98,111,85,124.0,112.0,117.0,,56.0,70.0,,116.0,127.0,,146.0,111.0,130.0,41.0,107.0,121.0,87.0,118.0,104.0,Rickey Green
76874,1987,00,1610612762,UTH,33.0,81,3,1116.0,157,370,0.424,4.0,19.0,0.211,75,83,0.904,14,66,80,300,57,1,94,83,393,1954-08-18T00:00:00,USA,6-0,170,1977,1,16,183,186,180,,104.0,104.0,,184,197,,264,223,240,46,110,290,149,188,177,142.0,149.0,143.0,,59.0,116.0,,154.0,156.0,,163.0,157.0,166.0,88.0,104.0,117.0,126.0,157.0,153.0,Rickey Green
