PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
77149,1972,00,1610612744,GOS,24.0,56,,349.0,41,100,0.41,,,,7,17,0.412,,,138,8,,,,40,89,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,179.0,186.0,184.0,,,,,197.0,193.0,,,,147.0,195.0,,,,187.0,1.0,63.0,63.0,63.0,,,,,65.0,59.0,,,,55.0,62.0,,,,64.0,1.0,George Johnson
77149,1973,00,1610612744,GOS,25.0,66,,1291.0,173,358,0.483,,,,59,107,0.551,190.0,332.0,522,73,35.0,124.0,,176,405,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,118.0,128.0,131.0,,,,,135.0,123.0,,34.0,44.0,37.0,141.0,130.0,10.0,,131.0,1.0,,,,,,,,,,,,,,,,,,,,George Johnson
77149,1974,00,1610612744,GOS,26.0,82,,1439.0,152,319,0.476,,,,60,91,0.659,217.0,357.0,574,67,32.0,136.0,,206,364,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,119.0,146.0,150.0,,,,,152.0,150.0,,22.0,41.0,34.0,161.0,147.0,9.0,,148.0,1.0,24.0,41.0,46.0,,,,,38.0,31.0,,4.0,9.0,7.0,50.0,33.0,1.0,,41.0,1.0,George Johnson
77149,1975,00,1610612744,GOS,27.0,82,,1745.0,165,341,0.484,,,,70,104,0.673,200.0,427.0,627,82,51.0,174.0,,275,400,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,97.0,142.0,146.0,,,,,145.0,137.0,,30.0,30.0,31.0,137.0,106.0,4.0,,145.0,1.0,38.0,47.0,57.0,,,,,49.0,52.0,,9.0,19.0,13.0,43.0,14.0,4.0,,49.0,1.0,George Johnson
77149,1976,00,1610612744,GOS,28.0,39,,597.0,73,150,0.487,,,,25,31,0.806,87.0,124.0,211,26,15.0,73.0,,105,171,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Johnson
77149,1976,00,1610612746,BUF,28.0,39,,1055.0,125,279,0.448,,,,46,67,0.687,117.0,283.0,400,78,22.0,104.0,,141,296,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Johnson
77149,1976,00,0,TOT,28.0,78,,1652.0,198,429,0.462,,,,71,98,0.724,204.0,407.0,611,104,37.0,177.0,,246,467,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Johnson
77149,1977,00,1610612751,NJN,29.0,81,,2411.0,285,721,0.395,,,,133,185,0.719,245.0,534.0,779,111,78.0,274.0,221.0,339,703,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,61.0,123.0,97.0,,,,,119.0,117.0,101.0,24.0,14.0,16.0,153.0,89.0,1.0,45.0,118.0,53.0,,,,,,,,,,,,,,,,,,,,George Johnson
77149,1978,00,1610612751,NJN,30.0,78,,2058.0,206,483,0.427,,,,105,138,0.761,201.0,415.0,616,88,68.0,253.0,178.0,315,517,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,97.0,163.0,151.0,,,,,145.0,148.0,,41.0,35.0,36.0,177.0,107.0,3.0,81.0,164.0,85.0,94.0,79.0,94.0,1.0,,,,110.0,102.0,,60.0,57.0,60.0,103.0,85.0,24.0,96.0,82.0,64.0,George Johnson
77149,1979,00,1610612751,NJN,31.0,81,,2119.0,248,543,0.457,0.0,1.0,0.0,89,126,0.706,192.0,410.0,602,173,53.0,258.0,199.0,312,585,1948-12-18T00:00:00,USA,6-11,205,1970,5,79,91.0,139.0,133.0,,151.0,201.0,,167.0,159.0,,45.0,27.0,30.0,110.0,144.0,2.0,47.0,143.0,78.0,,,,,,,,,,,,,,,,,,,,George Johnson
