PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
77593,1949,00,1610612747,MNL,21.0,68,,,288,722,0.399,,,,215,286,0.752,,,,123,,,,222,791,1928-10-21T00:00:00,USA,6-7,230,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vern Mikkelsen
77593,1950,00,1610612747,MNL,22.0,64,,,359,893,0.402,,,,186,275,0.676,,,655.0,181,,,,260,904,1928-10-21T00:00:00,USA,6-7,230,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vern Mikkelsen
77593,1951,00,1610612747,MNL,23.0,66,,2345.0,363,866,0.419,,,,283,372,0.761,,,681.0,180,,,,282,1009,1928-10-21T00:00:00,USA,6-7,230,1949,,,18.0,9.0,14.0,4.0,,,,15.0,16.0,28.0,,,9.0,29.0,,,,10.0,1.0,5.0,5.0,5.0,10.0,,,,6.0,8.0,17.0,,,4.0,17.0,,,,5.0,1.0,Vern Mikkelsen
77593,1952,00,1610612747,MNL,24.0,70,,2465.0,378,868,0.435,,,,291,387,0.752,,,654.0,148,,,,289,1047,1928-10-21T00:00:00,USA,6-7,230,1949,,,19.0,8.0,12.0,5.0,,,,16.0,18.0,23.0,,,12.0,42.0,,,,8.0,1.0,5.0,9.0,4.0,18.0,,,,4.0,6.0,8.0,,,5.0,10.0,,,,7.0,1.0,Vern Mikkelsen
77593,1953,00,1610612747,MNL,25.0,72,,2247.0,288,771,0.374,,,,221,298,0.742,,,615.0,119,,,,264,797,1928-10-21T00:00:00,USA,6-7,230,1949,,,26.0,17.0,16.0,15.0,,,,21.0,26.0,25.0,,,11.0,48.0,,,,19.0,1.0,7.0,6.0,9.0,4.0,,,,15.0,18.0,4.0,,,7.0,17.0,,,,7.0,1.0,Vern Mikkelsen
77593,1954,00,1610612747,MNL,26.0,71,,2559.0,440,1043,0.422,,,,447,598,0.747,,,722.0,145,,,,319,1327,1928-10-21T00:00:00,USA,6-7,230,1949,,,10.0,8.0,10.0,8.0,,,,5.0,3.0,28.0,,,8.0,40.0,,,,7.0,1.0,21.0,17.0,19.0,26.0,,,,11.0,14.0,20.0,,,8.0,26.0,,,,16.0,1.0,Vern Mikkelsen
77593,1955,00,1610612747,MNL,27.0,72,,2100.0,317,821,0.386,,,,328,408,0.804,,,608.0,173,,,,319,962,1928-10-21T00:00:00,USA,6-7,230,1949,,,25.0,23.0,21.0,19.0,,,,15.0,15.0,10.0,,,17.0,32.0,,,,18.0,1.0,38.0,44.0,46.0,9.0,,,,25.0,32.0,6.0,,,41.0,49.0,,,,37.0,1.0,Vern Mikkelsen
77593,1956,00,1610612747,MNL,28.0,72,,2198.0,322,854,0.377,,,,342,424,0.807,,,630.0,121,,,,312,986,1928-10-21T00:00:00,USA,6-7,230,1949,,,24.0,21.0,21.0,22.0,,,,12.0,11.0,9.0,,,15.0,39.0,,,,18.0,1.0,21.0,14.0,15.0,14.0,,,,14.0,13.0,34.0,,,15.0,12.0,,,,16.0,1.0,Vern Mikkelsen
77593,1957,00,1610612747,MNL,29.0,72,,2390.0,439,1070,0.41,,,,370,471,0.786,,,805.0,166,,,,299,1248,1928-10-21T00:00:00,USA,6-7,230,1949,,,11.0,15.0,14.0,15.0,,,,11.0,12.0,18.0,,,9.0,24.0,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,Vern Mikkelsen
77593,1958,00,1610612747,MNL,30.0,72,,2139.0,353,904,0.39,,,,286,355,0.806,,,570.0,159,,,,246,992,1928-10-21T00:00:00,USA,6-7,230,1949,,,23.0,23.0,22.0,21.0,,,,16.0,22.0,10.0,,,21.0,25.0,,,,23.0,1.0,7.0,7.0,8.0,19.0,,,,7.0,5.0,29.0,,,7.0,12.0,,,,8.0,1.0,Vern Mikkelsen
