PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78055,1983,00,1610612745,HOU,23.0,82,82,2693.0,716,1369,0.523,1,4,0.25,287,434,0.661,293,620,913,163,70,197,294,339,1720,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,29,12,17,36.0,118,158,,39,26,125.0,5,5,5,120,89,3,5,17,11,,,,,,,,,,,,,,,,,,,,Ralph Sampson
78055,1984,00,1610612745,HOU,24.0,82,82,3086.0,753,1499,0.502,0,6,0.0,303,448,0.676,227,626,853,224,81,168,326,306,1809,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,6,10,11,49.0,148,130,,36,24,113.0,15,6,8,75,66,7,1,12,12,59.0,53.0,42.0,76.0,25.0,66.0,,55.0,41.0,95.0,20.0,18.0,17.0,101.0,122.0,24.0,45.0,55.0,55.0,Ralph Sampson
78055,1985,00,1610612745,HOU,25.0,79,76,2864.0,624,1280,0.488,2,15,0.133,241,376,0.641,258,621,879,283,99,129,285,308,1491,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,13,18,17,62.0,116,102,,60,40,133.0,10,5,4,51,39,16,5,27,12,5.0,5.0,3.0,32.0,26.0,62.0,,5.0,4.0,60.0,2.0,1.0,2.0,10.0,6.0,3.0,1.0,4.0,3.0,Ralph Sampson
78055,1986,00,1610612745,HOU,26.0,43,32,1326.0,277,566,0.489,0,3,0.0,118,189,0.624,88,284,372,120,40,58,126,169,672,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,166,120,128,,167,188,,137,113,,115,63,78,135,162,61,107,128,132,37.0,24.0,27.0,27.0,40.0,53.0,,27.0,32.0,34.0,25.0,16.0,18.0,48.0,107.0,18.0,18.0,28.0,29.0,Ralph Sampson
78055,1987,00,1610612745,HOU,27.0,19,19,705.0,119,271,0.439,2,6,0.333,63,85,0.741,58,114,172,37,17,33,62,63,303,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,132,114,103,,127,131,,109,107,86.0,61,51,58,121,155,30,50,115,115,,,,,,,,,,,,,,,,,,,,Ralph Sampson
78055,1987,00,1610612744,GOS,27.0,29,25,958.0,180,411,0.438,0,5,0.0,86,111,0.775,82,208,290,85,24,55,109,101,446,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,132,114,103,,127,131,,109,107,86.0,61,51,58,121,155,30,50,115,115,,,,,,,,,,,,,,,,,,,,Ralph Sampson
78055,1987,00,0,TOT,27.0,48,44,1663.0,299,682,0.438,2,11,0.182,149,196,0.76,140,322,462,122,41,88,171,164,749,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,132,114,103,,127,131,,109,107,86.0,61,51,58,121,155,30,50,115,115,,,,,,,,,,,,,,,,,,,,Ralph Sampson
78055,1988,00,1610612744,GOS,28.0,61,36,1086.0,164,365,0.449,3,8,0.375,62,95,0.653,105,202,307,77,31,65,90,170,393,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,203,198,191,,134,177,,205,194,,109,116,109,189,202,50,169,201,181,136.0,113.0,116.0,,66.0,54.0,,130.0,128.0,,83.0,109.0,99.0,142.0,118.0,64.0,107.0,120.0,128.0,Ralph Sampson
78055,1989,00,1610612758,SAC,29.0,26,7,417.0,48,129,0.372,1,4,0.25,12,23,0.522,11,73,84,28,14,22,34,66,109,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,292,295,289,,187,231,,324,310,,315,248,271,271,290,141,276,307,301,,,,,,,,,,,,,,,,,,,,Ralph Sampson
78055,1990,00,1610612758,SAC,30.0,25,4,348.0,34,93,0.366,1,5,0.2,5,19,0.263,41,70,111,17,11,17,27,54,74,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,302,314,309,,200,225,,361,327,,239,259,254,310,295,170,293,320,304,,,,,,,,,,,,,,,,,,,,Ralph Sampson
78055,1991,00,1610612764,WAS,31.0,10,0,108.0,9,29,0.31,0,2,0.0,4,6,0.667,11,19,30,4,3,8,10,14,22,1960-07-07T00:00:00,USA,7-4,228,1983,1,1,346,356,352,,240,269,,358,361,,325,333,329,354,342,256,337,359,350,,,,,,,,,,,,,,,,,,,,Ralph Sampson
