PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78238,1965,00,1610612752,NYK,24.0,80,,1893.0,373,820,0.455,,,,258,376,0.686,,,492,186,,,,237,1004,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,44.0,37.0,39.0,15.0,,,,28.0,27.0,47.0,,,33.0,36.0,,,,35.0,1.0,,,,,,,,,,,,,,,,,,,,Dave Stallworth
78238,1966,00,1610612752,NYK,25.0,76,,1889.0,380,816,0.466,,,,229,320,0.716,,,472,144,,,,226,989,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,50.0,43.0,46.0,13.0,,,,39.0,38.0,48.0,,,35.0,49.0,,,,43.0,1.0,,,,,,,,,,,,,,,,,,,,Dave Stallworth
78238,1969,00,1610612752,NYK,28.0,82,,1375.0,239,557,0.429,,,,161,225,0.716,,,323,139,,,,194,639,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,97.0,97.0,92.0,,,,,73.0,73.0,72.0,,,72.0,78.0,,,,91.0,1.0,28.0,20.0,19.0,,,,,41.0,47.0,,,,15.0,37.0,,,,23.0,1.0,Dave Stallworth
78238,1970,00,1610612752,NYK,29.0,81,,1565.0,295,685,0.431,,,,169,230,0.735,,,352,106,,,,175,759,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,105.0,91.0,91.0,,,,,78.0,77.0,69.0,,,83.0,116.0,,,,90.0,1.0,41.0,53.0,42.0,,,,,21.0,20.0,27.0,,,31.0,47.0,,,,43.0,1.0,Dave Stallworth
78238,1971,00,1610612764,BLT,30.0,64,,1815.0,303,690,0.439,,,,123,153,0.804,,,398,133,,,,186,729,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave Stallworth
78238,1971,00,1610612752,NYK,30.0,14,,225.0,33,88,0.375,,,,29,35,0.829,,,35,25,,,,31,95,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave Stallworth
78238,1971,00,0,TOT,30.0,78,,2040.0,336,778,0.432,,,,152,188,0.809,,,433,158,,,,217,824,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave Stallworth
78238,1972,00,1610612764,BLT,31.0,73,,1217.0,180,435,0.414,,,,78,101,0.772,,,236,112,,,,139,438,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,119.0,122.0,113.0,,,,,114.0,117.0,,,,109.0,113.0,,,,123.0,1.0,80.0,85.0,88.0,,,,,70.0,71.0,,,,76.0,74.0,,,,86.0,1.0,Dave Stallworth
78238,1973,00,1610612764,CAP,32.0,45,,458.0,75,187,0.401,,,,47,55,0.855,52.0,73.0,125,25,28.0,4.0,,61,197,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,177.0,167.0,163.0,,,,,150.0,162.0,,139.0,160.0,158.0,178.0,141.0,170.0,,164.0,1.0,,,,,,,,,,,,,,,,,,,,Dave Stallworth
78238,1974,00,1610612752,NYK,33.0,7,,57.0,5,18,0.278,,,,0,0,,6.0,14.0,20,2,3.0,3.0,,10,10,1941-12-20T00:00:00,USA,6-7,200,1965,1,3,226.0,227.0,226.0,,,,,230.0,231.0,,222.0,219.0,222.0,227.0,221.0,184.0,,227.0,1.0,,,,,,,,,,,,,,,,,,,,Dave Stallworth
