PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78432,1969,00,1610612756,PHX,21.0,82,,1394.0,257,547,0.47,,,,155,242,0.64,,,455,80,,,,225,669,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,95.0,89.0,96.0,,,,,78.0,66.0,84.0,,,47.0,109.0,,,,82.0,1.0,67.0,56.0,55.0,,,,,60.0,61.0,,,,38.0,72.0,,,,56.0,1.0,Neal Walk
78432,1970,00,1610612756,PHX,22.0,82,,2033.0,426,945,0.451,,,,205,268,0.765,,,674,117,,,,282,1057,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,81.0,58.0,58.0,48.0,,,,68.0,69.0,49.0,,,28.0,102.0,,,,61.0,1.0,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1971,00,1610612756,PHX,23.0,81,,2142.0,506,1057,0.479,,,,256,344,0.744,,,665,151,,,,295,1268,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,77.0,39.0,42.0,28.0,,,,41.0,40.0,69.0,,,32.0,84.0,,,,39.0,1.0,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1972,00,1610612756,PHX,24.0,81,,3114.0,678,1455,0.466,,,,279,355,0.786,,,1006,287,,,,323,1635,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,16.0,21.0,20.0,41.0,,,,28.0,29.0,47.0,,,9.0,44.0,,,,19.0,1.0,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1973,00,1610612756,PHX,25.0,82,,2549.0,573,1245,0.46,,,,235,297,0.791,235.0,602.0,837,331,73.0,57.0,,255,1381,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,50.0,30.0,26.0,46.0,,,,33.0,34.0,54.0,22.0,15.0,17.0,26.0,64.0,28.0,,30.0,1.0,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1974,00,1610612752,NYK,26.0,30,,274.0,47,115,0.409,,,,22,25,0.88,18.0,59.0,77,22,7.0,3.0,,55,116,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1974,00,1610612762,NOJ,26.0,37,,851.0,151,358,0.422,,,,64,80,0.8,73.0,189.0,262,101,30.0,20.0,,122,366,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1974,00,0,TOT,26.0,67,,1125.0,198,473,0.419,,,,86,105,0.819,91.0,248.0,339,123,37.0,23.0,,177,482,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1975,00,1610612752,NYK,27.0,82,,1340.0,262,607,0.432,,,,79,99,0.798,98.0,291.0,389,119,26.0,22.0,,209,603,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,130.0,105.0,98.0,,,,,135.0,141.0,,90.0,51.0,62.0,107.0,153.0,87.0,,109.0,1.0,,,,,,,,,,,,,,,,,,,,Neal Walk
78432,1976,00,1610612752,NYK,28.0,11,,135.0,28,57,0.491,,,,6,7,0.857,5.0,22.0,27,6,4.0,3.0,,22,62,1948-07-29T00:00:00,USA,6-10,220,1969,1,2,272.0,262.0,270.0,,,,,276.0,279.0,,281.0,257.0,265.0,273.0,267.0,238.0,,269.0,1.0,,,,,,,,,,,,,,,,,,,,Neal Walk
