PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78495,1966,00,1610612758,CIN,22.0,64,,909.0,131,333,0.393,,,,52,123,0.423,,,329,19,,,,161,314,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,90.0,93.0,90.0,,,,,95.0,84.0,,,,60.0,106.0,,,,96.0,1.0,72.0,74.0,72.0,,,,,75.0,77.0,,,,58.0,78.0,,,,76.0,1.0,Walt Wesley
78495,1967,00,1610612758,CIN,23.0,66,,918.0,188,404,0.465,,,,76,152,0.5,,,281,34,,,,168,452,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,103.0,96.0,100.0,,,,,101.0,97.0,,,,73.0,118.0,,,,99.0,1.0,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1968,00,1610612758,CIN,24.0,82,,1334.0,245,534,0.459,,,,134,207,0.647,,,403,47,,,,191,624,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,104.0,85.0,92.0,,,,,86.0,84.0,78.0,,,63.0,124.0,,,,88.0,1.0,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1969,00,1610612741,CHI,25.0,72,,1407.0,270,648,0.417,,,,145,219,0.662,,,455,68,,,,184,685,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,94.0,83.0,82.0,,,,,82.0,75.0,80.0,,,47.0,117.0,,,,81.0,1.0,70.0,57.0,62.0,,,,,60.0,53.0,,,,54.0,72.0,,,,57.0,1.0,Walt Wesley
78495,1970,00,1610612739,CLE,26.0,82,,2425.0,565,1241,0.455,,,,325,473,0.687,,,713,83,,,,295,1455,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,57.0,34.0,32.0,42.0,,,,35.0,24.0,90.0,,,24.0,125.0,,,,34.0,1.0,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1971,00,1610612739,CLE,27.0,82,,2185.0,412,1006,0.41,,,,196,291,0.674,,,711,76,,,,245,1020,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,73.0,55.0,48.0,89.0,,,,64.0,54.0,87.0,,,28.0,127.0,,,,59.0,1.0,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1972,00,1610612739,CLE,28.0,12,,110.0,14,47,0.298,,,,8,12,0.667,,,38,7,,,,21,36,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1972,00,1610612756,PHX,28.0,45,,364.0,63,155,0.406,,,,18,34,0.529,,,113,24,,,,56,144,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1972,00,0,TOT,28.0,57,,474.0,77,202,0.381,,,,26,46,0.565,,,151,31,,,,77,180,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1973,00,1610612764,CAP,29.0,39,,400.0,71,151,0.47,,,,26,43,0.605,63.0,73.0,136,14,9.0,20.0,,74,168,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,182.0,171.0,176.0,,,,,179.0,174.0,,126.0,160.0,151.0,193.0,184.0,85.0,,173.0,1.0,88.0,85.0,89.0,,,,,78.0,79.0,,83.0,85.0,89.0,81.0,76.0,58.0,,87.0,1.0,Walt Wesley
78495,1974,00,1610612755,PHL,30.0,4,,33.0,5,9,0.556,,,,2,4,0.5,4.0,4.0,8,1,0.0,0.0,,8,12,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1974,00,1610612749,MIL,30.0,41,,214.0,37,84,0.44,,,,14,23,0.609,14.0,41.0,55,11,7.0,5.0,,43,88,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1974,00,0,TOT,30.0,45,,247.0,42,93,0.452,,,,16,27,0.593,18.0,45.0,63,12,7.0,5.0,,51,100,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Wesley
78495,1975,00,1610612747,LAL,31.0,1,,7.0,1,2,0.5,,,,2,4,0.5,0.0,1.0,1,1,0.0,0.0,,2,4,1945-01-25T00:00:00,USA,6-11,220,1966,1,6,235.0,235.0,236.0,,,,,230.0,229.0,,233.0,233.0,235.0,233.0,233.0,223.0,,234.0,1.0,,,,,,,,,,,,,,,,,,,,Walt Wesley
