PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78520,1971,00,1610612757,POR,22.0,82,,3245.0,784,1837,0.427,,,,441,621,0.71,,,943,350,,,,186,2009,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,9,7,5,80.0,,,,13,6,81.0,,,16,22,,,,8,1,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1972,00,1610612757,POR,23.0,80,,3152.0,761,1684,0.452,,,,384,531,0.723,,,870,440,,,,253,1906,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,13,11,10,58.0,,,,9,6,63.0,,,17,14,,,,9,1,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1973,00,1610612757,POR,24.0,75,,2853.0,685,1492,0.459,,,,314,412,0.762,196.0,488.0,684,326,90.0,64.0,,214,1684,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,31,16,15,49.0,,,,17,15,66.0,32.0,20.0,25,27,43.0,24.0,,14,1,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1974,00,1610612757,POR,25.0,82,,3162.0,692,1391,0.497,,,,394,558,0.706,231.0,646.0,877,287,108.0,80.0,,289,1778,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,9,11,18,11.0,,,,5,3,79.0,17.0,9.0,12,32,33.0,18.0,,7,1,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1975,00,1610612757,POR,26.0,79,,3044.0,580,1201,0.483,,,,345,512,0.674,245.0,467.0,712,244,77.0,53.0,,250,1505,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,10,28,29,27.0,,,,13,6,89.0,17.0,26.0,24,43,72.0,30.0,,23,1,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1976,00,1610612738,BOS,27.0,82,,2642.0,464,1012,0.458,,,,310,464,0.668,268.0,556.0,824,169,64.0,61.0,,331,1238,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,38,50,50,62.0,,,,22,14,111.0,17.0,11.0,14,101,103.0,43.0,,41,1,39.0,38.0,42.0,16.0,,,,24.0,21.0,42.0,18.0,17.0,16.0,50.0,26.0,41.0,,36.0,1.0,Sidney Wicks
78520,1977,00,1610612738,BOS,28.0,81,,2413.0,433,927,0.467,,,,217,329,0.66,223.0,450.0,673,171,67.0,46.0,226.0,318,1083,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,60,61,63,68.0,,,,58,39,118.0,29.0,33.0,31,111,116.0,63.0,39.0,65,58,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1978,00,1610612746,SDC,29.0,79,,2022.0,312,676,0.462,,,,147,226,0.65,159.0,246.0,405,126,70.0,36.0,180.0,274,771,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,101,113,107,96.0,,,,107,87,120.0,64.0,76.0,74,139,102.0,83.0,79.0,112,128,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1979,00,1610612746,SDC,30.0,71,,2146.0,210,496,0.423,0.0,1.0,0.0,83,152,0.546,138.0,271.0,409,213,76.0,52.0,167.0,241,503,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,84,158,148,,151.0,201.0,,176,134,,85.0,67.0,80,83,84.0,61.0,75.0,164,136,,,,,,,,,,,,,,,,,,,,Sidney Wicks
78520,1980,00,1610612746,SDC,31.0,49,,1083.0,125,286,0.437,0.0,1.0,0.0,76,150,0.507,79.0,144.0,223,111,40.0,40.0,94.0,168,326,1949-09-19T00:00:00,USA,6-9,225,1971,1,2,195,203,205,,140.0,199.0,,184,156,,145.0,144.0,144,168,171.0,77.0,166.0,204,202,,,,,,,,,,,,,,,,,,,,Sidney Wicks
