PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78549,1975,00,1610612744,GOS,22.0,77,,1728.0,365,853,0.428,,,,173,233,0.742,62,97,159,240,140,26,,143,903,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,100,66,63,76.0,,,,65,64,71.0,136,157,153,44,14,70,,67,1,55.0,49.0,37.0,,,,,49.0,45.0,,64.0,75.0,73.0,32.0,25.0,78.0,,51.0,1.0,Gus Williams
78549,1976,00,1610612744,GOS,23.0,82,,1930.0,325,701,0.464,,,,112,150,0.747,72,161,233,292,121,19,,218,762,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,105,93,92,58.0,,,,129,135,,160,136,147,42,33,124,,100,1,53.0,44.0,47.0,,,,,39.0,53.0,10.0,53.0,90.0,73.0,32.0,40.0,68.0,,42.0,1.0,Gus Williams
78549,1977,00,1610612760,SEA,24.0,79,,2572.0,602,1335,0.451,,,,227,278,0.817,83,173,256,294,185,41,189.0,198,1431,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,40,24,16,83.0,,,,51,59,26.0,150,116,129,46,3,73,70.0,32,54,5.0,3.0,3.0,32.0,,,,4.0,4.0,39.0,15.0,15.0,16.0,2.0,1.0,12.0,5.0,2.0,4.0,Gus Williams
78549,1978,00,1610612760,SEA,25.0,76,,2266.0,606,1224,0.495,,,,245,316,0.775,111,134,245,307,158,29,190.0,162,1457,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,79,25,27,54.0,,,,51,49,65.0,99,151,129,48,7,96,68.0,28,58,6.0,1.0,2.0,29.0,,,,2.0,2.0,46.0,13.0,31.0,22.0,10.0,2.0,20.0,6.0,1.0,6.0,Gus Williams
78549,1979,00,1610612760,SEA,26.0,82,,2969.0,739,1533,0.482,7.0,36.0,0.194,331,420,0.788,127,148,275,397,200,37,181.0,160,1816,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,10,8,7,63.0,44.0,36.0,,23,23,59.0,92,134,113,21,4,83,59.0,11,23,11.0,3.0,4.0,19.0,21.0,19.0,,4.0,5.0,45.0,13.0,29.0,23.0,6.0,4.0,20.0,6.0,3.0,5.0,Gus Williams
78549,1981,00,1610612760,SEA,28.0,80,80.0,2876.0,773,1592,0.486,9.0,40.0,0.225,320,436,0.734,92,152,244,549,172,36,197.0,163,1875,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,19,6,3,77.0,30.0,30.0,,22,22,97.0,127,132,134,11,7,84,35.0,6,18,22.0,15.0,10.0,44.0,7.0,10.0,,11.0,13.0,34.0,44.0,57.0,50.0,8.0,18.0,29.0,31.0,15.0,20.0,Gus Williams
78549,1982,00,1610612760,SEA,29.0,80,80.0,2761.0,660,1384,0.477,2.0,43.0,0.047,278,370,0.751,72,133,205,643,182,26,230.0,117,1600,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,26,20,13,76.0,87.0,23.0,,37,38,70.0,152,160,158,4,6,109,30.0,21,27,78.0,46.0,56.0,9.0,29.0,25.0,,49.0,53.0,11.0,71.0,106.0,101.0,69.0,44.0,83.0,63.0,48.0,62.0,Gus Williams
78549,1983,00,1610612760,SEA,30.0,80,80.0,2818.0,598,1306,0.458,4.0,25.0,0.16,297,396,0.75,67,137,204,675,189,25,232.0,151,1497,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,21,29,21,105.0,66.0,57.0,,36,36,85.0,150,148,147,5,3,117,18.0,34,34,59.0,42.0,45.0,29.0,17.0,24.0,,73.0,70.0,65.0,139.0,105.0,117.0,15.0,52.0,63.0,62.0,46.0,47.0,Gus Williams
78549,1984,00,1610612764,WAS,31.0,79,78.0,2960.0,638,1483,0.43,51.0,176.0,0.29,251,346,0.725,72,123,195,608,178,32,213.0,159,1578,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,12,20,12,113.0,5.0,3.0,,57,48,97.0,154,171,164,9,6,93,31.0,27,45,79.0,66.0,65.0,78.0,14.0,16.0,4.0,92.0,96.0,61.0,108.0,138.0,127.0,53.0,74.0,93.0,64.0,70.0,103.0,Gus Williams
78549,1985,00,1610612764,WAS,32.0,77,67.0,2284.0,434,1013,0.428,30.0,116.0,0.259,138,188,0.734,52,114,166,453,96,15,160.0,113,1036,1953-10-10T00:00:00,USA,6-2,175,1975,2,20,74,66,44,110.0,16.0,11.0,,124,127,101.0,178,173,181,22,42,152,73.0,73,105,53.0,52.0,53.0,48.0,26.0,19.0,,63.0,68.0,44.0,107.0,111.0,117.0,34.0,25.0,118.0,79.0,55.0,57.0,Gus Williams
