PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
78,1982,00,1610612758,KCK,22.0,71,3,987.0,147,287,0.512,0,1,0.0,89,137,0.65,133,242,375,33,40,61,96,186,383,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,203,192,204,,149,216,,162,149,,81,83,82,253,171,53,171,189,161,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1983,00,1610612758,KCK,23.0,80,38,1915.0,333,637,0.523,0,0,0.0,160,223,0.717,260,449,709,86,71,145,168,327,826,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,116,103,109,37.0,163,245,,108,101,113.0,8,21,16,177,84,5,72,102,55,115.0,100.0,101.0,55.0,53.0,102.0,,95.0,99.0,36.0,65.0,75.0,77.0,128.0,95.0,52.0,112.0,104.0,99.0,LaSalle Thompson
78,1984,00,1610612758,KCK,24.0,82,77,2458.0,369,695,0.531,0,0,0.0,227,315,0.721,274,580,854,130,98,128,202,328,965,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,59,90,98,22.0,148,263,,67,58,100.0,6,8,7,137,41,14,41,91,34,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1985,00,1610612758,SAC,25.0,80,64,2377.0,411,794,0.518,0,1,0.0,202,276,0.732,252,518,770,168,71,109,184,295,1024,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,67,74,81,27.0,165,228,,76,73,102.0,12,12,10,111,83,22,51,74,36,102.0,110.0,94.0,80.0,51.0,102.0,,99.0,89.0,78.0,48.0,57.0,53.0,138.0,103.0,31.0,115.0,109.0,97.0,LaSalle Thompson
78,1986,00,1610612758,SAC,26.0,82,53,2166.0,362,752,0.481,0,5,0.0,188,255,0.737,237,450,687,122,69,126,143,290,912,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,84,81,82,66.0,167,159,,87,83,97.0,18,27,22,132,91,15,83,87,59,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1987,00,1610612758,SAC,27.0,69,9,1257.0,215,456,0.471,2,5,0.4,118,164,0.72,138,289,427,68,54,73,109,217,550,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,167,159,157,,127,167,,139,137,,64,68,68,192,116,39,126,158,127,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1988,00,1610612758,SAC,28.0,43,42,1276.0,247,536,0.461,0,1,0.0,152,188,0.809,120,272,392,44,46,55,117,153,646,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,88,82,86,54.0,209,262,,72,79,54.0,27,17,15,180,88,23,63,84,54,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1988,00,1610612754,IND,28.0,33,29,1053.0,169,314,0.538,0,0,0.0,75,93,0.806,104,222,326,37,33,39,62,132,413,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,88,82,86,54.0,209,262,,72,79,54.0,27,17,15,180,88,23,63,84,54,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1988,00,0,TOT,28.0,76,71,2329.0,416,850,0.489,0,1,0.0,227,281,0.808,224,494,718,81,79,94,179,285,1059,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,88,82,86,54.0,209,262,,72,79,54.0,27,17,15,180,88,23,63,84,54,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1989,00,1610612754,IND,29.0,82,60,2126.0,223,471,0.473,1,5,0.2,107,134,0.799,175,455,630,106,65,71,150,313,554,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,118,172,177,,187,214,,167,174,,46,26,30,173,115,37,76,174,112,127.0,123.0,127.0,,69.0,112.0,,120.0,128.0,,83.0,99.0,96.0,127.0,148.0,80.0,84.0,128.0,125.0,LaSalle Thompson
78,1990,00,1610612754,IND,30.0,82,77,1946.0,276,565,0.488,1,5,0.2,72,104,0.692,154,409,563,147,63,63,168,265,625,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,128,143,147,,200,225,,202,205,,68,30,41,125,118,51,55,156,114,84.0,83.0,87.0,34.0,74.0,112.0,,97.0,108.0,,80.0,51.0,57.0,81.0,73.0,24.0,67.0,91.0,74.0,LaSalle Thompson
78,1991,00,1610612754,IND,31.0,80,49,1299.0,168,359,0.468,0,2,0.0,58,71,0.817,98,283,381,102,52,34,98,207,394,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,198,204,211,,240,269,,226,236,,117,79,93,182,148,106,153,217,180,128.0,125.0,137.0,,77.0,118.0,,133.0,140.0,,124.0,89.0,97.0,119.0,131.0,46.0,123.0,130.0,112.0,LaSalle Thompson
78,1992,00,1610612754,IND,32.0,63,0,730.0,104,213,0.488,0,1,0.0,29,39,0.744,55,123,178,34,29,24,47,137,237,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,266,259,267,,244,300,,288,290,,194,203,205,280,237,136,259,266,251,130.0,142.0,136.0,,81.0,114.0,,109.0,113.0,,80.0,127.0,111.0,132.0,100.0,67.0,118.0,141.0,134.0,LaSalle Thompson
78,1993,00,1610612754,IND,33.0,30,1,282.0,27,77,0.351,0,0,0.0,16,30,0.533,26,49,75,16,10,8,23,59,70,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,322,330,325,,247,333,,316,304,,277,291,291,314,307,257,300,329,321,146.0,140.0,139.0,,81.0,114.0,,132.0,136.0,,112.0,120.0,119.0,106.0,94.0,101.0,108.0,148.0,136.0,LaSalle Thompson
78,1994,00,1610612754,IND,34.0,38,3,453.0,49,118,0.415,0,0,0.0,14,16,0.875,28,61,89,18,18,10,33,76,112,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,310,310,308,,283,351,,341,349,,255,277,276,319,282,239,290,322,321,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1995,00,1610612755,PHL,35.0,44,11,773.0,33,83,0.398,0,0,0.0,19,24,0.792,62,137,199,26,19,20,37,125,85,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,269,343,342,,301,366,,338,348,,173,195,194,312,290,166,301,348,282,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1996,00,1610612743,DEN,36.0,17,0,105.0,3,16,0.188,0,0,0.0,1,2,0.5,5,21,26,0,3,6,7,26,7,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,380,421,403,,303,369,,397,399,,368,349,357,409,384,288,382,420,394,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1996,00,1610612754,IND,36.0,9,0,33.0,0,3,0.0,0,0,0.0,3,4,0.75,2,6,8,2,0,0,2,7,3,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,380,421,403,,303,369,,397,399,,368,349,357,409,384,288,382,420,394,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
78,1996,00,0,TOT,36.0,26,0,138.0,3,19,0.158,0,0,0.0,4,6,0.667,7,27,34,2,3,6,9,33,10,1961-06-23T00:00:00,USA,6-10,245,1982,1,5,380,421,403,,303,369,,397,399,,368,349,357,409,384,288,382,420,394,,,,,,,,,,,,,,,,,,,,LaSalle Thompson
