PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN_x,MISC_RANK_FGM_x,MISC_RANK_FGA_x,MISC_RANK_FG_PCT_x,MISC_RANK_FG3M_x,MISC_RANK_FG3A_x,MISC_RANK_FG3_PCT_x,MISC_RANK_FTM_x,MISC_RANK_FTA_x,MISC_RANK_FT_PCT_x,MISC_RANK_OREB_x,MISC_RANK_DREB_x,MISC_RANK_REB_x,MISC_RANK_AST_x,MISC_RANK_STL_x,MISC_RANK_BLK_x,MISC_RANK_TOV_x,MISC_RANK_PTS_x,MISC_RANK_EFF_x,MISC_RANK_MIN_y,MISC_RANK_FGM_y,MISC_RANK_FGA_y,MISC_RANK_FG_PCT_y,MISC_RANK_FG3M_y,MISC_RANK_FG3A_y,MISC_RANK_FG3_PCT_y,MISC_RANK_FTM_y,MISC_RANK_FTA_y,MISC_RANK_FT_PCT_y,MISC_RANK_OREB_y,MISC_RANK_DREB_y,MISC_RANK_REB_y,MISC_RANK_AST_y,MISC_RANK_STL_y,MISC_RANK_BLK_y,MISC_RANK_TOV_y,MISC_RANK_PTS_y,MISC_RANK_EFF_y,PLAYER_NAME
956,1996,00,1610612754,IND,21.0,72,21,1048.0,131,336,0.39,1,1,1.0,107,168,0.637,96,198,294,43,19,73,84,153,370,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,228,228,212,,271,341,,155,141,,117,125,130,253,280,38,179,218,214,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,1997,00,1610612744,GSW,22.0,82,82,2656.0,352,791,0.445,0,2,0.0,267,399,0.669,272,443,715,94,39,139,175,281,971,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,47,82,77,72.0,274,306,,39,28,125.0,7,20,15,181,212,12,44,78,58,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,1998,00,1610612744,GSW,23.0,50,50,1414.0,161,414,0.389,0,0,0.0,120,204,0.588,164,218,382,54,26,58,92,165,442,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,82,133,99,,255,339,,72,44,129.0,10,48,23,183,197,25,67,126,106,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,1999,00,1610612744,GSW,24.0,21,12,495.0,70,173,0.405,0,0,0.0,27,51,0.529,48,86,134,19,8,15,29,75,167,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,314,297,295,,281,355,,310,288,,208,271,257,338,347,205,300,305,311,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,2000,00,1610612744,GSW,25.0,43,26,1042.0,126,314,0.401,0,2,0.0,67,126,0.532,97,153,250,59,17,58,82,123,319,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,239,232,223,,295,313,,206,176,,103,196,159,233,289,63,173,230,238,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,2001,00,1610612744,GSW,26.0,73,46,1737.0,209,480,0.435,0,0,0.0,136,211,0.645,167,220,387,87,17,167,156,235,554,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,151,167,163,,288,361,,116,94,121.0,36,122,77,193,295,8,54,166,152,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,2002,00,1610612744,GSW,27.0,82,82,1977.0,259,522,0.496,0,2,0.0,155,222,0.698,248,295,543,58,27,154,112,242,673,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,124,134,149,,275,297,,93,87,110.0,7,73,37,237,245,10,115,132,84,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,2003,00,1610612744,GSW,28.0,74,74,2406.0,348,650,0.535,0,2,0.0,217,332,0.654,344,543,887,60,33,137,131,227,913,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,78,85,113,3.0,289,305,,60,44,116.0,1,12,3,232,219,15,89,85,24,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,2004,00,1610612742,DAL,29.0,59,56,1609.0,202,367,0.55,0,3,0.0,138,228,0.605,183,318,501,51,15,80,102,205,542,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,172,175,219,,301,305,,124,90,141.0,32,54,43,263,319,41,139,174,126,43.0,49.0,65.0,,104.0,111.0,,82.0,49.0,,6.0,32.0,17.0,97.0,54.0,16.0,59.0,57.0,40.0,Erick Dampier
956,2005,00,1610612742,DAL,30.0,82,36,1934.0,171,347,0.493,0,0,0.0,127,215,0.591,273,367,640,51,27,106,115,263,469,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,129,202,216,,307,371,,137,107,135.0,3,41,20,244,238,23,106,199,105,29.0,58.0,71.0,,103.0,110.0,,42.0,37.0,,4.0,16.0,11.0,103.0,32.0,7.0,61.0,59.0,31.0,Erick Dampier
956,2006,00,1610612742,DAL,31.0,76,73,1915.0,209,334,0.626,0,0,0.0,119,191,0.623,217,349,566,44,24,82,107,239,537,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,137,179,235,,303,374,,145,127,,15,47,34,282,267,31,136,188,101,148.0,151.0,161.0,,97.0,130.0,,150.0,143.0,,60.0,113.0,103.0,144.0,151.0,126.0,110.0,155.0,130.0,Erick Dampier
956,2007,00,1610612742,DAL,32.0,72,64,1755.0,178,277,0.643,0,0,0.0,84,146,0.575,207,332,539,63,24,106,80,226,440,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,158,213,260,,303,374,,186,155,,20,63,43,243,256,22,173,222,112,126.0,135.0,137.0,,109.0,141.0,,121.0,105.0,,56.0,124.0,101.0,165.0,138.0,64.0,128.0,138.0,133.0,Erick Dampier
956,2008,00,1610612742,DAL,33.0,80,80,1836.0,182,280,0.65,0,0,0.0,90,141,0.638,216,349,565,77,24,95,74,191,454,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,151,209,253,,304,373,,178,162,,12,55,34,214,267,23,180,213,112,58.0,84.0,106.0,,114.0,135.0,,72.0,68.0,,17.0,46.0,30.0,92.0,82.0,25.0,42.0,90.0,65.0,Erick Dampier
956,2009,00,1610612742,DAL,34.0,55,47,1280.0,133,213,0.624,1,3,0.333,61,101,0.604,128,272,400,31,15,77,61,153,328,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,223,257,294,,285,326,,231,209,,65,97,78,309,307,39,226,268,180,114.0,184.0,156.0,,110.0,141.0,,111.0,92.0,,28.0,99.0,67.0,125.0,129.0,47.0,89.0,167.0,132.0,Erick Dampier
956,2010,00,1610612748,MIA,35.0,51,22,815.0,52,89,0.584,0,1,0.0,24,44,0.545,53,124,177,22,14,47,32,82,128,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,288,347,369,,309,350,,328,306,,176,243,227,338,328,78,311,352,289,,,,,,,,,,,,,,,,,,,,Erick Dampier
956,2011,00,1610612737,ATL,36.0,15,0,83.0,1,8,0.125,0,0,0.0,0,0,0.0,10,15,25,4,1,4,3,9,2,1975-07-14T00:00:00,USA,6-11,265,1996,1,10,448,470,464,,341,401,,460,464,,369,419,410,433,449,338,446,471,440,152.0,140.0,152.0,,113.0,137.0,,141.0,145.0,,83.0,143.0,126.0,171.0,161.0,107.0,132.0,144.0,142.0,Erick Dampier
