,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,58.49,59.58,58.28,59.2,367192,18.5407602798,18.8862796627,18.4741923253,18.7658233641,1101576,0.0,1.0
1,2015-01-05,58.14,58.5,58.0,58.18,365270,18.429813689,18.5439301824,18.3854350526,18.4424932993,1095810,0.0,1.0
2,2015-01-06,58.27,58.67,58.03,58.26,469118,18.4710224227,18.5978185265,18.3949447604,18.4678525201,1407354,0.0,1.0
3,2015-01-07,58.61,58.86,58.07,58.57,424866,18.5787991109,18.6580466758,18.4076243708,18.5661195006,1274598,0.0,1.0
4,2015-01-08,59.63,59.82,58.93,59.08,384896,18.9021291757,18.962357325,18.680235994,18.7277845329,1154688,0.0,1.0
5,2015-01-09,59.11,59.92,59.11,59.63,374271,18.7372942407,18.9940563509,18.7372942407,18.9021291757,1122813,0.0,1.0
6,2015-01-12,58.93,59.23,58.79,59.06,309286,18.680235994,18.7753330718,18.6358573577,18.7214447277,927858,0.0,1.0
7,2015-01-13,59.16,60.04,58.98,59.18,641791,18.7531437537,19.0320951821,18.696085507,18.7594835589,1925373,0.0,1.0
8,2015-01-14,58.9,59.9,58.72,59.9,619512,18.6707262862,18.9877165457,18.6136680395,18.9877165457,1858536,0.0,1.0
9,2015-01-15,59.12,59.5,58.59,58.84,405206,18.7404641433,18.8609204419,18.5724593057,18.6517068706,1215618,0.0,1.0
10,2015-01-16,59.25,59.53,58.98,59.13,591679,18.781672877,18.8704301497,18.696085507,18.7436340459,1775037,0.0,1.0
11,2015-01-20,58.75,59.77,58.5,59.62,545861,18.6231777473,18.946507812,18.5439301824,18.8989592731,1637583,0.0,1.0
12,2015-01-21,58.95,59.22,58.382,58.52,386363,18.6865757992,18.7721631692,18.5065253318,18.5502699876,1159089,0.0,1.0
13,2015-01-22,59.67,59.92,58.69,59.37,420315,18.914808786,18.9940563509,18.6041583317,18.8197117082,1260945,0.0,1.0
14,2015-01-23,59.41,59.91,59.094,59.69,265823,18.8323913186,18.9908864483,18.7322223965,18.9211485912,797469,0.0,1.0
15,2015-01-26,59.73,59.74,58.87,59.51,554022,18.9338282016,18.9369981042,18.6612165784,18.8640903445,1662066,0.0,1.0
16,2015-01-27,59.86,60.48,59.05,59.28,459873,18.9750369353,19.1715708963,18.7182748251,18.7911825848,1379619,0.0,1.0
17,2015-01-28,59.26,60.33,59.21,60.17,438600,18.7848427796,19.1240223573,18.7689932667,19.0733039158,1315800,0.0,1.0
18,2015-01-29,59.05,59.45,58.29,59.4,489985,18.7182748251,18.8450709289,18.4773622279,18.829221416,1469955,0.0,1.0
19,2015-01-30,57.97,58.99,57.89,58.91,696891,18.3759253448,18.6992554096,18.3505661241,18.6738961888,2090673,0.0,1.0
20,2015-02-02,58.86,58.95,57.67,58.18,452009,18.6580466758,18.6865757992,18.280828267,18.4424932993,1356027,0.0,1.0
21,2015-02-03,59.61,59.77,58.736,59.11,262418,18.8957893705,18.946507812,18.6187398836,18.7372942407,787254,0.0,1.0
22,2015-02-04,59.85,60.15,59.0876,59.38,261594,18.9718670328,19.0669641106,18.7301936589,18.8228816108,784782,0.0,1.0
23,2015-02-05,60.46,60.49,59.8225,60.08,230070,19.1652310911,19.1747407988,18.9631498006,19.0447747924,690210,0.0,1.0
24,2015-02-06,60.01,60.74,59.98,60.51,323910,19.0225854743,19.2539883637,19.0130757665,19.181080604,971730,0.0,1.0
25,2015-02-09,59.77,60.19,59.71,60.02,428147,18.946507812,19.079643721,18.9274883964,19.0257553769,1284441,0.0,1.0
26,2015-02-10,60.33,60.39,59.82,60.3,516217,19.1240223573,19.1430417729,18.962357325,19.1145126495,1548651,0.0,1.0
27,2015-02-11,60.25,61.38,60.0101,60.44,356331,19.0986631366,19.4568621298,19.0226171733,19.1588912859,1068993,0.0,1.0
28,2015-02-12,59.59,61.04,59.53,61.04,613372,18.8894495653,19.3490854416,18.8704301497,19.3490854416,1840116,0.0,1.0
29,2015-02-13,59.95,60.04,59.2,59.47,901933,19.0035660587,19.0320951821,18.7658233641,18.8514107341,2705799,0.0,1.0
30,2015-02-17,59.32,60.25,59.26,59.73,306609,18.8038621952,19.0986631366,18.7848427796,18.9338282016,919827,0.0,1.0
31,2015-02-18,60.05,60.07,58.92,59.14,417939,19.0352650847,19.0416048898,18.6770660914,18.7468039485,1253817,0.0,1.0
32,2015-02-19,60.16,60.31,59.67,60.07,268323,19.0701340132,19.1176825521,18.914808786,19.0416048898,804969,0.0,1.0
33,2015-02-20,60.04,60.17,59.44,59.92,190548,19.0320951821,19.0733039158,18.8419010263,18.9940563509,571644,0.0,1.0
34,2015-02-23,59.55,60.06,59.2501,59.93,275800,18.8767699549,19.0384349873,18.7817045761,18.9972262535,827400,0.0,1.0
35,2015-02-24,59.425,59.82,59.36,59.7,506254,18.8371461725,18.962357325,18.8165418056,18.9243184938,1518762,0.0,1.0
36,2015-02-25,58.87,59.68,58.8,59.68,366816,18.6612165784,18.9179786886,18.6390272602,18.9179786886,1100448,0.0,1.0
37,2015-02-26,58.9,59.255,58.42,58.67,440024,18.6707262862,18.7832578283,18.5185709616,18.5978185265,1320072,0.0,1.0
38,2015-02-27,59.16,59.3,58.91,59.03,1075798,18.7531437537,18.79752239,18.6738961888,18.7119350199,3227394,0.0,1.0
39,2015-03-02,59.64,59.71,59.06,59.06,618174,18.9052990783,18.9274883964,18.7214447277,18.7214447277,1854522,0.0,1.0
40,2015-03-03,59.48,59.91,59.35,59.77,513548,18.8545806367,18.9908864483,18.813371903,18.946507812,1540644,0.0,1.0
41,2015-03-04,59.35,59.53,59.04,59.31,500109,18.813371903,18.8704301497,18.7151049225,18.8006922926,1500327,0.0,1.0
42,2015-03-05,59.91,59.9999,59.21,59.48,415960,18.9908864483,19.0193838727,18.7689932667,18.8545806367,1247880,0.0,1.0
43,2015-03-06,59.87,59.97,59.41,59.77,446599,18.9782068379,19.0099058639,18.8323913186,18.946507812,1339797,0.0,1.0
44,2015-03-09,60.51,60.63,59.484,60.0,492769,19.181080604,19.2191194352,18.8558485978,19.0194155717,1478307,0.0,1.0
45,2015-03-10,59.8,60.3499,59.666,60.33,592950,18.9560175198,19.1303304635,18.913540825,19.1240223573,1778850,0.0,1.0
46,2015-03-11,60.76,60.87,59.78,59.78,530353,19.2603281689,19.2951970975,18.9496777146,18.9496777146,1591059,0.0,1.0
47,2015-03-12,61.45,61.55,60.8,60.8,337670,19.479051448,19.5107504739,19.2730077793,19.2730077793,1013010,0.0,1.0
48,2015-03-13,61.54,61.71,61.13,61.45,522063,19.5075805714,19.5614689155,19.3776145649,19.479051448,1566189,0.0,1.0
49,2015-03-16,62.09,62.21,61.61,61.61,313170,19.6819252141,19.7199640452,19.5297698895,19.5297698895,939510,0.0,1.0
50,2015-03-17,62.085,62.21,61.79,61.81,423820,19.6803402628,19.7199640452,19.5868281362,19.5931679414,1271460,0.0,1.0
51,2015-03-18,62.72,62.815,61.7,62.0,614348,19.8816290776,19.9117431523,19.5582990129,19.6533960907,1843044,0.0,1.0
52,2015-03-19,61.98,62.75,61.68,62.4,470500,19.6470562855,19.8911387854,19.5519592077,19.7801921945,1411500,0.0,1.0
