,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,59.53,60.49,58.95,60.06,901928,59.53,60.49,58.95,60.06,901928,0.0,1.0
1,2015-01-05,58.66,59.44,58.46,59.15,2130647,58.66,59.44,58.46,59.15,2130647,0.0,1.0
2,2015-01-06,57.5,59.22,57.31,58.89,1941688,57.5,59.22,57.31,58.89,1941688,0.0,1.0
3,2015-01-07,57.38,58.5199,57.1,57.78,1218693,57.38,58.5199,57.1,57.78,1218693,0.0,1.0
4,2015-01-08,58.8,59.13,57.74,57.87,1307198,58.8,59.13,57.74,57.87,1307198,0.0,1.0
5,2015-01-09,58.27,59.17,57.6,58.78,1329504,58.27,59.17,57.6,58.78,1329504,0.0,1.0
6,2015-01-12,57.29,58.55,57.14,58.34,1506466,57.29,58.55,57.14,58.34,1506466,0.0,1.0
7,2015-01-13,57.34,58.99,56.86,57.68,1589305,57.34,58.99,56.86,57.68,1589305,0.0,1.0
8,2015-01-14,56.41,57.12,55.9,56.59,1324320,56.41,57.12,55.9,56.59,1324320,0.0,1.0
9,2015-01-15,55.71,56.62,55.57,56.38,1129475,55.71,56.62,55.57,56.38,1129475,0.0,1.0
10,2015-01-16,56.85,56.95,55.514,55.59,1012944,56.85,56.95,55.514,55.59,1012944,0.0,1.0
11,2015-01-20,57.1,57.44,56.33,57.27,1175233,57.1,57.44,56.33,57.27,1175233,0.0,1.0
12,2015-01-21,57.55,58.19,56.475,56.78,1666162,57.55,58.19,56.475,56.78,1666162,0.0,1.0
13,2015-01-22,58.27,58.63,56.9732,57.89,1602130,58.27,58.63,56.9732,57.89,1602130,0.0,1.0
14,2015-01-23,58.19,58.85,58.01,58.32,1212893,58.19,58.85,58.01,58.32,1212893,0.0,1.0
15,2015-01-26,58.23,58.5101,57.43,58.28,855927,58.23,58.5101,57.43,58.28,855927,0.0,1.0
16,2015-01-27,56.15,57.762,55.54,57.56,1963334,56.15,57.762,55.54,57.56,1963334,0.0,1.0
17,2015-01-28,54.59,56.694,54.49,56.34,2177203,54.59,56.694,54.49,56.34,2177203,0.0,1.0
18,2015-01-29,55.36,55.47,54.08,54.58,1114333,55.36,55.47,54.08,54.58,1114333,0.0,1.0
19,2015-01-30,54.005,55.32,53.89,54.78,1477952,54.005,55.32,53.89,54.78,1477952,0.0,1.0
20,2015-02-02,54.115,54.34,53.02,54.34,1980920,54.115,54.34,53.02,54.34,1980920,0.0,1.0
21,2015-02-03,54.92,55.01,53.92,54.5,1601412,54.92,55.01,53.92,54.5,1601412,0.0,1.0
22,2015-02-04,56.44,56.99,55.09,55.1,2350773,56.44,56.99,55.09,55.1,2350773,0.0,1.0
23,2015-02-05,56.23,56.57,55.86,56.45,1672455,56.23,56.57,55.86,56.45,1672455,0.0,1.0
24,2015-02-06,57.07,57.75,56.29,56.49,1514228,57.07,57.75,56.29,56.49,1514228,0.0,1.0
25,2015-02-09,57.34,57.76,56.82,56.83,1435309,57.34,57.76,56.82,56.83,1435309,0.0,1.0
26,2015-02-10,58.5,58.74,57.63,57.63,1958692,58.5,58.74,57.63,57.63,1958692,0.0,1.0
27,2015-02-11,58.3,58.84,58.14,58.35,1344626,58.3,58.84,58.14,58.35,1344626,0.0,1.0
28,2015-02-12,59.07,59.1,58.4301,58.69,855517,59.07,59.1,58.4301,58.69,855517,0.0,1.0
29,2015-02-13,60.67,60.76,59.095,59.24,2028496,60.67,60.76,59.095,59.24,2028496,0.0,1.0
30,2015-02-17,61.13,61.14,60.3,60.58,1464177,61.13,61.14,60.3,60.58,1464177,0.0,1.0
31,2015-02-18,61.11,61.5,60.5,60.8,2517144,61.11,61.5,60.5,60.8,2517144,0.0,1.0
32,2015-02-19,61.46,61.9,61.08,61.15,2167425,61.46,61.9,61.08,61.15,2167425,0.0,1.0
33,2015-02-20,62.37,62.41,60.96,61.16,1797997,62.37,62.41,60.96,61.16,1797997,0.0,1.0
34,2015-02-23,61.95,62.42,61.38,62.42,1858232,61.95,62.42,61.38,62.42,1858232,0.0,1.0
35,2015-02-24,62.07,62.25,61.51,61.89,1479590,62.07,62.25,61.51,61.89,1479590,0.0,1.0
36,2015-02-25,62.01,62.57,61.82,62.15,1788106,62.01,62.57,61.82,62.15,1788106,0.0,1.0
37,2015-02-26,61.01,62.95,60.691,62.09,3911009,61.01,62.95,60.691,62.09,3911009,0.0,1.0
38,2015-02-27,64.24,65.0,62.59,63.05,5326364,64.24,65.0,62.59,63.05,5326364,0.0,1.0
39,2015-03-02,64.0,64.72,63.65,64.05,2927592,64.0,64.72,63.65,64.05,2927592,0.0,1.0
40,2015-03-03,62.7,63.96,62.67,63.47,3196901,62.7,63.96,62.67,63.47,3196901,0.0,1.0
41,2015-03-04,62.52,62.69,61.13,62.48,2588828,62.52,62.69,61.13,62.48,2588828,0.0,1.0
42,2015-03-05,62.95,63.15,61.99,62.5,2201368,62.95,63.15,61.99,62.5,2201368,0.0,1.0
43,2015-03-06,61.74,62.68,61.36,62.26,1716486,61.74,62.68,61.36,62.26,1716486,0.0,1.0
44,2015-03-09,61.76,62.24,61.51,61.65,1226563,61.76,62.24,61.51,61.65,1226563,0.0,1.0
45,2015-03-10,59.64,61.19,59.52,61.02,2789349,59.64,61.19,59.52,61.02,2789349,0.0,1.0
46,2015-03-11,59.88,60.67,59.7,59.88,2505565,59.88,60.67,59.7,59.88,2505565,0.0,1.0
47,2015-03-12,60.14,60.44,59.81,60.02,1841077,60.14,60.44,59.81,60.02,1841077,0.0,1.0
48,2015-03-13,60.48,60.57,59.41,59.88,1952707,60.48,60.57,59.41,59.88,1952707,0.0,1.0
49,2015-03-16,61.5,61.64,60.68,60.68,1421303,61.5,61.64,60.68,60.68,1421303,0.0,1.0
50,2015-03-17,61.43,61.619,61.17,61.2,1184869,61.43,61.619,61.17,61.2,1184869,0.0,1.0
51,2015-03-18,61.63,61.97,60.6303,60.93,3138426,61.63,61.97,60.6303,60.93,3138426,0.0,1.0
52,2015-03-19,61.0,61.83,60.94,61.6,1786321,61.0,61.83,60.94,61.6,1786321,0.0,1.0
53,2015-03-20,60.98,61.49,60.87,61.45,3533873,60.98,61.49,60.87,61.45,3533873,0.0,1.0
54,2015-03-23,60.83,61.38,60.754,60.95,1200478,60.83,61.38,60.754,60.95,1200478,0.0,1.0
55,2015-03-24,61.07,61.44,60.43,60.68,1314569,61.07,61.44,60.43,60.68,1314569,0.0,1.0
56,2015-03-25,59.35,61.035,59.35,60.95,1932369,59.35,61.035,59.35,60.95,1932369,0.0,1.0
57,2015-03-26,58.72,59.38,58.46,58.7,1902913,58.72,59.38,58.46,58.7,1902913,0.0,1.0
58,2015-03-27,58.72,59.32,58.48,58.65,2385033,58.72,59.32,58.48,58.65,2385033,0.0,1.0
59,2015-03-30,59.3,59.37,58.72,58.86,4320748,59.3,59.37,58.72,58.86,4320748,0.0,1.0
60,2015-03-31,58.64,59.4,58.36,58.36,2882630,58.64,59.4,58.36,58.36,2882630,0.0,1.0
61,2015-04-01,58.74,59.06,57.21,57.68,3445195,58.74,59.06,57.21,57.68,3445195,0.0,1.0
62,2015-04-02,59.82,60.07,58.4883,58.79,2533826,59.82,60.07,58.4883,58.79,2533826,0.0,1.0
63,2015-04-06,59.71,60.03,58.87,59.26,2329497,59.71,60.03,58.87,59.26,2329497,0.0,1.0
64,2015-04-07,60.685,61.14,59.4701,59.81,2002681,60.685,61.14,59.4701,59.81,2002681,0.0,1.0
65,2015-04-08,61.825,61.96,60.78,60.89,2249541,61.825,61.96,60.78,60.89,2249541,0.0,1.0
66,2015-04-09,62.81,62.87,61.8,62.19,2030412,62.81,62.87,61.8,62.19,2030412,0.0,1.0
67,2015-04-10,62.74,63.09,62.04,62.49,961328,62.74,63.09,62.04,62.49,961328,0.0,1.0
68,2015-04-13,61.77,63.0,61.75,62.74,1220993,61.77,63.0,61.75,62.74,1220993,0.0,1.0
69,2015-04-14,62.01,62.33,61.42,61.95,2309264,62.01,62.33,61.42,61.95,2309264,0.0,1.0
70,2015-04-15,61.505,62.42,61.26,62.12,2257972,61.505,62.42,61.26,62.12,2257972,0.0,1.0
71,2015-04-16,61.66,61.76,60.86,61.18,1067141,61.66,61.76,60.86,61.18,1067141,0.0,1.0
72,2015-04-17,60.35,61.12,59.68,61.01,1911343,60.35,61.12,59.68,61.01,1911343,0.0,1.0
73,2015-04-20,61.04,61.33,60.62,60.82,1322813,61.04,61.33,60.62,60.82,1322813,0.0,1.0
74,2015-04-21,61.61,61.82,61.19,61.38,1399593,61.61,61.82,61.19,61.38,1399593,0.0,1.0
75,2015-04-22,62.13,62.2299,61.36,61.87,1097147,62.13,62.2299,61.36,61.87,1097147,0.0,1.0
76,2015-04-23,62.75,63.21,61.84,61.87,1384412,62.75,63.21,61.84,61.87,1384412,0.0,1.0
77,2015-04-24,62.64,62.95,62.11,62.95,1082904,62.64,62.95,62.11,62.95,1082904,0.0,1.0
78,2015-04-27,60.6,62.17,60.35,62.0,3421562,60.6,62.17,60.35,62.0,3421562,0.0,1.0
79,2015-04-28,60.66,61.22,60.2,60.64,1789293,60.66,61.22,60.2,60.64,1789293,0.0,1.0
80,2015-04-29,59.54,60.97,59.05,60.37,2293081,59.54,60.97,59.05,60.37,2293081,0.0,1.0
81,2015-04-30,56.83,58.92,56.38,58.9,5330033,56.83,58.92,56.38,58.9,5330033,0.0,1.0
82,2015-05-01,57.585,57.68,56.75,57.11,2042899,57.585,57.68,56.75,57.11,2042899,0.0,1.0
83,2015-05-04,57.755,58.17,57.42,57.65,1755318,57.755,58.17,57.42,57.65,1755318,0.0,1.0
84,2015-05-05,56.74,57.67,56.54,57.38,1183604,56.74,57.67,56.54,57.38,1183604,0.0,1.0
85,2015-05-06,56.19,57.37,55.77,57.11,1187041,56.19,57.37,55.77,57.11,1187041,0.0,1.0
86,2015-05-07,56.35,56.69,55.92,56.14,1146069,56.35,56.69,55.92,56.14,1146069,0.0,1.0
87,2015-05-08,57.265,57.76,56.73,57.01,1560010,57.265,57.76,56.73,57.01,1560010,0.0,1.0
88,2015-05-11,57.45,57.97,57.14,57.23,1270654,57.45,57.97,57.14,57.23,1270654,0.0,1.0
89,2015-05-12,56.8,57.42,56.53,57.23,2599346,56.8,57.42,56.53,57.23,2599346,0.0,1.0
90,2015-05-13,58.69,58.72,56.8,56.94,2561918,58.69,58.72,56.8,56.94,2561918,0.0,1.0
91,2015-05-14,58.98,59.37,58.47,59.03,2662746,58.98,59.37,58.47,59.03,2662746,0.0,1.0
92,2015-05-15,58.8,59.42,58.67,59.23,1240076,58.8,59.42,58.67,59.23,1240076,0.0,1.0
93,2015-05-18,58.4,58.76,58.14,58.61,1871271,58.4,58.76,58.14,58.61,1871271,0.0,1.0
94,2015-05-19,57.52,58.65,57.37,58.56,5439723,57.52,58.65,57.37,58.56,5439723,0.0,1.0
95,2015-05-20,57.58,58.47,56.2,56.8,7858564,57.58,58.47,56.2,56.8,7858564,0.0,1.0
96,2015-05-21,57.51,57.73,56.9,57.39,3407343,57.51,57.73,56.9,57.39,3407343,0.0,1.0
97,2015-05-22,56.39,57.775,56.38,57.44,2515642,56.39,57.775,56.38,57.44,2515642,0.0,1.0
98,2015-05-26,55.085,56.23,54.51,56.23,3738253,55.085,56.23,54.51,56.23,3738253,0.0,1.0
99,2015-05-27,55.49,55.8129,54.81,54.94,2235135,55.49,55.8129,54.81,54.94,2235135,0.0,1.0
100,2015-05-28,54.55,55.69,54.5,55.31,2568238,54.55,55.69,54.5,55.31,2568238,0.0,1.0
101,2015-05-29,54.15,54.75,54.14,54.44,3208930,54.15,54.75,54.14,54.44,3208930,0.0,1.0
102,2015-06-01,54.39,54.6968,53.75,54.39,2718323,54.39,54.6968,53.75,54.39,2718323,0.0,1.0
103,2015-06-02,54.35,54.88,53.92,54.18,1927902,54.35,54.88,53.92,54.18,1927902,0.0,1.0
104,2015-06-03,54.94,55.33,54.4,54.68,2867863,54.94,55.33,54.4,54.68,2867863,0.0,1.0
105,2015-06-04,53.73,54.7599,53.65,54.35,2744703,53.73,54.7599,53.65,54.35,2744703,0.0,1.0
106,2015-06-05,54.61,54.64,53.44,53.82,2850758,54.61,54.64,53.44,53.82,2850758,0.0,1.0
107,2015-06-08,54.24,54.77,54.2,54.61,2681475,54.24,54.77,54.2,54.61,2681475,0.0,1.0
108,2015-06-09,53.92,54.3,53.865,54.21,2296322,53.92,54.3,53.865,54.21,2296322,0.0,1.0
109,2015-06-10,54.97,55.02,54.01,54.24,2381035,54.97,55.02,54.01,54.24,2381035,0.0,1.0
110,2015-06-11,54.48,54.56,53.99,54.2,1979876,54.48,54.56,53.99,54.2,1979876,0.0,1.0
111,2015-06-12,54.06,54.4068,53.9101,54.29,1473572,54.06,54.4068,53.9101,54.29,1473572,0.0,1.0
112,2015-06-15,53.56,53.72,52.69,52.96,1920565,53.56,53.72,52.69,52.96,1920565,0.0,1.0
113,2015-06-16,53.435,53.77,53.17,53.23,1798773,53.435,53.77,53.17,53.23,1798773,0.0,1.0
114,2015-06-17,53.575,53.84,53.19,53.36,1244349,53.575,53.84,53.19,53.36,1244349,0.0,1.0
115,2015-06-18,54.165,54.31,53.51,53.73,1497029,54.165,54.31,53.51,53.73,1497029,0.0,1.0
116,2015-06-19,53.57,54.25,53.48,54.2,2216171,53.57,54.25,53.48,54.2,2216171,0.0,1.0
117,2015-06-22,54.55,54.77,53.86,53.9,2714910,54.55,54.77,53.86,53.9,2714910,0.0,1.0
118,2015-06-23,54.09,54.7,53.8501,54.54,1795214,54.09,54.7,53.8501,54.54,1795214,0.0,1.0
119,2015-06-24,53.91,54.65,53.73,53.99,1607419,53.91,54.65,53.73,53.99,1607419,0.0,1.0
120,2015-06-25,53.3,54.09,53.26,53.99,1693606,53.3,54.09,53.26,53.99,1693606,0.0,1.0
121,2015-06-26,52.2,53.44,51.81,53.39,3871145,52.2,53.44,51.81,53.39,3871145,0.0,1.0
122,2015-06-29,50.41,51.62,50.35,51.43,2425348,50.41,51.62,50.35,51.43,2425348,0.0,1.0
123,2015-06-30,50.075,51.09,49.84,51.09,3551563,50.075,51.09,49.84,51.09,3551563,0.0,1.0
124,2015-07-01,50.385,50.73,50.1,50.59,2854746,50.385,50.73,50.1,50.59,2854746,0.0,1.0
125,2015-07-02,50.83,50.94,50.3,50.43,2770348,50.83,50.94,50.3,50.43,2770348,0.0,1.0
126,2015-07-06,50.95,51.1,50.2,50.41,2441605,50.95,51.1,50.2,50.41,2441605,0.0,1.0
127,2015-07-07,53.29,53.77,51.25,51.35,6125623,53.29,53.77,51.25,51.35,6125623,0.0,1.0
