,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,46.98,47.49,46.535,47.25,540583,38.5603189143,38.9789175232,38.1950711085,38.7819299426,540583,0.0,1.0
1,2015-01-05,46.7,46.83,46.36,46.67,744086,38.3305000702,38.4372016764,38.0514343309,38.3058766226,744086,0.0,1.0
2,2015-01-06,46.61,46.95,46.27,46.67,931729,38.2566297275,38.5356954667,37.9775639882,38.3058766226,931729,0.0,1.0
3,2015-01-07,47.06,47.12,46.48,46.87,643674,38.6259814412,38.6752283364,38.1499281213,38.4700329398,643674,0.0,1.0
4,2015-01-08,47.88,48.04,47.17,47.3,803555,39.2990223418,39.4303473956,38.7162674157,38.8229690219,803555,0.0,1.0
5,2015-01-09,47.23,47.88,47.18,47.84,426535,38.7655143108,39.2990223418,38.7244752315,39.2661910784,426535,0.0,1.0
6,2015-01-12,47.08,47.47,46.75,47.16,453431,38.6423970729,38.9625018915,38.3715391495,38.7080595998,453431,0.0,1.0
7,2015-01-13,47.31,48.11,46.87,47.51,677609,38.8311768377,39.4878021066,38.4700329398,38.9953331549,677609,0.0,1.0
8,2015-01-14,46.98,47.17,46.52,46.84,395849,38.5603189143,38.7162674157,38.1827593847,38.4454094923,395849,0.0,1.0
9,2015-01-15,46.7,47.44,46.66,46.96,551680,38.3305000702,38.9378784439,38.2976688068,38.5439032826,551680,0.0,1.0
10,2015-01-16,46.18,46.445,45.75,46.16,1585712,37.9036936454,38.1212007658,37.5507575634,37.8872780137,1585712,0.0,1.0
11,2015-01-20,45.58,46.48,45.4,46.2,792489,37.4112246938,38.1499281213,37.2634840083,37.9201092772,792489,0.0,1.0
12,2015-01-21,45.34,45.74,45.0549,45.52,653401,37.2142371131,37.5425497476,36.9802322829,37.3619777986,653401,0.0,1.0
13,2015-01-22,46.17,46.17,45.37,45.64,803524,37.8954858296,37.8954858296,37.2388605607,37.460471589,803524,0.0,1.0
14,2015-01-23,45.51,46.33,45.49,46.15,628066,37.3537699828,38.0268108834,37.337354351,37.8790701979,628066,0.0,1.0
15,2015-01-26,45.7,45.7,45.23,45.58,812257,37.5097184841,37.5097184841,37.1239511387,37.4112246938,812257,0.0,1.0
16,2015-01-27,45.32,45.7299,45.14,45.41,580612,37.1978214814,37.5342598536,37.0500807959,37.2716918242,580612,0.0,1.0
17,2015-01-28,44.93,45.786,44.85,45.55,1206738,36.8777166628,37.5803057005,36.812054136,37.3866012462,1206738,0.0,1.0
18,2015-01-29,45.09,45.17,44.49,45.02,753896,37.0090417166,37.0747042435,36.516572765,36.9515870056,753896,0.0,1.0
19,2015-01-30,44.43,45.116,44.41,44.98,871004,36.4673258698,37.0303820379,36.4509102381,36.9187557421,871004,0.0,1.0
20,2015-02-02,45.16,45.16,44.24,44.5,996783,37.0664964276,37.0664964276,36.3113773684,36.5247805808,996783,0.0,1.0
21,2015-02-03,45.63,45.7,44.95,45.2,1178814,37.4522637731,37.5097184841,36.8941322946,37.0993276911,1178814,0.0,1.0
22,2015-02-04,46.32,46.84,45.81,45.9,1325248,38.0186030675,38.4454094923,37.6000044586,37.6738748013,1325248,0.0,1.0
23,2015-02-05,46.45,46.56,46.0,46.21,878981,38.1253046737,38.2155906482,37.75595296,37.928317093,878981,0.0,1.0
24,2015-02-06,46.32,46.77,46.17,46.46,725567,38.0186030675,38.3879547812,37.8954858296,38.1335124896,725567,0.0,1.0
25,2015-02-09,46.0,46.11,45.66,46.11,873236,37.75595296,37.8462389344,37.4768872207,37.8462389344,873236,0.0,1.0
26,2015-02-10,46.24,46.43,45.93,46.0,639899,37.9529405406,38.108889042,37.6984982489,37.75595296,639899,0.0,1.0
27,2015-02-11,46.82,46.82,46.04,46.04,583855,38.4289938605,38.4289938605,37.7887842234,37.7887842234,583855,0.0,1.0
28,2015-02-12,47.23,47.26,46.79,46.99,863733,38.7655143108,38.7901377584,38.404370413,38.5685267302,863733,0.0,1.0
29,2015-02-13,47.5,47.52,46.88,47.16,722955,38.9871253391,39.0035409708,38.4782407557,38.7080595998,722955,0.0,1.0
30,2015-02-17,48.0,48.17,47.55,48.07,1297221,39.3975161321,39.5370490018,39.0281644184,39.4549708432,1297221,0.0,1.0
31,2015-02-18,48.34,48.36,47.77,47.95,1172757,39.6765818714,39.6929975031,39.2087363673,39.3564770528,1172757,0.0,1.0
