,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,55.9,56.17,55.35,55.92,421890,43.6128712824,43.8235237913,43.1837643199,43.628475172,421890,0.0,1.0
1,2015-01-05,54.89,55.51,54.54,55.46,372966,42.8248748603,43.3085954363,42.5518067932,43.2695857124,372966,0.0,1.0
2,2015-01-06,54.55,55.59,54.39,54.93,561074,42.559608738,43.3710109944,42.4347776217,42.8560826394,561074,0.0,1.0
3,2015-01-07,55.33,55.5,54.36,54.95,550945,43.1681604303,43.3007934915,42.4113717873,42.871686529,550945,0.0,1.0
4,2015-01-08,55.7,56.01,55.58,55.68,747354,43.4568323869,43.6986926749,43.3632090497,43.4412284974,747354,0.0,1.0
5,2015-01-09,55.25,55.85,54.91,55.77,431238,43.1057448721,43.5738615585,42.8404787499,43.5114460004,431238,0.0,1.0
6,2015-01-12,55.34,55.54,54.8,55.52,414287,43.1759623751,43.3320012706,42.7546573574,43.316397381,414287,0.0,1.0
7,2015-01-13,55.61,56.52,55.04,55.74,341814,43.386614884,44.0965918584,42.9419040319,43.488040166,341814,0.0,1.0
8,2015-01-14,57.14,57.17,55.28,55.28,575308,44.5803124343,44.6037182686,43.1291507065,43.1291507065,575308,0.0,1.0
9,2015-01-15,57.31,57.47,56.9675,57.33,744612,44.7129454954,44.8377766118,44.445728887,44.728549385,744612,0.0,1.0
10,2015-01-16,58.47,58.48,57.03,57.04,500803,45.6179710891,45.6257730339,44.4944910418,44.5022929866,500803,0.0,1.0
11,2015-01-20,58.22,58.95,57.47,58.47,458792,45.4229224698,45.9924644382,44.8377766118,45.6179710891,458792,0.0,1.0
12,2015-01-21,58.61,58.67,57.55,58.12,593960,45.727198316,45.7740099846,44.90019217,45.3449030221,593960,0.0,1.0
13,2015-01-22,58.64,59.05,58.28,59.01,595860,45.7506041503,46.070483886,45.4697341384,46.0392761069,595860,0.0,1.0
14,2015-01-23,58.66,59.11,58.6,58.85,403866,45.7662080398,46.1172955546,45.7193963712,45.9144449905,403866,0.0,1.0
15,2015-01-26,58.81,58.83,57.66,58.55,420415,45.8832372114,45.898841101,44.9860135625,45.6803866473,420415,0.0,1.0
16,2015-01-27,58.47,59.345,58.36,58.79,539874,45.6179710891,46.3006412568,45.5321496966,45.8676333219,539874,0.0,1.0
17,2015-01-28,57.54,59.04,57.33,58.61,556405,44.8923902252,46.0626819412,44.728549385,45.727198316,556405,0.0,1.0
18,2015-01-29,58.69,58.76,57.39,57.84,338061,45.7896138741,45.8442274876,44.7753610536,45.1264485684,338061,0.0,1.0
19,2015-01-30,56.91,58.65,56.78,58.31,934826,44.4008677045,45.7584060951,44.2994424225,45.4931399728,934826,0.0,1.0
20,2015-02-02,57.5,57.75,56.45,57.38,588976,44.8611824461,45.0562310655,44.0419782449,44.7675591088,588976,0.0,1.0
21,2015-02-03,57.92,57.97,57.17,57.19,757998,45.1888641266,45.2278738505,44.6037182686,44.6193221582,757998,0.0,1.0
22,2015-02-04,56.76,58.18,56.6,57.77,719539,44.2838385329,45.3917146907,44.1590074165,45.071834955,719539,0.0,1.0
23,2015-02-05,57.44,57.59,56.73,57.09,417437,44.8143707775,44.9313999491,44.2604326986,44.5413027104,417437,0.0,1.0
24,2015-02-06,55.09,57.495,54.5,57.26,746943,42.9809137558,44.8572814737,42.5205990142,44.6739357716,746943,0.0,1.0
25,2015-02-09,54.49,55.44,54.17,54.9,329057,42.5127970694,43.2539818228,42.2631348366,42.8326768051,329057,0.0,1.0
26,2015-02-10,54.95,55.1308,54.3,54.47,797484,42.871686529,43.0127456905,42.3645601187,42.4971931798,797484,0.0,1.0
27,2015-02-11,53.48,54.95,53.3728,54.95,850681,41.7248006473,42.871686529,41.6411637993,42.871686529,850681,0.0,1.0
28,2015-02-12,53.17,53.81,52.97,53.59,1461405,41.4829403593,41.9822648248,41.3269014639,41.8106220398,1461405,0.0,1.0
29,2015-02-13,52.52,53.32,52.21,53.2,957265,40.9758139491,41.5999695309,40.7339536611,41.5063461936,957265,0.0,1.0
30,2015-02-17,52.54,52.83,52.05,52.39,1557802,40.9914178386,41.217674237,40.6091225447,40.874388667,1557802,0.0,1.0
31,2015-02-18,53.53,53.5925,52.21,52.42,1703623,41.7638103712,41.812572526,40.7339536611,40.8977945013,1703623,0.0,1.0
32,2015-02-19,52.86,53.33,52.73,53.14,695831,41.5453559175,41.9147527635,41.4431823218,41.7654221236,695831,0.39,1.0
33,2015-02-20,52.93,53.08,52.27,52.91,822525,41.600372469,41.7182650795,41.0816449831,41.5846534543,822525,0.0,1.0
34,2015-02-23,53.13,53.2399,52.7,52.93,393308,41.7575626163,41.8439386022,41.4196037997,41.600372469,393308,0.0,1.0
35,2015-02-24,53.33,53.61,53.02,53.25,394033,41.9147527635,42.1348189697,41.6711080353,41.8518767046,394033,0.0,1.0
36,2015-02-25,53.15,53.55,52.97,53.4,735609,41.773281631,42.0876619255,41.6318104985,41.9697693151,735609,0.0,1.0
37,2015-02-26,52.49,53.304,52.47,53.23,489305,41.2545541451,41.8943180444,41.2388351304,41.8361576899,489305,0.0,1.0
38,2015-02-27,53.04,53.21,52.44,52.67,797985,41.68682705,41.8204386752,41.2152566083,41.3960252776,797985,0.0,1.0
39,2015-03-02,52.12,53.13,51.26,52.94,848138,40.9637523727,41.7575626163,40.2878347395,41.6082319764,848138,0.0,1.0
40,2015-03-03,53.29,53.39,52.31,52.66,1072374,41.8833147341,41.9619098077,41.1130830126,41.3881657703,1072374,0.0,1.0
41,2015-03-04,53.12,53.29,52.62,53.29,790540,41.7497031089,41.8833147341,41.3567277408,41.8833147341,790540,0.0,1.0
42,2015-03-05,53.43,53.648,52.97,53.18,576957,41.9933478372,42.1646850977,41.6318104985,41.7968601531,576957,0.0,1.0
43,2015-03-06,52.21,52.89,51.97,52.78,935459,41.0344879389,41.5689344396,40.8458597623,41.4824798586,935459,0.0,1.0
