,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,51.79,52.345,51.33,52.13,378744,42.7893935683,43.247939879,42.4093371667,43.0703048217,378744,0.0,1.0
1,2015-01-05,51.15,51.55,50.8,51.41,801779,42.2606194443,42.5911032718,41.9714460952,42.4754339322,801779,0.0,1.0
2,2015-01-06,51.66,52.18,51.27,51.77,1517830,42.6819863244,43.1116153001,42.3597645925,42.7728693769,1517830,0.0,1.0
3,2015-01-07,52.17,52.23,51.85,52.11,813056,43.1033532044,43.1529257786,42.8389661424,43.0537806303,813056,0.0,1.0
4,2015-01-08,53.72,54.01,52.61,52.66,1252678,44.3839780361,44.623578811,43.4668854147,43.5081958932,1252678,0.0,1.0
5,2015-01-09,53.02,53.92,52.86,53.86,1150391,43.8056313379,44.5492199499,43.6734378069,44.4996473757,1150391,0.0,1.0
6,2015-01-12,53.39,53.43,52.61,53.05,648253,44.1113288784,44.1443772611,43.4668854147,43.830417625,648253,0.0,1.0
7,2015-01-13,53.36,54.315,52.99,53.79,907237,44.0865425913,44.8755727295,43.7808450509,44.4418127059,907237,0.0,1.0
8,2015-01-14,53.53,53.6,52.71,53.29,826028,44.226998218,44.2848328878,43.5495063716,44.0287079215,826028,0.0,1.0
9,2015-01-15,52.39,53.91,52.34,53.83,1143013,43.2851193096,44.5409578542,43.2438088311,44.4748610887,1143013,0.0,1.0
10,2015-01-16,52.72,52.79,52.18,52.37,773816,43.5577684673,43.6156031371,43.1116153001,43.2685951182,773816,0.0,1.0
11,2015-01-20,53.6,53.95,53.22,53.49,1526571,44.2848328878,44.5740062369,43.9708732517,44.1939498353,1526571,0.0,1.0
12,2015-01-21,53.1,53.48,52.68,53.4,1109217,43.8717281034,44.1856877396,43.5247200845,44.1195909741,1109217,0.0,1.0
13,2015-01-22,53.89,53.94,53.03,53.43,1086939,44.5244336628,44.5657441412,43.8138934336,44.1443772611,1086939,0.0,1.0
14,2015-01-23,52.58,53.8799,52.53,53.77,1164324,43.4420991277,44.5160889461,43.4007886492,44.4252885145,1164324,0.0,1.0
15,2015-01-26,52.98,53.0,52.06,52.5,1045347,43.7725829552,43.7891071466,43.0124701519,43.3760023622,1045347,0.0,1.0
16,2015-01-27,52.38,52.77,52.04,52.4,591464,43.2768572139,43.5990789457,42.9959459605,43.2933814053,591464,0.0,1.0
17,2015-01-28,51.9,52.82,51.77,52.59,874626,42.8802766209,43.6403894242,42.7728693769,43.4503612233,874626,0.0,1.0
18,2015-01-29,52.76,52.81,51.82,51.96,915596,43.59081685,43.6321273285,42.8141798554,42.929849195,915596,0.0,1.0
19,2015-01-30,52.27,52.8,52.06,52.35,947405,43.1859741613,43.6238652328,43.0124701519,43.2520709268,947405,0.0,1.0
20,2015-02-02,51.2,53.03,50.63,52.15,1785856,42.3019299227,43.8138934336,41.8309904685,43.0868290131,1785856,0.0,1.0
21,2015-02-03,51.83,51.99,50.94,50.97,917797,42.8224419511,42.9546354821,42.0871154348,42.1119017219,917797,0.0,1.0
22,2015-02-04,51.5,52.05,51.31,51.39,1089760,42.5497927934,43.0042080562,42.3928129753,42.4589097408,1089760,0.0,1.0
