,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,53.94,54.04,53.1945,53.3,920588,44.202478274,44.284425768,43.5915597061,43.6780143122,920588,0.0,1.0
1,2015-01-05,53.11,54.1,52.9,53.97,707717,43.5223140736,44.3335942644,43.3502243362,44.2270625222,707717,0.0,1.0
2,2015-01-06,53.25,53.89,52.92,53.26,1141800,43.6370405652,44.161504527,43.366613835,43.6452353146,1141800,0.0,1.0
3,2015-01-07,53.93,54.2,53.46,53.63,528267,44.1942835246,44.4155417584,43.8091303027,43.9484410425,528267,0.0,1.0
4,2015-01-08,54.14,54.76,53.954,54.25,1359409,44.366373262,44.8744477249,44.2139509231,44.4565155054,1359409,0.0,1.0
5,2015-01-09,54.3,54.77,53.83,54.26,640120,44.4974892524,44.8826424743,44.1123360305,44.4647102548,640120,0.0,1.0
6,2015-01-12,54.13,54.66,53.67,54.56,901336,44.3581785126,44.7925002309,43.9812200401,44.7105527369,901336,0.0,1.0
7,2015-01-13,54.25,55.25,53.84,54.7,1321638,44.4565155054,45.2759904456,44.1205307799,44.8252792285,1321638,0.0,1.0
8,2015-01-14,55.21,55.235,53.8,54.04,797432,45.243211448,45.2636983215,44.0877517823,44.284425768,797432,0.0,1.0
9,2015-01-15,55.25,55.46,55.02,55.26,492291,45.2759904456,45.4480801831,45.0875112094,45.284185195,492291,0.0,1.0
10,2015-01-16,55.71,55.76,54.93,55.3,501858,45.6529489181,45.6939226651,45.0137584648,45.3169641926,501858,0.0,1.0
11,2015-01-20,56.14,56.2,55.378,55.98,845933,46.0053231424,46.0544916388,45.380883238,45.874207152,845933,0.0,1.0
12,2015-01-21,56.56,56.59,55.506,56.05,647010,46.3495026173,46.3740868655,45.4857760303,45.9315703978,647010,0.0,1.0
13,2015-01-22,56.53,56.89,56.319,56.77,574204,46.3249183691,46.6199293475,46.1520091567,46.5215923547,574204,0.0,1.0
14,2015-01-23,56.56,57.01,56.24,56.63,711251,46.3495026173,46.7182663404,46.0872706364,46.4068658631,711251,0.0,1.0
15,2015-01-26,56.86,56.89,55.88,56.5,722058,46.5953450993,46.6199293475,45.7922596579,46.3003341209,722058,0.0,1.0
16,2015-01-27,56.8,56.92,55.91,55.95,568427,46.5461766029,46.6445135957,45.8168439061,45.8496229038,568427,0.0,1.0
17,2015-01-28,56.67,57.31,56.43,56.87,943220,46.4396448607,46.9641088224,46.242970875,46.6035398487,943220,0.0,1.0
18,2015-01-29,57.36,57.4797,56.58,56.91,588811,47.0050825694,47.1031737198,46.3658921161,46.6363188463,588811,0.0,1.0
19,2015-01-30,56.14,57.3899,56.095,57.34,830890,46.0053231424,47.0295848701,45.9684467701,46.9886930706,830890,0.0,1.0
20,2015-02-02,56.71,56.76,55.7,56.17,513236,46.4724238583,46.5133976053,45.6447541687,46.0299073906,513236,0.0,1.0
21,2015-02-03,56.53,56.75,56.17,56.41,681536,46.3249183691,46.5052028559,46.0299073906,46.2265813762,681536,0.0,1.0
22,2015-02-04,55.64,56.63,55.59,56.26,777476,45.5955856723,46.4068658631,45.5546119253,46.1036601352,777476,0.0,1.0
23,2015-02-05,56.36,56.59,55.468,55.75,780214,46.4396448607,46.6291607996,45.7046526106,45.9370156314,780214,0.31,1.0
24,2015-02-06,54.83,56.36,54.53,56.36,980002,45.1789518756,46.4396448607,44.9317571727,46.4396448607,980002,0.0,1.0
25,2015-02-09,53.94,54.95,53.63,54.81,1183181,44.4456075902,45.2778297568,44.1901730639,45.1624722288,1183181,0.0,1.0
26,2015-02-10,54.3,54.47,53.9804,54.11,1335605,44.7422412338,44.8823182321,44.4788964769,44.5856845886,1335605,0.0,1.0
27,2015-02-11,53.54,54.25,53.23,54.14,764414,44.116014653,44.7010421166,43.8605801266,44.6104040589,764414,0.0,1.0
28,2015-02-12,53.61,53.89,53.19,53.7,739669,44.173693417,44.4044084731,43.8276208329,44.2478518279,739669,0.0,1.0
29,2015-02-13,52.64,53.6223,52.38,53.58,1550864,43.3744305441,44.1838283998,43.1601951349,44.1489739467,1550864,0.0,1.0
30,2015-02-17,52.75,53.27,52.39,52.63,1757701,43.4650686019,43.8935394203,43.1684349583,43.3661907207,1757701,0.0,1.0
31,2015-02-18,54.11,54.19,52.53,52.54,944061,44.5856845886,44.651603176,43.2837924864,43.2920323098,944061,0.0,1.0
32,2015-02-19,53.8,54.3,53.62,54.15,956942,44.3302500622,44.7422412338,44.1819332404,44.6186438823,956942,0.0,1.0
