,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,26.51,26.75,25.56,26.7,2273899,26.51,26.75,25.56,26.7,2273899,0.0,1.0
1,2015-01-05,25.69,26.399,25.46,26.15,2444314,25.69,26.399,25.46,26.15,2444314,0.0,1.0
2,2015-01-06,25.57,26.2199,24.743,26.11,3447027,25.57,26.2199,24.743,26.11,3447027,0.0,1.0
3,2015-01-07,25.98,26.2,25.22,25.89,1646709,25.98,26.2,25.22,25.89,1646709,0.0,1.0
4,2015-01-08,26.63,26.66,25.75,26.19,2393132,26.63,26.66,25.75,26.19,2393132,0.0,1.0
5,2015-01-09,26.27,26.63,26.01,26.62,1445508,26.27,26.63,26.01,26.62,1445508,0.0,1.0
6,2015-01-12,25.84,26.41,25.53,26.24,1207461,25.84,26.41,25.53,26.24,1207461,0.0,1.0
7,2015-01-13,25.72,26.84,25.4,26.11,2216211,25.72,26.84,25.4,26.11,2216211,0.0,1.0
8,2015-01-14,25.91,26.24,25.12,25.33,1864868,25.91,26.24,25.12,25.33,1864868,0.0,1.0
9,2015-01-15,25.23,26.33,25.21,26.18,1453469,25.23,26.33,25.21,26.18,1453469,0.0,1.0
10,2015-01-16,25.36,25.62,24.9722,25.3,1628667,25.36,25.62,24.9722,25.3,1628667,0.0,1.0
11,2015-01-20,26.91,27.45,25.25,25.57,4409935,26.91,27.45,25.25,25.57,4409935,0.0,1.0
12,2015-01-21,26.8,27.189,26.27,26.78,2266209,26.8,27.189,26.27,26.78,2266209,0.0,1.0
13,2015-01-22,27.44,27.79,26.35,27.09,2385026,27.44,27.79,26.35,27.09,2385026,0.0,1.0
14,2015-01-23,27.61,28.3,27.18,27.38,1757406,27.61,28.3,27.18,27.38,1757406,0.0,1.0
15,2015-01-26,27.89,28.2299,27.6,27.68,1384766,27.89,28.2299,27.6,27.68,1384766,0.0,1.0
16,2015-01-27,27.69,28.03,27.38,27.47,1616099,27.69,28.03,27.38,27.47,1616099,0.0,1.0
17,2015-01-28,27.28,28.19,27.28,27.9,1477408,27.28,28.19,27.28,27.9,1477408,0.0,1.0
18,2015-01-29,27.81,27.82,26.56,27.23,1536797,27.81,27.82,26.56,27.23,1536797,0.0,1.0
19,2015-01-30,27.01,27.9722,27.0,27.52,1231137,27.01,27.9722,27.0,27.52,1231137,0.0,1.0
20,2015-02-02,26.9,27.02,25.92,26.98,1478775,26.9,27.02,25.92,26.98,1478775,0.0,1.0
21,2015-02-03,25.8,27.24,25.66,26.9,2326886,25.8,27.24,25.66,26.9,2326886,0.0,1.0
22,2015-02-04,26.42,26.65,25.77,25.8,1327742,26.42,26.65,25.77,25.8,1327742,0.0,1.0
