,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,342.01,346.99,340.33,342.84,976701,342.01,346.99,340.33,342.84,976701,0.0,1.0
1,2015-01-05,336.74,342.0,335.13,339.27,1253151,336.74,342.0,335.13,339.27,1253151,0.0,1.0
2,2015-01-06,334.65,346.64,334.4,339.98,1898150,334.65,346.64,334.4,339.98,1898150,0.0,1.0
3,2015-01-07,353.24,354.0,338.045,338.09,2484299,353.24,354.0,338.045,338.09,2484299,0.0,1.0
4,2015-01-08,350.25,360.0,341.7105,359.42,4286905,350.25,360.0,341.7105,359.42,4286905,0.0,1.0
5,2015-01-09,342.34,352.08,338.24,349.78,2548399,342.34,352.08,338.24,349.78,2548399,0.0,1.0
6,2015-01-12,347.84,350.0,343.71,345.5,1899187,347.84,350.0,343.71,345.5,1899187,0.0,1.0
7,2015-01-13,352.74,361.91,348.35,352.81,2489440,352.74,361.91,348.35,352.81,2489440,0.0,1.0
8,2015-01-14,348.75,355.61,347.52,348.0,1429918,348.75,355.61,347.52,348.0,1429918,0.0,1.0
9,2015-01-15,339.88,354.55,339.662,350.04,1667792,339.88,354.55,339.662,350.04,1667792,0.0,1.0
10,2015-01-16,352.75,353.44,339.3501,339.37,1672977,352.75,353.44,339.3501,339.37,1672977,0.0,1.0
11,2015-01-20,363.28,365.19,350.64,354.5,2076362,363.28,365.19,350.64,354.5,2076362,0.0,1.0
12,2015-01-21,361.825,366.17,358.22,361.41,1336963,361.825,366.17,358.22,361.41,1336963,0.0,1.0
13,2015-01-22,353.65,364.0,349.49,364.0,2322866,353.65,364.0,349.49,364.0,2322866,0.0,1.0
14,2015-01-23,357.53,359.87,352.03,352.98,1077661,357.53,359.87,352.03,352.98,1077661,0.0,1.0
15,2015-01-26,362.44,362.84,355.45,357.63,1330585,362.44,362.84,355.45,357.63,1330585,0.0,1.0
16,2015-01-27,357.89,364.76,357.13,358.28,1446335,357.89,364.76,357.13,358.28,1446335,0.0,1.0
17,2015-01-28,351.18,361.38,350.5,360.29,1485977,351.18,361.38,350.5,360.29,1485977,0.0,1.0
18,2015-01-29,353.25,354.6057,345.76,351.53,1707791,353.25,354.6057,345.76,351.53,1707791,0.0,1.0
19,2015-01-30,389.16,397.0,372.75,372.75,4029832,389.16,397.0,372.75,372.75,4029832,0.0,1.0
20,2015-02-02,390.0,394.98,382.0,389.03,1832685,390.0,394.98,382.0,389.03,1832685,0.0,1.0
21,2015-02-03,393.89,395.5,386.34,390.73,1781484,393.89,395.5,386.34,390.73,1781484,0.0,1.0
22,2015-02-04,391.12,394.48,381.36,388.6,2166026,391.12,394.48,381.36,388.6,2166026,0.0,1.0
23,2015-02-05,401.79,402.4,390.11,393.7,1576240,401.79,402.4,390.11,393.7,1576240,0.0,1.0
24,2015-02-06,402.0,407.94,399.0,400.3,1640453,402.0,407.94,399.0,400.3,1640453,0.0,1.0
25,2015-02-09,396.88,402.8399,396.464,398.05,1440778,396.88,402.8399,396.464,398.05,1440778,0.0,1.0
26,2015-02-10,395.13,400.864,394.06,398.05,1811638,395.13,400.864,394.06,398.05,1811638,0.0,1.0
27,2015-02-11,390.0,396.86,388.53,394.86,1766321,390.0,396.86,388.53,394.86,1766321,0.0,1.0
28,2015-02-12,392.11,395.0,386.14,394.69,1755141,392.11,395.0,386.14,394.69,1755141,0.0,1.0
29,2015-02-13,391.66,394.39,387.24,391.68,1180115,391.66,394.39,387.24,391.68,1180115,0.0,1.0
30,2015-02-17,397.91,402.29,388.67,389.11,1321114,397.91,402.29,388.67,389.11,1321114,0.0,1.0
31,2015-02-18,401.12,401.87,396.52,396.83,782821,401.12,401.87,396.52,396.83,782821,0.0,1.0
32,2015-02-19,406.73,408.24,400.56,401.04,1144305,406.73,408.24,400.56,401.04,1144305,0.0,1.0
33,2015-02-20,408.05,409.03,403.36,406.4,945924,408.05,409.03,403.36,406.4,945924,0.0,1.0
34,2015-02-23,408.58,411.32,406.23,408.25,955238,408.58,411.32,406.23,408.25,955238,0.0,1.0
35,2015-02-24,404.89,410.74,402.83,410.25,854226,404.89,410.74,402.83,410.25,854226,0.0,1.0
36,2015-02-25,408.94,412.02,400.57,405.32,1114813,408.94,412.02,400.57,405.32,1114813,0.0,1.0
37,2015-02-26,410.1,411.77,406.065,408.82,863782,410.1,411.77,406.065,408.82,863782,0.0,1.0
38,2015-02-27,409.59,411.31,405.8,410.23,1371021,409.59,411.31,405.8,410.23,1371021,0.0,1.0
39,2015-03-02,415.79,416.82,406.4,410.67,1347278,415.79,416.82,406.4,410.67,1347278,0.0,1.0
40,2015-03-03,412.79,415.17,407.12,415.0,1236017,412.79,415.17,407.12,415.0,1236017,0.0,1.0
41,2015-03-04,414.13,417.18,406.1,410.95,1524051,414.13,417.18,406.1,410.95,1524051,0.0,1.0
42,2015-03-05,425.61,425.7,417.09,417.42,1847295,425.61,425.7,417.09,417.42,1847295,0.0,1.0
43,2015-03-06,417.63,424.23,416.24,424.23,1643719,417.63,424.23,416.24,424.23,1643719,0.0,1.0
44,2015-03-09,415.51,417.65,411.6,417.23,1516214,415.51,417.65,411.6,417.23,1516214,0.0,1.0
45,2015-03-10,414.2,420.44,409.61,409.67,1400677,414.2,420.44,409.61,409.67,1400677,0.0,1.0
46,2015-03-11,408.11,416.24,407.51,415.31,1426806,408.11,416.24,407.51,415.31,1426806,0.0,1.0
47,2015-03-12,407.64,411.49,406.02,411.49,1553494,407.64,411.49,406.02,411.49,1553494,0.0,1.0
48,2015-03-13,413.35,416.6999,407.09,407.09,1745275,413.35,416.6999,407.09,407.09,1745275,0.0,1.0
49,2015-03-16,421.32,422.3663,414.2201,415.46,1564535,421.32,422.3663,414.2201,415.46,1564535,0.0,1.0
50,2015-03-17,426.12,426.48,417.5,420.1,1968927,426.12,426.48,417.5,420.1,1968927,0.0,1.0
51,2015-03-18,427.93,431.0,417.05,425.0,2030270,427.93,431.0,417.05,425.0,2030270,0.0,1.0
52,2015-03-19,433.65,439.9,431.33,434.795,2471896,433.65,439.9,431.33,434.795,2471896,0.0,1.0
53,2015-03-20,475.98,480.18,456.06,475.92,10643242,475.98,480.18,456.06,475.92,10643242,0.0,1.0
54,2015-03-23,463.73,474.0,460.5,466.07,3712598,463.73,474.0,460.5,466.07,3712598,0.0,1.0
