,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,356.73,359.89,352.44,357.98,367144,275.2400950482,277.6782379024,271.9300846545,276.2045502912,367144,0.0,1.0
1,2015-01-05,347.5,354.27,346.6,353.24,465904,268.1185575345,273.3420471302,267.4241497595,272.54733601,465904,0.0,1.0
2,2015-01-06,342.1,351.629,338.55,348.7,626376,263.952110885,271.3043460929,261.2130579951,269.0444345677,626376,0.0,1.0
3,2015-01-07,349.34,349.98,344.26,345.15,388392,269.538235652,270.0320367364,265.6186895448,266.3053816777,388392,0.0,1.0
4,2015-01-08,353.42,354.65,351.59,352.84,480797,272.686217565,273.635241524,271.2742550893,272.2387103322,480797,0.0,1.0
5,2015-01-09,349.23,354.52,346.94,353.99,535726,269.4533635907,273.5349381787,267.6864815856,273.1260091557,535726,0.0,1.0
6,2015-01-12,346.93,352.3799,344.245,350.21,331528,267.6787659437,271.8837136464,265.6071160819,270.2094965011,331528,0.0,1.0
7,2015-01-13,347.98,354.49,344.9,349.78,406689,268.4889083477,273.5117912529,266.1124906292,269.8777238976,406689,0.0,1.0
8,2015-01-14,345.75,347.66,340.5048,345.58,717560,266.7683201943,268.2420078055,262.7213116822,266.6371542813,717560,0.0,1.0
9,2015-01-15,342.45,349.58,340.57,349.07,662086,264.222158353,269.7234110587,262.7716176676,269.3299133196,662086,0.0,1.0
10,2015-01-16,348.07,348.61,339.1,344.49,916411,268.5583491252,268.9749937902,261.637418302,265.7961493095,916411,0.0,1.0
11,2015-01-20,346.59,351.6,344.67,350.01,939842,267.4164341176,271.2819707313,265.9350308645,270.0551836623,939842,0.0,1.0
12,2015-01-21,349.5,351.0,342.51,344.63,823010,269.6616859231,270.8190322147,264.2684522047,265.9041682967,823010,0.0,1.0
13,2015-01-22,360.79,362.0346,348.47,354.0,716518,278.3726456773,279.3329344736,268.866974803,273.1337247977,716518,0.0,1.0
14,2015-01-23,355.12,361.72,355.11,361.27,418521,273.9978766953,279.090200378,273.9901610534,278.7429964906,418521,0.0,1.0
15,2015-01-26,357.39,358.45,352.65,354.0,469958,275.7493274165,276.5671854625,272.0921131353,273.1337247977,469958,0.0,1.0
16,2015-01-27,351.48,355.0,350.78,353.25,435935,271.1893830279,273.905288992,270.6492880919,272.5550516519,435935,0.0,1.0
17,2015-01-28,345.03,354.71,344.77,353.49,562255,266.2127939744,273.6815353757,266.0121872839,272.7402270586,562255,0.0,1.0
18,2015-01-29,346.94,348.16,342.77,345.79,593738,267.6864815856,268.6277899027,264.4690588952,266.7991827621,593738,0.0,1.0
19,2015-01-30,340.51,347.96,340.27,345.09,663236,262.725323816,268.4734770638,262.5401484093,266.2590878261,663236,0.0,1.0
20,2015-02-02,347.64,348.1,339.44,342.37,610213,268.2265765217,268.5814960511,261.899750128,264.1604332175,610213,0.0,1.0
21,2015-02-03,352.95,353.4,348.06,348.06,655289,272.3235823936,272.6707862811,268.5506334833,268.5506334833,655289,0.0,1.0
22,2015-02-04,350.78,354.3275,344.95,346.54,544680,270.6492880919,273.3864120713,266.1510688389,267.3778559079,544680,0.0,1.0
23,2015-02-05,358.82,359.82,352.01,352.34,743609,276.8526642144,277.6242284088,271.5983120509,271.8529282351,743609,0.0,1.0
24,2015-02-06,362.43,367.47,360.15,362.25,653686,279.638010956,283.5266944955,277.8788445929,279.499129401,653686,0.0,1.0
25,2015-02-09,360.87,362.59,358.83,360.03,403079,278.4343708128,279.7614612271,276.8603798564,277.7862568896,403079,0.0,1.0
26,2015-02-10,370.67,372.05,364.3364,365.0,726933,285.9956999174,287.0604585056,281.1089209361,281.6209309355,726933,0.0,1.0
27,2015-02-11,369.9,372.25,367.29,369.55,461330,285.4015954878,287.2147713445,283.3878129405,285.1315480197,461330,0.0,1.0
28,2015-02-12,374.88,375.46,370.0,370.0,445494,289.2439851756,289.6914924083,285.4787519072,285.4787519072,445494,0.0,1.0
29,2015-02-13,376.04,378.03,373.8,374.89,553701,290.138999641,291.6744123878,288.4106958457,289.2517008175,553701,0.0,1.0
30,2015-02-17,380.33,382.84,377.8,379.51,1122430,293.4490100348,295.3856361626,291.4969526231,292.8163273954,1122430,0.0,1.0
31,2015-02-18,377.86,381.165,376.79,380.54,583220,291.5432464747,294.093266137,290.7176727868,293.6110385156,583220,0.0,1.0
32,2015-02-19,377.61,379.4299,376.05,376.69,499029,291.3503554261,292.7545251034,290.146715283,290.6405163673,499029,0.0,1.0
33,2015-02-20,376.64,377.67,373.15,375.72,774270,290.6019381576,291.3966492778,287.9091791194,289.8920990988,774270,0.0,1.0
34,2015-02-23,376.43,378.0,373.6956,377.17,443593,290.4399096768,291.6512654619,288.3301445438,291.0108671806,443593,0.0,1.0
35,2015-02-24,378.11,379.88,377.0,377.71,451672,291.7361375233,293.1018061473,290.8797012676,291.4275118456,451672,0.0,1.0
36,2015-02-25,375.92,378.65,375.56,377.74,443439,290.0464119377,292.1527821883,289.7686488277,291.4506587714,443439,0.0,1.0
37,2015-02-26,375.02,377.01,373.25,374.79,397656,289.3520041628,290.8874169095,287.9863355388,289.1745443981,397656,0.0,1.0
38,2015-02-27,371.42,376.85,371.38,375.02,702198,286.5743730632,290.7639666384,286.5435104954,289.3520041628,702198,0.0,1.0
39,2015-03-02,376.42,376.69,367.88,367.88,478004,290.4321940349,290.6405163673,283.8430358152,283.8430358152,478004,0.0,1.0
