,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,54.74,55.4,54.16,55.24,1611971,41.3513855232,41.8499590425,40.9132451577,41.7290927347,1831199,0.0,1.0
1,2015-01-05,53.16,54.545,52.62,54.5,2629212,40.1578307346,41.2040797107,39.7499069461,41.1700860616,2986784,0.0,1.0
2,2015-01-06,52.79,53.516,51.95,53.36,2119501,39.878327398,40.4267582692,39.2437792826,40.3089136192,2407753,0.0,1.0
3,2015-01-07,54.03,54.04,52.99,53.06,1300340,40.8150412827,40.822595427,40.0294102827,40.0822892923,1477186,0.0,1.0
4,2015-01-08,54.95,55.12,54.2,54.57,1898596,41.510022552,41.638443004,40.9434617347,41.2229650712,2156805,0.0,1.0
5,2015-01-09,53.52,55.3,53.37,55.05,1668113,40.4297799269,41.7744176001,40.3164677635,41.5855639943,1894976,0.0,1.0
6,2015-01-12,52.12,53.4,51.86,53.32,1766464,39.3721997345,40.3391301962,39.1757919845,40.2786970423,2006703,0.0,1.0
7,2015-01-13,51.44,53.09,50.64,52.43,2313484,38.8585179268,40.104951725,38.2541863883,39.6063782057,2628117,0.0,1.0
8,2015-01-14,51.73,51.91,48.4,50.58,6291423,39.0775881095,39.2135627057,36.5620580804,38.2088615229,7147056,0.0,1.0
9,2015-01-15,50.46,52.12,50.422,51.85,2481419,38.1182117921,39.3721997345,38.089506044,39.1682378403,2818891,0.0,1.0
10,2015-01-16,50.8,50.85,49.87,50.15,1747960,38.375052696,38.4128234171,37.6725172824,37.8840333209,1985682,0.0,1.0
11,2015-01-20,52.76,52.78,50.71,51.14,4527162,39.8556649653,39.8707732538,38.3070653979,38.6318935998,5142856,0.0,1.0
12,2015-01-21,53.52,54.0,52.32,52.62,3275474,40.4297799269,40.79237885,39.5232826192,39.7499069461,3720938,0.0,1.0
13,2015-01-22,55.12,55.29,53.54,54.03,2450563,41.638443004,41.7668634559,40.4448882154,40.8150412827,2783839,0.0,1.0
14,2015-01-23,54.78,55.3,54.39,54.91,2211776,41.3816021001,41.7744176001,41.0869904751,41.4798059751,2512577,0.0,1.0
15,2015-01-26,54.83,54.97,54.47,54.58,1128153,41.4193728213,41.5251308405,41.1474236289,41.2305192155,1281581,0.0,1.0
16,2015-01-27,54.88,55.2,53.92,54.16,1533326,41.4571435424,41.6988761578,40.7319456962,40.9132451577,1741858,0.0,1.0
17,2015-01-28,53.32,55.19,53.16,54.97,1632418,40.2786970423,41.6913220136,40.1578307346,41.5251308405,1854426,0.0,1.0
18,2015-01-29,54.7,54.9,53.31,53.57,1555557,41.3211689462,41.4722518309,40.2711428981,40.4675506481,1767112,0.0,1.0
19,2015-01-30,54.01,54.63,53.7,54.08,2465887,40.7999329943,41.2682899366,40.5657545231,40.8528120039,2801247,0.0,1.0
20,2015-02-02,55.53,55.61,53.9,54.15,1701756,41.9481629175,42.0085960713,40.7168374077,40.9056910135,1933194,0.0,1.0
21,2015-02-03,57.03,57.259,56.01,56.09,1852812,43.0812845522,43.2542744551,42.3107618406,42.3711949944,2104794,0.0,1.0
22,2015-02-04,57.44,57.84,56.59,57.01,1976227,43.3910044657,43.6931702349,42.748902206,43.0661762637,2244993,0.0,1.0
23,2015-02-05,58.31,58.5,57.39,57.52,1660793,44.0482150138,44.1917437542,43.3532337445,43.4514376195,1886660,0.0,1.0
24,2015-02-06,58.56,59.22,58.2,58.56,2305319,44.2370686196,44.7356421389,43.9651194273,44.2370686196,2618842,0.0,1.0
25,2015-02-09,57.0,58.27,56.86,58.07,2152458,43.0586221195,44.0179984369,42.9528641002,43.8669155523,2445192,0.0,1.0
26,2015-02-10,57.9,58.04,57.09,57.79,1254628,43.7384951003,43.8442531196,43.1266094176,43.6553995138,1425257,0.0,1.0
27,2015-02-11,58.02,58.16,57.52,57.86,1535208,43.8291448311,43.9349028503,43.4514376195,43.7082785234,1743996,0.0,1.0
28,2015-02-12,61.38,61.44,58.87,59.26,2739442,46.3673372929,46.4126621583,44.4712470908,44.7658587158,3112006,0.0,1.0
29,2015-02-13,60.17,60.75,59.45,60.51,2446884,45.4532858409,45.8914262063,44.9093874562,45.7101267447,2779660,0.0,1.0
30,2015-02-17,60.56,60.71,60.14,60.36,1813425,45.7478974659,45.8612096294,45.4306234082,45.5968145813,2060050,0.0,1.0
31,2015-02-18,60.3,60.42,59.69,60.3,1471292,45.5514897159,45.6421394467,45.0906869178,45.5514897159,1671387,0.0,1.0
32,2015-02-19,60.59,60.64,59.66,60.07,1204219,45.7705598986,45.8083306198,45.0680244851,45.3777443986,1367992,0.0,1.0
33,2015-02-20,61.3,61.37,59.81,60.58,1190940,46.306904139,46.3597831486,45.1813366485,45.7630057544,1352907,0.0,1.0
34,2015-02-23,61.22,61.46,60.82,61.0,1055252,46.2464709852,46.4277704467,45.9443052159,46.0802798121,1198766,0.0,1.0
35,2015-02-24,61.06,61.39,60.931,61.26,1018031,46.1256046775,46.3748914371,46.0281562169,46.2766875621,1156483,0.0,1.0
36,2015-02-25,61.79,61.91,61.02,61.23,1313172,46.6770572064,46.7677069371,46.0953881005,46.2540251294,1491763,0.0,1.0
37,2015-02-26,61.55,61.79,61.25,61.66,1389465,46.5939616198,46.7756440047,46.3668586387,46.6772327129,1578432,0.13,1.0
38,2015-02-27,61.46,61.76,60.99,61.42,1361019,46.5258307255,46.7529337066,46.1700360551,46.495550328,1546117,0.0,1.0
39,2015-03-02,63.01,63.3,61.58,61.58,2349288,47.6991961278,47.9187290095,46.6166719179,46.6166719179,2668791,0.0,1.0
40,2015-03-03,62.97,63.23,62.43,62.67,2648406,47.6689157303,47.8657383139,47.2601303643,47.4418127492,3008589,0.0,1.0
41,2015-03-04,62.17,63.1497,61.99,62.97,2541798,47.0633077807,47.804950416,46.9270459921,47.6689157303,2887482,0.0,1.0
42,2015-03-05,62.04,62.68,61.93,62.27,1893772,46.9648964889,47.4493828486,46.8816253959,47.1390087744,2151324,0.0,1.0
43,2015-03-06,60.66,61.91,60.27,61.84,2164504,45.9202227759,46.8664851971,45.6249889005,46.8134945015,2458876,0.0,1.0
44,2015-03-09,60.73,61.09,60.58,60.64,1339454,45.9732134715,46.2457370488,45.859661981,45.9050825772,1521619,0.0,1.0
45,2015-03-10,59.41,60.37,59.41,60.14,1509971,44.9739603547,45.7006898942,44.9739603547,45.5265776087,1715327,0.0,1.0
46,2015-03-11,58.62,59.46,58.56,59.26,1759763,44.3759225045,45.0118108516,44.3305019083,44.8604088642,1999090,0.0,1.0
47,2015-03-12,60.08,60.13,58.76,58.86,1514502,45.4811570125,45.5190075093,44.4819038957,44.5576048894,1720474,0.0,1.0
48,2015-03-13,58.8,59.96,58.33,59.78,1350446,44.5121842932,45.3903158201,44.1563896228,45.2540540314,1534106,0.0,1.0
49,2015-03-16,60.18,60.19,59.15,59.24,1602032,45.5568580062,45.5644281056,44.7771377711,44.8452686654,1819908,0.0,1.0
50,2015-03-17,59.43,60.09,59.36,59.72,1229571,44.9891005535,45.4887271119,44.9361098579,45.2086334352,1396792,0.0,1.0
51,2015-03-18,60.69,60.98,58.508,58.9,1654000,45.942933074,46.1624659558,44.2911373916,44.5878852869,1878944,0.0,1.0
52,2015-03-19,60.14,60.31,59.76,60.27,1128420,45.5265776087,45.655269298,45.2389138327,45.6249889005,1281885,0.0,1.0
53,2015-03-20,60.46,61.34,60.42,60.42,1604554,45.7688207885,46.4349895331,45.7385403911,45.7385403911,1822773,0.0,1.0
54,2015-03-23,60.53,60.81,60.28,60.46,835104,45.8218114841,46.0337742665,45.6325589999,45.7688207885,948678,0.0,1.0
55,2015-03-24,59.99,60.68,59.98,60.31,1116032,45.4130261182,45.9353629747,45.4054560188,45.655269298,1267812,0.0,1.0
56,2015-03-25,59.04,60.23,59.02,59.99,1932904,44.6938666781,45.594708503,44.6787264793,45.4130261182,2195778,0.0,1.0
57,2015-03-26,59.13,59.45,58.72,58.81,2323504,44.7619975724,45.0042407522,44.4516234982,44.5197543926,2639500,0.0,1.0
58,2015-03-27,59.39,59.845,58.95,59.27,1389162,44.958820156,45.3032596773,44.6257357837,44.8679789636,1578088,0.0,1.0
59,2015-03-30,61.1,61.32,59.93,60.01,1295756,46.2533071482,46.4198493343,45.367605522,45.4281663169,1471978,0.0,1.0
60,2015-03-31,60.48,61.22,60.455,60.7,1237619,45.7839609873,46.3441483406,45.7650357389,45.9505031734,1405935,0.0,1.0
61,2015-04-01,60.09,60.75,59.5,60.52,1812379,45.4887271119,45.9883536703,45.0420912491,45.8142413848,2058862,0.0,1.0
