,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,45.61,46.11,45.31,45.91,2769732,38.9118550633,39.3384265944,38.6559121447,39.1677979819,2769732,0.0,1.0
1,2015-01-05,45.39,46.2,45.3,46.18,4301481,38.7241635896,39.4152094699,38.647380714,39.3981466087,4301481,0.0,1.0
2,2015-01-06,45.83,46.17,45.02,45.63,6222584,39.099546537,39.3896151781,38.4085006566,38.9289179245,6222584,0.0,1.0
3,2015-01-07,46.0,46.285,45.74,45.89,7102639,39.2445808575,39.4877266302,39.0227636614,39.1507351207,7102639,0.0,1.0
4,2015-01-08,46.68,46.9672,46.03,46.07,4915829,39.8247181398,40.0697408272,39.2701751494,39.3043008719,4915829,0.0,1.0
5,2015-01-09,46.3,46.72,46.03,46.72,3689636,39.5005237762,39.8588438622,39.2701751494,39.8588438622,3689636,0.0,1.0
6,2015-01-12,46.29,47.44,46.205,47.3,3907513,39.4919923455,40.473106867,39.4194751853,40.3536668383,3907513,0.0,1.0
7,2015-01-13,45.96,46.85,45.56,46.75,4364666,39.210455135,39.9697524603,38.8691979102,39.8844381541,4364666,0.0,1.0
8,2015-01-14,45.48,45.88,45.11,45.72,4418389,38.8009464652,39.1422036901,38.4852835322,39.0057008001,4418389,0.0,1.0
9,2015-01-15,45.17,45.98,44.93,45.87,4536676,38.536472116,39.2275179963,38.3317177811,39.1336722594,4536676,0.0,1.0
10,2015-01-16,45.46,45.605,44.765,45.49,4589378,38.783883604,38.907589348,38.1909491758,38.8094778958,4589378,0.0,1.0
11,2015-01-20,45.38,45.93,45.24,45.84,4114360,38.715632159,39.1848608432,38.5961921303,39.1080779676,4114360,0.0,1.0
12,2015-01-21,45.63,45.955,45.44,45.66,3728483,38.9289179245,39.2061894197,38.7668207427,38.9545122164,3728483,0.0,1.0
13,2015-01-22,46.25,46.665,45.5,45.95,4002033,39.457866623,39.8119209938,38.8180093265,39.2019237044,4002033,0.0,1.0
14,2015-01-23,46.38,46.7062,46.33,46.68,2608007,39.5687752211,39.847070488,39.526118068,39.8247181398,2608007,0.0,1.0
15,2015-01-26,46.76,46.76,46.22,46.38,2734388,39.8929695847,39.8929695847,39.4322723312,39.5687752211,2734388,0.0,1.0
16,2015-01-27,46.12,46.76,45.865,46.59,3909634,39.346958025,39.8929695847,39.1294065441,39.7479352642,3909634,0.0,1.0
17,2015-01-28,45.16,46.62,45.08,46.53,3898850,38.5279406853,39.773529556,38.4596892404,39.6967466804,3898850,0.0,1.0
18,2015-01-29,44.88,45.23,43.83,44.3,6934568,38.2890606279,38.5876606997,37.3932604127,37.7942376519,6934568,0.0,1.0
19,2015-01-30,43.96,45.02,43.9,44.61,4365071,37.5041690108,38.4085006566,37.4529804271,38.0587120012,4365071,0.0,1.0
20,2015-02-02,43.51,43.88,42.76,43.82,5111847,37.1202546328,37.4359175658,36.4803973363,37.3847289821,5111847,0.0,1.0
21,2015-02-03,43.69,43.895,43.29,43.41,5310367,37.273820384,37.4487147118,36.9325631592,37.0349403266,5310367,0.0,1.0
22,2015-02-04,43.46,43.9,43.25,43.46,4067256,37.0775974797,37.4529804271,36.8984374367,37.0775974797,4067256,0.0,1.0
23,2015-02-05,43.7,43.84,43.41,43.77,3352926,37.2823518146,37.4017918433,37.0349403266,37.342071829,3352926,0.0,1.0
24,2015-02-06,43.33,43.8,43.22,43.54,3153836,36.9666888817,37.3676661209,36.8728431448,37.1458489247,3153836,0.0,1.0
25,2015-02-09,42.65,43.16,42.51,42.995,3784239,36.3865515994,36.8216545611,36.2671115707,36.6808859558,3784239,0.0,1.0
26,2015-02-10,43.55,43.74,43.18,43.48,4683589,37.1543803553,37.3164775371,36.8387174223,37.094660341,4683589,0.0,1.0
27,2015-02-11,44.07,44.24,43.59,43.59,5808327,37.5980147476,37.7430490682,37.1885060778,37.1885060778,5808327,0.0,1.0
28,2015-02-12,44.37,44.73,44.3,44.43,3631696,37.8539576663,38.1610891686,37.7942376519,37.90514625,3631696,0.0,1.0
29,2015-02-13,43.48,43.83,43.4,43.67,4900801,37.094660341,37.3932604127,37.026408896,37.2567575228,4900801,0.0,1.0
30,2015-02-17,43.29,43.51,43.13,43.29,5747972,36.9325631592,37.1202546328,36.7960602692,36.9325631592,5747972,0.0,1.0
31,2015-02-18,43.87,44.065,43.58,43.94,5339879,37.6406719007,37.8079828426,37.3918505,37.7007322388,5339879,0.25,1.0
32,2015-02-19,43.7,44.62,43.555,44.61,5077343,37.4948110796,38.2841755234,37.3704003792,38.2755954751,5077343,0.0,1.0
33,2015-02-20,43.27,43.41,42.82,43.27,4736683,37.1258690026,37.2459896788,36.739766829,37.1258690026,4736683,0.0,1.0
34,2015-02-23,43.52,43.72,43.31,43.66,4096188,37.3403702102,37.5119711762,37.1601891958,37.4604908864,4096188,0.0,1.0
35,2015-02-24,43.59,43.68,43.19,43.66,4761573,37.4004305483,37.477650983,37.0572286162,37.4604908864,4761573,0.0,1.0
36,2015-02-25,43.89,43.98,43.67,43.73,6420992,37.6578319973,37.7350524321,37.4690709347,37.5205512245,6420992,0.0,1.0
37,2015-02-26,43.77,44.02,43.63,43.88,4255226,37.5548714177,37.7693726253,37.4347507415,37.649251949,4255226,0.0,1.0
38,2015-02-27,43.99,44.22,43.74,43.74,6008841,37.7436324804,37.9409735913,37.5291312728,37.5291312728,6008841,0.0,1.0
39,2015-03-02,45.19,45.61,44.0,44.03,10802756,38.7732382766,39.1336003053,37.7522125287,37.7779526736,10802756,0.0,1.0
40,2015-03-03,44.69,45.17,44.35,45.15,5307410,38.3442358615,38.75607818,38.0525142192,38.7389180834,5307410,0.0,1.0
41,2015-03-04,44.59,44.63,44.3,44.46,2143803,38.2584353785,38.2927555717,38.0096139777,38.1468947506,2143803,0.0,1.0
42,2015-03-05,45.47,45.55,45.03,45.03,3940644,39.013479629,39.0821200155,38.6359575038,38.6359575038,3940644,0.0,1.0
43,2015-03-06,44.4,45.24,44.05,45.22,4490880,38.0954144607,38.8161385181,37.7951127702,38.7989784215,4490880,0.0,1.0
44,2015-03-09,44.99,45.09,44.44,44.51,4101854,38.6016373106,38.6874377936,38.1297346539,38.1897949921,4101854,0.0,1.0
45,2015-03-10,44.07,44.82,44.035,44.73,3209111,37.8122728668,38.4557764894,37.7822426977,38.3785560547,3209111,0.0,1.0
46,2015-03-11,43.84,44.14,43.805,44.03,2500855,37.6149317558,37.8723332049,37.5849015868,37.7779526736,2500855,0.0,1.0
47,2015-03-12,45.29,45.3,44.44,44.57,4433118,38.8590387596,38.8676188079,38.1297346539,38.2412752819,4433118,0.0,1.0
48,2015-03-13,45.33,45.4,44.74,44.89,3774408,38.8933589528,38.9534192909,38.387136103,38.5158368275,3774408,0.0,1.0
49,2015-03-16,46.3,46.43,45.55,45.56,3416834,39.7256236381,39.837164266,39.0821200155,39.0907000638,3416834,0.0,1.0
50,2015-03-17,45.67,45.89,45.53,45.73,2506424,39.1850805951,39.3738416577,39.0649599189,39.2365608849,2506424,0.0,1.0
51,2015-03-18,46.72,46.83,45.495,45.59,4005457,40.0859856668,40.1803661981,39.0349297498,39.1164402087,4005457,0.0,1.0
52,2015-03-19,46.68,46.98,46.3,46.48,4084507,40.0516654736,40.3090669226,39.7256236381,39.8800645075,4084507,0.0,1.0
53,2015-03-20,46.88,47.24,46.55,46.77,6474227,40.2232664396,40.5321481785,39.9401248457,40.1288859083,6474227,0.0,1.0
54,2015-03-23,46.06,46.47,45.59,45.73,5383971,39.5197024789,39.8714844592,39.1164402087,39.2365608849,5383971,0.0,1.0
55,2015-03-24,45.39,45.98,45.38,45.78,4646958,38.9448392426,39.4510620924,38.9362591943,39.2794611264,4646958,0.0,1.0
56,2015-03-25,44.4,45.41,44.33,45.25,6465275,38.0954144607,38.9619993392,38.0353541226,38.8247185664,6465275,0.0,1.0
57,2015-03-26,44.42,44.69,43.74,43.95,5496644,38.1125745573,38.3442358615,37.5291312728,37.7093122871,5496644,0.0,1.0
58,2015-03-27,47.12,47.7,46.25,46.81,12473351,40.4291875989,40.9268304004,39.6827233966,40.1632061015,12473351,0.0,1.0
