,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,69.04,69.26,68.7,69.17,2523558,54.3889368697,54.5622503997,54.1210886869,54.4913494101,2523558,0.0,1.0
1,2015-01-05,68.53,69.4264,68.45,68.94,2950670,53.9871645956,54.6933384514,53.9241414937,54.3101579924,2950670,0.0,1.0
2,2015-01-06,67.81,68.87,67.63,68.73,3441076,53.4199566792,54.2550127783,53.2781547001,54.1447223501,3441076,0.0,1.0
3,2015-01-07,68.35,68.44,67.735,68.13,2907981,53.8453626165,53.916263606,53.3608725212,53.6720490865,2907981,0.0,1.0
4,2015-01-08,69.28,69.31,68.68,68.95,2745206,54.5780061751,54.6016398383,54.1053329115,54.3180358801,2745206,0.0,1.0
5,2015-01-09,68.6,69.44,68.55,69.35,2275364,54.0423098097,54.7040523788,54.002920371,54.6331513892,2275364,0.0,1.0
6,2015-01-12,68.26,68.96,67.77,68.6,2353920,53.7744616269,54.3259137678,53.3884451283,54.0423098097,2353920,0.0,1.0
7,2015-01-13,68.73,69.33,68.33,68.66,4436908,54.1447223501,54.6173956138,53.829606841,54.089577136,4436908,0.0,1.0
8,2015-01-14,68.45,68.63,67.84,67.89,2579227,53.9241414937,54.0659434728,53.4435903424,53.482979781,2579227,0.0,1.0
9,2015-01-15,68.32,68.94,68.21,68.76,2383736,53.8217289533,54.3101579924,53.7350721883,54.1683560133,2383736,0.0,1.0
10,2015-01-16,69.17,69.26,68.02,68.26,3787830,54.4913494101,54.5622503997,53.5853923215,53.7744616269,3787830,0.0,1.0
11,2015-01-20,68.96,69.185,68.38,69.04,3281003,54.3259137678,54.5031662417,53.8689962797,54.3889368697,3281003,0.0,1.0
12,2015-01-21,68.35,68.96,67.76,68.14,3373091,54.1289665747,54.6120487928,53.6617231178,53.9626595815,3373091,0.36,1.0
13,2015-01-22,69.32,69.435,68.1,68.48,3084438,54.8971464953,54.9882193725,53.930982059,54.2319185228,3084438,0.0,1.0
14,2015-01-23,67.14,69.0,67.1,68.85,4587643,53.170721519,54.6437263153,53.1390439965,54.5249356059,4587643,0.0,1.0
15,2015-01-26,66.29,67.09,66.23,66.96,5433525,52.4975741658,53.1311246159,52.4500578821,53.0281726677,5433525,0.0,1.0
16,2015-01-27,65.66,65.931,64.87,65.69,5951173,51.9986531864,52.2132684014,51.373022117,52.0224113283,5951173,0.0,1.0
17,2015-01-28,65.12,66.205,64.95,66.05,6750329,51.5710066327,52.4302594305,51.436377162,52.3075090308,6750329,0.0,1.0
18,2015-01-29,69.03,69.46,68.22,68.6,6902248,54.6674844572,55.0080178241,54.0260146265,54.3269510903,6902248,0.0,1.0
19,2015-01-30,67.52,68.59,67.46,68.35,5926644,53.4716579827,54.3190317097,53.424141699,54.1289665747,5926644,0.0,1.0
20,2015-02-02,68.99,69.09,66.98,67.36,4608969,54.6358069347,54.7150007409,53.044011429,53.3449478927,4608969,0.0,1.0
21,2015-02-03,69.19,69.22,68.5,69.19,3345545,54.7941945472,54.8179526891,54.247757284,54.7941945472,3345545,0.0,1.0
22,2015-02-04,69.2,69.79,69.035,69.25,3075317,54.8021139278,55.2693573847,54.6714441475,54.8417108309,3075317,0.0,1.0
23,2015-02-05,69.79,70.18,69.3,69.49,3408410,55.2693573847,55.5782132291,54.8813077341,55.031775966,3408410,0.0,1.0
24,2015-02-06,69.3,69.74,68.96,69.71,2667868,54.8813077341,55.2297604816,54.6120487928,55.2060023397,2667868,0.0,1.0
25,2015-02-09,69.07,69.41,68.9,69.13,2112995,54.6991619797,54.968420921,54.5645325091,54.7466782634,2112995,0.0,1.0
26,2015-02-10,69.44,69.62,68.91,69.37,1962674,54.9921790628,55.1347279141,54.5724518897,54.9367433984,1962674,0.0,1.0
27,2015-02-11,69.47,69.87,69.0613,69.55,2232027,55.0159372047,55.3327124297,54.6922721185,55.0792922497,2232027,0.0,1.0
28,2015-02-12,69.85,69.855,69.32,69.32,2829925,55.3168736685,55.3208333588,54.8971464953,54.8971464953,2829925,0.0,1.0
29,2015-02-13,70.08,70.15,69.5,69.53,2554886,55.4990194229,55.5544550872,55.0396953466,55.0634534885,2554886,0.0,1.0
30,2015-02-17,70.19,70.46,69.63,70.0,3342295,55.5861326097,55.7999558866,55.1426472947,55.4356643778,3342295,0.0,1.0
31,2015-02-18,70.54,70.61,69.76,69.76,2771444,55.8633109316,55.918746596,55.2455992428,55.2455992428,2771444,0.0,1.0
32,2015-02-19,70.21,70.79,69.92,70.36,3245543,55.601971371,56.0612954473,55.3723093328,55.7207620804,3245543,0.0,1.0
33,2015-02-20,70.24,70.35,69.57,70.13,2358930,55.6257295129,55.7128426997,55.095131011,55.538616326,2358930,0.0,1.0
34,2015-02-23,70.68,71.01,70.46,71.01,2389109,55.9741822604,56.235521821,55.7999558866,56.235521821,2389109,0.0,1.0
35,2015-02-24,71.01,71.22,70.475,70.86,2497140,56.235521821,56.4018288141,55.8118349576,56.1167311116,2497140,0.0,1.0
36,2015-02-25,71.01,71.17,70.77,71.05,602869,56.235521821,56.362231911,56.045456686,56.2671993435,602869,0.0,1.0
37,2015-02-26,71.11,71.29,70.67,70.93,597143,56.3147156273,56.4572644785,55.9662628798,56.172166776,597143,0.0,1.0
38,2015-02-27,70.82,71.13,70.73,71.04,1997274,56.0850535891,56.3305543885,56.0137791635,56.2592799629,1997274,0.0,1.0
39,2015-03-02,71.01,71.08,70.39,70.39,1787687,56.235521821,56.2909574854,55.7445202222,55.7445202222,1787687,0.0,1.0
