,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,35.14,35.17,34.74,34.9,2405330,25.6874564749,25.7093865743,25.395055149,25.5120156794,2405330,0.0,1.0
1,2015-01-05,34.85,35.25,34.65,35.17,2507030,25.4754655136,25.7678668395,25.3292648507,25.7093865743,2507030,0.0,1.0
2,2015-01-06,34.91,35.62,34.85,34.93,2582438,25.5193257125,26.0383380659,25.4754655136,25.5339457788,2582438,0.0,1.0
3,2015-01-07,35.48,35.725,34.79,34.99,2156729,25.9359976018,26.1150934139,25.4316053148,25.5778059777,2156729,0.0,1.0
4,2015-01-08,35.67,35.84,35.56,35.59,1695606,26.0748882316,26.1991587951,25.994477867,26.0164079664,1695606,0.0,1.0
5,2015-01-09,35.28,35.675,35.05,35.46,1812140,25.7897969389,26.0785432482,25.6216661766,25.9213775355,1812140,0.0,1.0
6,2015-01-12,35.17,35.4199,34.94,35.34,1742987,25.7093865743,25.8920643026,25.541255812,25.8336571378,1742987,0.0,1.0
7,2015-01-13,35.69,36.08,35.32,35.42,3358828,26.0895082979,26.3745995906,25.8190370715,25.892137403,3358828,0.0,1.0
8,2015-01-14,35.97,36.01,35.31,35.52,1906070,26.294189226,26.3234293586,25.8117270384,25.9652377344,1906070,0.0,1.0
9,2015-01-15,36.18,36.25,35.84,36.01,1757052,26.4476999221,26.4988701541,26.1991587951,26.3234293586,1757052,0.0,1.0
10,2015-01-16,36.64,36.665,36.05,36.22,1670096,26.7839614468,26.8022365296,26.3526694912,26.4769400546,1670096,0.0,1.0
11,2015-01-20,36.78,36.84,36.4,36.82,1969055,26.8863019108,26.9301621097,26.6085206513,26.9155420434,1969055,0.0,1.0
12,2015-01-21,37.22,37.27,36.47,36.74,2035216,27.2079433692,27.244493535,26.6596908833,26.8570617782,2035216,0.0,1.0
13,2015-01-22,37.05,37.49,36.84,37.34,1960664,27.0836728058,27.4053142642,26.9301621097,27.295663767,1960664,0.0,1.0
14,2015-01-23,37.55,37.66,37.09,37.11,2065041,27.449174463,27.5295848277,27.1129129383,27.1275330046,2065041,0.0,1.0
15,2015-01-26,37.46,37.54,37.26,37.5,1270493,27.3833841647,27.4418644299,27.2371835018,27.4126242973,1270493,0.0,1.0
16,2015-01-27,37.49,37.81,37.36,37.44,2246689,27.4053142642,27.6392353248,27.3102838333,27.3687640984,2246689,0.0,1.0
17,2015-01-28,37.24,37.98,37.1,37.5,2067696,27.2225634355,27.7635058883,27.1202229715,27.4126242973,2067696,0.0,1.0
18,2015-01-29,38.2,38.25,36.76,37.12,2579829,27.9243266175,27.9608767833,26.8716818445,27.1348430378,2579829,0.0,1.0
19,2015-01-30,37.73,38.655,37.69,38.15,5672192,27.5807550597,28.2569331257,27.5515149271,27.8877764518,5672192,0.0,1.0
20,2015-02-02,37.77,38.12,37.16,37.81,3225744,27.6099951923,27.8658463524,27.1640831704,27.6392353248,3225744,0.0,1.0
21,2015-02-03,37.84,38.01,37.44,37.73,2421985,27.6611654243,27.7854359878,27.3687640984,27.5807550597,2421985,0.0,1.0
