,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,141.61,143.15,140.814,141.87,1471736,114.6575091902,115.904402518,114.0130110805,114.8680236481,1471736,0.0,1.0
1,2015-01-05,140.0,142.16,139.8,141.69,1751693,113.3539388929,115.1028282358,113.1920046945,114.7222828695,1751693,0.0,1.0
2,2015-01-06,141.85,142.94,139.85,140.61,3187950,114.8518302283,115.7343716097,113.2324882441,113.8478381981,3187950,0.0,1.0
3,2015-01-07,144.32,144.43,142.36,142.6,2171551,116.8517175787,116.9407813879,115.2647624342,115.4590834723,2171551,0.0,1.0
4,2015-01-08,145.56,146.1,144.94,145.56,2937674,117.8557096089,118.2929319447,117.3537135938,117.8557096089,2937674,0.0,1.0
5,2015-01-09,143.32,145.05,143.22,144.48,1714650,116.0420465867,117.442777403,115.9610794874,116.9812649375,1714650,0.0,1.0
6,2015-01-12,142.52,144.16,142.12,143.58,1344803,115.394309793,116.72217022,115.0704413961,116.2525610446,1344803,0.0,1.0
7,2015-01-13,141.09,144.41,140.39,142.2,2200910,114.2364802743,116.924587968,113.6697105798,115.1352150755,2200910,0.0,1.0
8,2015-01-14,139.31,140.21,138.24,140.01,2208252,112.7952659084,113.5239698012,111.9289179468,113.3620356028,2208252,0.0,1.0
9,2015-01-15,139.31,140.17,138.62,139.95,1821110,112.7952659084,113.4915829616,112.2365929238,113.3134553433,1821110,0.0,1.0
10,2015-01-16,139.72,139.96,138.22,139.04,1784806,113.1272310151,113.3215520532,111.912724527,112.5766547405,1784806,0.0,1.0
11,2015-01-20,139.38,141.27,138.3601,140.72,1836793,112.8519428778,114.3822210529,112.026159433,113.9369020072,1836793,0.0,1.0
12,2015-01-21,139.14,139.7,138.38,138.85,1682887,112.6576218397,113.1110375953,112.0422718857,112.422817252,1682887,0.0,1.0
13,2015-01-22,141.27,141.28,138.39,139.5,1897527,114.3822210529,114.3903177628,112.0503685956,112.9491033969,1897527,0.0,1.0
14,2015-01-23,142.05,142.31,140.87,141.59,1700402,115.0137644267,115.2242788846,114.058352656,114.6413157703,1700402,0.0,1.0
15,2015-01-26,142.905,143.05,141.57,141.66,1483318,115.7060331249,115.8234354188,114.6251223505,114.6979927398,1483318,0.0,1.0
16,2015-01-27,140.99,142.7999,140.87,142.75,1786867,114.1555131751,115.6209367037,114.058352656,115.5805341212,1786867,0.0,1.0
17,2015-01-28,139.62,142.45,139.56,141.6,2017027,113.0462639159,115.3376328235,112.9976836564,114.6494124803,2017027,0.0,1.0
18,2015-01-29,140.64,140.69,138.91,140.16,1873432,113.8721283278,113.9126118774,112.4713975115,113.4834862516,1873432,0.0,1.0
19,2015-01-30,142.99,143.8,141.34,143.09,5169025,115.7748551593,116.4306886629,114.4388980223,115.8558222585,5169025,0.0,1.0
20,2015-02-02,146.0,146.23,140.13,144.0,4797524,118.2119648455,118.3981891736,113.4591961219,116.5926228613,4797524,0.0,1.0
21,2015-02-03,153.75,153.89,144.77,146.36,10302858,124.4869150342,124.6002689731,117.2160695252,118.5034464026,10302858,0.0,1.0
22,2015-02-04,155.92,156.85,152.07,152.08,11006320,126.243901087,126.9968951097,123.1266677675,123.1347644774,11006320,0.0,1.0
23,2015-02-05,149.09,151.1,147.52,149.5,6986697,124.7622031715,126.4442209351,123.4483883014,125.1053013223,6986697,5.0,1.0
24,2015-02-06,148.7,149.95,148.1601,149.21,2927362,124.4358415159,125.4818724634,123.984039829,124.8626221424,2927362,0.0,1.0
25,2015-02-09,147.54,149.16,146.82,148.7,2740244,123.4651247966,124.8207809045,122.8626109708,124.4358415159,2740244,0.0,1.0
26,2015-02-10,148.22,148.48,147.0,147.99,1703408,124.034165632,124.2517400691,123.0132394272,123.8416959377,1703408,0.0,1.0
27,2015-02-11,147.46,148.48,146.55,148.39,2295846,123.695251605,124.5508677493,122.93190779,124.4753722072,2295846,0.355,1.0
28,2015-02-12,147.76,148.39,146.86,148.01,1712183,123.9469034122,124.4753722072,123.1919479907,124.1566132515,1712183,0.0,1.0
29,2015-02-13,147.1,148.8,146.94,148.23,1926835,123.3932694364,124.8192963436,123.2590551393,124.34115791,1926835,0.0,1.0
30,2015-02-17,147.53,147.61,145.66,147.0,1541495,123.75397036,123.8210775086,122.1853407622,123.3093855007,1541495,0.0,1.0
31,2015-02-18,147.23,147.48,146.53,147.16,1540979,123.5023185529,123.7120283922,122.9151310029,123.4435997979,1540979,0.0,1.0
32,2015-02-19,146.665,147.51,146.46,146.9,1273712,123.0283743161,123.7371935729,122.8564122479,123.225501565,1273712,0.0,1.0
33,2015-02-20,147.535,147.79,145.9,146.67,1596460,123.7581645568,123.9720685929,122.3866622079,123.0325685129,1596460,0.0,1.0
34,2015-02-23,148.39,148.46,147.03,148.0,1587309,124.4753722072,124.5340909622,123.3345506814,124.1482248579,1587309,0.0,1.0
