,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,112.58,113.0,110.85,111.63,5906801,72.7112842813,72.9825468448,71.593940865,72.0977141972,5906801,0.0,1.0
1,2015-01-05,108.08,111.2,107.44,110.96,11758103,69.8048996724,71.8199930012,69.3915471947,71.6649858221,11758103,0.0,1.0
2,2015-01-06,108.03,109.02,106.48,107.87,11584411,69.7726065101,70.412011124,68.7715184782,69.6692683907,11584411,0.0,1.0
3,2015-01-07,107.94,109.725,107.51,109.25,10353667,69.7144788179,70.8673447128,69.436757622,70.5605596707,10353667,0.0,1.0
4,2015-01-08,110.41,110.44,108.6,109.19,8637382,71.3097610366,71.3291369339,70.1407485605,70.5218078759,8637382,0.0,1.0
5,2015-01-09,108.21,110.22,107.672,110.14,9485522,69.8888618944,71.1870470197,69.5413874679,71.13537796,9485522,0.0,1.0
6,2015-01-12,105.88,107.47,105.56,107.47,8911462,68.3840005303,69.4109230921,68.1773242914,69.4109230921,8911462,0.0,1.0
7,2015-01-13,104.2,107.66,103.19,106.92,13319507,67.2989502763,69.5336371089,66.6466283974,69.0556983066,13319507,0.0,1.0
8,2015-01-14,103.9,104.41,101.83,103.2,14116305,67.1051913024,67.4345815581,65.7682543823,66.6530870299,14116305,0.0,1.0
9,2015-01-15,102.67,104.94,102.53,104.41,9663794,66.3107795093,67.7768890787,66.2203586548,67.4345815581,9663794,0.0,1.0
10,2015-01-16,105.12,105.14,102.47,102.47,12604555,67.893144463,67.906061728,66.18160686,66.18160686,12604555,0.0,1.0
11,2015-01-20,106.47,106.58,103.81,104.56,10406060,68.7650598457,68.8361048028,67.0470636102,67.531461045,10406060,0.0,1.0
12,2015-01-21,108.16,108.27,106.35,106.79,8270724,69.8565687321,69.9276136892,68.6875562561,68.9717360845,8270724,0.0,1.0
13,2015-01-22,108.92,109.12,106.99,108.76,7467982,70.3474247994,70.4765974487,69.1009087338,70.24408668,7467982,0.0,1.0
14,2015-01-23,106.85,108.75,106.73,108.22,7983811,69.0104878793,70.2376280475,68.9329842898,69.8953205269,7983811,0.0,1.0
15,2015-01-26,108.88,109.35,106.32,107.22,7670219,70.3215902695,70.6251459954,68.6681803587,69.2494572805,7670219,0.0,1.0
16,2015-01-27,108.26,108.812,107.63,108.11,6388680,69.9211550568,70.2776715688,69.5142612115,69.8242755698,6388680,0.0,1.0
17,2015-01-28,103.71,108.17,103.42,108.16,10525515,66.9824772856,69.8630273646,66.7951769441,69.8565687321,10525515,0.0,1.0
18,2015-01-29,103.0,104.63,101.66,104.24,13992966,66.5239143806,67.5766714723,65.6584576304,67.3247848062,13992966,0.0,1.0
19,2015-01-30,102.53,103.28,98.88,101.6,20579444,66.2203586548,66.7047560896,63.8629578054,65.6197058357,20579444,0.0,1.0
20,2015-02-02,106.06,106.13,102.97,103.98,11536211,68.5002559147,68.5454663419,66.5045384832,67.1568603621,11536211,0.0,1.0
21,2015-02-03,109.53,110.11,107.67,107.7,14266747,70.7414013797,71.1160020626,69.5400957414,69.5594716388,14266747,0.0,1.0
22,2015-02-04,108.35,109.28,107.392,108.49,10174745,69.9792827489,70.5799355681,69.3605457589,70.0697036034,10174745,0.0,1.0
23,2015-02-05,109.31,110.11,108.57,109.57,7531907,70.5993114655,71.1160020626,70.1213726632,70.7672359096,7531907,0.0,1.0
24,2015-02-06,109.61,110.46,109.11,109.66,7655368,70.7930704394,71.3420541989,70.4701388162,70.8253636017,7655368,0.0,1.0
25,2015-02-09,110.43,111.5,109.65,109.84,6402548,71.3226783015,72.0137519751,70.8189049693,70.9416189861,6402548,0.0,1.0
26,2015-02-10,110.18,110.62,108.0852,110.52,7033704,71.1612124899,71.4453923183,69.8082581613,71.3808059937,7033704,0.0,1.0
27,2015-02-11,109.98,110.18,108.29,108.98,8659281,71.0320398406,71.1612124899,69.9405309542,70.3861765942,8659281,0.0,1.0
28,2015-02-12,110.86,111.05,109.82,110.28,6618029,72.2914731711,72.4153716007,71.6132922934,71.9132569124,6618029,1.07,1.0
29,2015-02-13,112.78,112.84,111.1,111.35,7494358,73.5434994068,73.5826252267,72.4479764506,72.6110007,7494358,0.0,1.0
30,2015-02-17,112.4,112.93,111.52,112.31,7094870,73.2957025476,73.6413139565,72.7218571896,73.2370138179,7094870,0.0,1.0
31,2015-02-18,110.44,111.65,110.37,111.25,6917707,72.017592432,72.8066297993,71.9719456422,72.5457910002,6917707,0.0,1.0
32,2015-02-19,108.35,109.58,107.24,108.2,9721024,70.6547097067,71.456789014,69.9308820392,70.5568951571,9721024,0.0,1.0
33,2015-02-20,108.6,108.87,107.5,108.43,7610556,70.8177339562,70.9938001456,70.1004272586,70.7068774666,7610556,0.0,1.0
34,2015-02-23,107.86,108.5,107.35,107.79,6723605,70.3351821778,70.7525242564,70.002612709,70.289535388,6723605,0.0,1.0
35,2015-02-24,107.96,108.24,107.34,107.89,5708397,70.4003918776,70.582979037,69.996091739,70.3547450878,5708397,0.0,1.0
36,2015-02-25,108.58,108.78,107.76,108.12,4806459,70.8046920162,70.9351114158,70.2699724781,70.5047273973,4806459,0.0,1.0
37,2015-02-26,107.06,107.92,106.6,107.89,5901499,69.8135045796,70.3743079977,69.5135399607,70.3547450878,5901499,0.0,1.0
38,2015-02-27,106.68,107.73,106.57,107.52,6396479,69.5657077205,70.2504095681,69.4939770507,70.1134691986,6396479,0.0,1.0
39,2015-03-02,105.9,106.34,104.93,106.32,7339697,69.0570720622,69.3439947413,68.4245379744,69.3309528013,7339697,0.0,1.0
40,2015-03-03,105.16,106.215,104.8097,105.88,6900015,68.5745202839,69.2624826165,68.3460907056,69.0440301223,6900015,0.0,1.0
41,2015-03-04,105.16,105.64,104.44,105.64,5784826,68.5745202839,68.8875268428,68.1050104455,68.8875268428,5784826,0.0,1.0
42,2015-03-05,104.73,105.31,104.33,105.01,5156898,68.2941185749,68.6723348336,68.0332797758,68.4767057342,5156898,0.0,1.0
43,2015-03-06,103.55,104.52,103.165,104.22,7213295,67.5246441175,68.1571782053,67.2735867734,67.961549106,7213295,0.0,1.0
44,2015-03-09,103.95,105.63,103.5,103.6,7506197,67.7854829166,68.8810058728,67.4920392676,67.5572489674,7506197,0.0,1.0
45,2015-03-10,102.91,104.55,102.3301,103.79,10679023,67.107302039,68.1767411153,66.72915099,67.681147397,10679023,0.0,1.0
