,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2018-12-21,42.1733,42.6822,42.1733,42.6822,92700,19.8800887928,20.1199793678,19.8800887928,20.1199793678,182897,0.0,1.0
1,2018-12-24,42.1733,42.1733,42.1733,42.1733,0,19.8800887928,19.8800887928,19.8800887928,19.8800887928,0,0.0,1.0
2,2018-12-26,44.91,44.91,43.5,44.25,406231,21.1701429028,21.1701429028,20.5054824376,20.8590252383,801493,0.0,1.0
3,2018-12-27,44.6,45.0,43.79,45.0,330866,21.0240118786,21.2125680389,20.6421856539,21.2125680389,652798,0.0,1.0
4,2018-12-28,45.43,46.5,44.77,46.0,4501295,21.4152659113,21.9196536402,21.1041482467,21.6839584398,8881055,0.0,1.0
5,2018-12-31,48.87,48.87,45.5,45.5,5818707,23.0368488902,23.0368488902,21.4482632393,21.4482632393,11480308,0.0,1.0
6,2019-01-02,47.12,49.1,46.06,48.23,6108745,22.2119156887,23.1452686824,21.7122418638,22.7351590337,12052553,0.0,1.0
7,2019-01-03,45.13,47.0,44.78,46.56,6902591,21.273848791,22.1553488406,21.1088621507,21.9479370643,13618812,0.0,1.0
8,2019-01-04,46.02,46.96,44.86,45.66,8906759,21.6933862478,22.1364932246,21.1465733828,21.5236857035,17573035,0.0,1.0
9,2019-01-07,46.32,47.38,45.53,45.93,4925854,21.834803368,22.334477193,21.4624049514,21.6509611117,9718709,0.0,1.0
10,2019-01-08,46.87,47.82,46.39,47.14,7286293,22.0940680885,22.5418889693,21.8678006961,22.2213434968,14375856,0.0,1.0
11,2019-01-09,46.94,47.39,46.78,47.07,3299487,22.1270654166,22.339191097,22.0516429524,22.1883461687,6509887,0.0,1.0
12,2019-01-10,45.19,47.39,44.9,46.94,3563658,21.3021322151,22.339191097,21.1654289988,22.1270654166,7031097,0.0,1.0
13,2019-01-11,44.47,45.72,44.4,44.95,2699938,20.9627311264,21.5519691275,20.9297337984,21.1889985189,5326977,0.0,1.0
14,2019-01-14,42.8,44.25,42.76,44.07,3665791,20.175509157,20.8590252383,20.156653541,20.7741749661,7232605,0.0,1.0
15,2019-01-15,43.01,43.7,42.48,43.05,2829122,20.2745011412,20.5997605178,20.0246642287,20.2933567572,5581857,0.0,1.0
16,2019-01-16,42.62,43.21,42.02,42.8,2457785,20.0906588848,20.3687792214,19.8078246443,20.175509157,4849209,0.0,1.0
17,2019-01-17,43.71,43.72,42.57,42.71,3542398,20.6044744218,20.6091883258,20.0670893648,20.1330840209,6989151,0.0,1.0
18,2019-01-18,43.35,43.79,43.11,43.78,3256453,20.4347738775,20.6421856539,20.3216401813,20.6374717498,6424981,0.0,1.0
19,2019-01-22,44.06,44.65,43.31,43.88,3170925,20.7694610621,21.0475813986,20.4159182614,20.6846107899,6256235,0.0,1.0
20,2019-01-23,44.62,45.89,44.42,45.18,3151667,21.0334396866,21.6321054957,20.9391616064,21.2974183111,6218238,0.0,1.0
