,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,44.85,45.1,44.16,44.28,2204594,26.2573909492,26.4037532175,25.8534310884,25.9236849772,2204594,0.0,1.0
1,2015-01-05,45.3,45.43,44.57,44.58,3947265,26.5208430323,26.5969514118,26.0934652086,26.0993196993,3947265,0.0,1.0
2,2015-01-06,46.16,46.43,45.5,45.53,5033402,27.0243292355,27.1824004854,26.637932847,26.6554963192,5033402,0.0,1.0
3,2015-01-07,47.14,47.32,46.1,46.4,3902440,27.5980693276,27.7034501609,26.9892022911,27.1648370132,3902440,0.0,1.0
4,2015-01-08,46.51,47.67,46.26,47.33,5943256,27.2292364113,27.9083573366,27.0828741429,27.7093046516,5943256,0.0,1.0
5,2015-01-09,46.56,46.92,45.94,46.56,3419154,27.2585088649,27.4692705314,26.8955304393,27.2585088649,3419154,0.0,1.0
6,2015-01-12,47.3,47.43,46.65,46.75,2661821,27.6917411794,27.7678495589,27.3111992816,27.3697441889,2661821,0.0,1.0
7,2015-01-13,47.21,47.7401,47.04,47.44,2975401,27.6390507628,27.9493973167,27.5395244203,27.7737040497,2975401,0.0,1.0
8,2015-01-14,47.74,47.8,46.77,46.95,3607192,27.9493387717,27.9844657162,27.3814531704,27.4868340036,3607192,0.0,1.0
9,2015-01-15,48.16,48.39,47.39,47.8,3792874,28.1952273826,28.3298806696,27.744431596,27.9844657162,3792874,0.0,1.0
10,2015-01-16,48.21,48.53,47.8046,48.2,3457433,28.2244998363,28.4118435399,27.9871587819,28.2186453456,3457433,0.0,1.0
11,2015-01-20,48.17,49.61,47.96,49.56,4406320,28.2010818734,29.0441285393,28.0781375679,29.0148560856,4406320,0.0,1.0
12,2015-01-21,47.48,48.05,47.11,48.05,4241414,27.7971220126,28.1308279845,27.5805058554,28.1308279845,4241414,0.0,1.0
13,2015-01-22,48.03,48.12,47.34,47.75,4044233,28.1191190031,28.1718094197,27.7151591423,27.9551932625,4044233,0.0,1.0
14,2015-01-23,48.15,48.44,47.88,48.21,3548133,28.1893728919,28.3591531232,28.031301642,28.2244998363,3548133,0.0,1.0
15,2015-01-26,48.09,48.1504,47.56,47.91,2689031,28.1542459475,28.1896070715,27.8439579385,28.0488651143,2689031,0.0,1.0
16,2015-01-27,47.96,48.25,47.855,47.92,2004714,28.0781375679,28.2479177993,28.0166654152,28.054719605,2004714,0.0,1.0
17,2015-01-28,47.88,48.61,47.85,48.12,3041823,28.031301642,28.4586794657,28.0137381698,28.1718094197,3041823,0.0,1.0
18,2015-01-29,47.95,48.22,47.651,47.97,2855954,28.0722830772,28.2303543271,27.8972338042,28.0839920587,2855954,0.0,1.0
19,2015-01-30,47.29,48.288,47.22,48.18,6476818,27.6858866886,28.2701648641,27.6449052535,28.2069363641,6476818,0.0,1.0
20,2015-02-02,47.18,47.28,46.15,47.26,3156937,27.6214872906,27.6800321979,27.0184747448,27.6683232164,3156937,0.0,1.0
