,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,71.98,72.66,71.06,72.14,1696819,48.2672996931,48.7232841859,47.650379497,48.374590162,2100661,0.0,1.0
1,2015-01-05,69.47,72.69,69.125,71.04,4102898,46.5841804623,48.7434011488,46.3528353888,47.6369681883,5079387,0.0,1.0
2,2015-01-06,69.14,69.84,68.34,69.71,2529259,46.3628938702,46.8322896717,45.8264415258,46.7451161657,3131222,0.0,1.0
3,2015-01-07,69.71,70.32,68.9,70.0,2417990,46.7451161657,47.1541610783,46.2019581669,46.9395801405,2993471,0.0,1.0
4,2015-01-08,71.13,71.18,69.84,70.49,1648848,47.6973190771,47.7308473486,46.8322896717,47.2681572015,2041273,0.0,1.0
5,2015-01-09,69.64,71.32,69.59,71.12,1932611,46.6981765855,47.8247265089,46.664648314,47.6906134228,2392572,0.0,1.0
6,2015-01-12,68.74,69.91,67.8,69.84,1858145,46.094667698,46.8792292518,45.4643361933,46.8322896717,2300383,0.0,1.0
7,2015-01-13,69.15,69.97,68.12,69.22,2250759,46.3695995246,46.9194631776,45.6789171311,46.4165391047,2786439,0.0,1.0
8,2015-01-14,68.78,69.09,67.78,68.17,2354161,46.1214903152,46.3293655987,45.4509248847,45.7124454026,2914451,0.0,1.0
9,2015-01-15,68.59,70.17,68.5,69.19,2312500,45.9940828834,47.0535762637,45.9337319947,46.3964221418,2862875,0.0,1.0
10,2015-01-16,69.57,69.77,68.152,68.55,2745016,46.6512370054,46.7853500915,45.7003752248,45.9672602662,3398329,0.0,1.0
11,2015-01-20,70.13,70.35,69.27,69.95,1850243,47.0267536465,47.1742780412,46.4500673762,46.906051869,2290600,0.0,1.0
12,2015-01-21,71.7,71.88,69.73,69.73,2386464,48.0795413725,48.20024315,46.7585274743,46.7585274743,2954442,0.0,1.0
13,2015-01-22,72.04,72.1,70.54,70.54,1885136,48.3075336189,48.3477675448,47.3016854731,47.3016854731,2333798,0.0,1.0
14,2015-01-23,69.76,71.8099,69.69,71.34,2044311,46.7786444372,48.1532365134,46.7317048571,47.8381378175,2530857,0.0,1.0
15,2015-01-26,70.96,71.5324,69.98,70.02,2117577,47.5833229539,47.9671546064,46.9261688319,46.9529914492,2621560,0.0,1.0
16,2015-01-27,70.65,71.53,68.31,69.56,2939635,47.3754476704,47.9655452493,45.8063245629,46.6445313511,3639268,0.0,1.0
17,2015-01-28,68.6,70.85,68.39,70.85,2271901,46.0007885377,47.5095607565,45.8599697973,47.5095607565,2812613,0.0,1.0
18,2015-01-29,70.14,70.47,68.12,68.52,2551811,47.0334593008,47.2547458929,45.6789171311,45.9471433033,3159142,0.0,1.0
