,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2019-03-20,49.8,53.5,49.5,52.75,2350838,36.0052304509,38.6803178539,35.7883314723,38.1380704073,2350838,0.0,1.0
1,2019-03-21,48.98,50.0,48.2,49.99,1764671,35.4123732427,36.14982977,34.8484358982,36.142599804,1764671,0.0,1.0
2,2019-03-22,48.6,49.95,48.16,48.8,844690,35.1376345364,36.1136799402,34.8195160344,35.2822338555,844690,0.0,1.0
3,2019-03-25,49.15,49.4,48.0,48.6,440892,35.5352826639,35.7160318127,34.7038365792,35.1376345364,440892,0.0,1.0
4,2019-03-26,48.85,49.75,48.18,49.0,504734,35.3183836853,35.9690806211,34.8339759663,35.4268331746,504734,0.0,1.0
5,2019-03-27,50.1,50.78,49.0,49.0,1788588,36.2221294295,36.7137671144,35.4268331746,35.4268331746,1788588,0.0,1.0
6,2019-03-28,50.85,51.0,49.915,50.9,585438,36.7643768761,36.8728263654,36.0883750594,36.8005267058,585438,0.0,1.0
7,2019-03-29,51.63,52.48,49.18,49.52,1769027,37.3283142205,37.9428613266,35.5569725617,35.8027914042,1769027,0.0,1.0
8,2019-04-01,53.5,54.39,51.25,52.3,19663442,38.6803178539,39.3237848238,37.0535755142,37.8127219394,19663442,0.0,1.0
9,2019-04-02,56.25,57.39,54.3,55.12,17414153,40.6685584912,41.49277461,39.2587151302,39.8515723384,17414153,0.0,1.0
10,2019-04-03,56.88,57.2,55.51,57.08,15066169,41.1240463463,41.3554052568,40.1335410106,41.2686456654,15066169,0.0,1.0
11,2019-04-04,59.71,60.52,57.1,57.2,13311868,43.1701267113,43.7557539536,41.2831055973,41.3554052568,13311868,0.0,1.0
12,2019-04-05,57.24,58.98,56.27,58.39,17000788,41.3843251207,42.6423391967,40.6830184231,42.2157712054,17000788,0.0,1.0
13,2019-04-08,57.15,58.39,56.27,56.5,10764569,41.3192554271,42.2157712054,40.6830184231,40.8493076401,10764569,0.0,1.0
14,2019-04-09,56.27,57.2,56.08,56.8,9179922,40.6830184231,41.3554052568,40.54564907,41.0662066187,9179922,0.0,1.0
15,2019-04-10,55.71,56.41,55.1,55.99,9081860,40.2781403297,40.7842379465,39.8371124065,40.4805793764,9081860,0.0,1.0
16,2019-04-11,54.89,56.21,54.83,55.7,7346094,39.6852831215,40.6396386274,39.6419033257,40.2709103637,7346094,0.0,1.0
17,2019-04-12,58.3,58.33,55.93,55.93,9281662,42.1507015118,42.1723914096,40.4371995807,40.4371995807,9281662,0.0,1.0
18,2019-04-15,57.78,58.85,57.29,58.57,5727269,41.7747432822,42.5483496393,41.4204749504,42.3459105925,5727269,0.0,1.0
19,2019-04-16,58.5,58.99,57.84,58.71,6681567,42.2953008309,42.6495691626,41.8181230779,42.4471301159,6681567,0.0,1.0
20,2019-04-17,58.32,59.05,58.2,58.95,6420663,42.1651614437,42.6929489583,42.0784018522,42.6206492988,6420663,0.0,1.0
21,2019-04-18,57.77,58.61,57.55,58.36,5178855,41.7675133162,42.3748304564,41.6084540652,42.1940813075,5178855,0.0,1.0
22,2019-04-22,57.89,58.41,57.26,57.48,4401749,41.8542729077,42.2302311373,41.3987850526,41.5578443036,4401749,0.0,1.0
23,2019-04-23,57.64,57.84,57.0,57.29,5687232,41.6735237588,41.8181230779,41.2108059378,41.4204749504,5687232,0.0,1.0
24,2019-04-24,55.98,57.89,55.865,57.49,5431323,40.4733494105,41.8542729077,40.390204802,41.5650742695,5431323,0.0,1.0
25,2019-04-25,55.33,55.98,54.82,55.76,6260460,40.0034016234,40.4733494105,39.6346733598,40.3142901595,6260460,0.0,1.0
26,2019-04-26,55.25,55.6,54.95,55.3,4009795,39.9455618958,40.1986107042,39.7286629172,39.9817117256,4009795,0.0,1.0
27,2019-04-29,55.5,55.685,54.8,55.05,5935245,40.1263110447,40.2600654148,39.6202134279,39.8009625767,5935245,0.0,1.0
28,2019-04-30,56.73,57.205,55.6,55.76,6454064,41.015596857,41.3590202398,40.1986107042,40.3142901595,6454064,0.0,1.0
29,2019-05-01,56.13,57.48,55.88,56.82,7644453,40.5817988998,41.5578443036,40.4010497509,41.0806665506,7644453,0.0,1.0
30,2019-05-02,52.7,56.49,52.03,55.54,13932682,38.1019205775,40.8420776741,37.6175128586,40.1552309085,13932682,0.0,1.0
31,2019-05-03,53.3,53.35,51.72,53.2,7401851,38.5357185348,38.5718683646,37.3933839141,38.4634188752,7401851,0.0,1.0
32,2019-05-06,53.46,54.03,51.7,52.15,6089501,38.6513979901,39.0635060494,37.3789239821,37.7042724501,6089501,0.0,1.0
33,2019-05-07,52.95,53.325,52.65,52.86,7330785,38.2826697264,38.5537934497,38.0657707478,38.2176000328,7330785,0.0,1.0
34,2019-05-08,52.48,53.395,52.31,53.33,5390685,37.9428613266,38.6044032113,37.8199519053,38.5574084326,5390685,0.0,1.0
35,2019-05-09,52.93,53.14,51.55,52.26,4579758,38.2682097945,38.4200390795,37.2704744928,37.7838020756,4579758,0.0,1.0
36,2019-05-10,53.07,53.714,52.49,52.94,4758371,38.3694293178,38.8350391253,37.9500912925,38.2754397604,4758371,0.0,1.0
37,2019-05-13,50.95,52.55,50.76,52.28,4213102,36.8366765356,37.9934710882,36.6993071825,37.7982620075,4213102,0.0,1.0
38,2019-05-14,52.48,53.0,50.84,51.33,4204519,37.9428613266,38.3188195562,36.7571469101,37.1114152418,4204519,0.0,1.0
39,2019-05-15,52.95,53.325,51.67,51.98,2928861,38.2826697264,38.5537934497,37.3572340843,37.5813630289,2928861,0.0,1.0
40,2019-05-16,52.98,53.55,52.73,53.29,3689745,38.3043596243,38.7164676836,38.1236104754,38.5284885688,3689745,0.0,1.0
41,2019-05-17,50.8,52.52,50.66,52.34,4440775,36.7282270463,37.9717811904,36.6270075229,37.8416418032,4440775,0.0,1.0
42,2019-05-20,50.08,50.54,49.92,50.4,5168422,36.2076694976,36.5402479315,36.0919900423,36.4390284081,5168422,0.0,1.0
43,2019-05-21,50.63,51.19,50.02,50.28,4968460,36.6053176251,37.0101957185,36.1642897019,36.3522688167,4968460,0.0,1.0
44,2019-05-22,50.21,50.61,49.965,50.46,3019120,36.301659055,36.5908576932,36.1245248891,36.4824082039,3019120,0.0,1.0
45,2019-05-23,48.71,49.86,48.21,49.5,4919173,35.2171641619,36.0486102466,34.8556658642,35.7883314723,4919173,0.0,1.0
46,2019-05-24,49.2,49.575,48.44,49.39,2918936,35.5714324936,35.8425562169,35.0219550811,35.7088018468,2918936,0.0,1.0
47,2019-05-28,48.56,49.43,48.1,49.37,6613184,35.1087146726,35.7377217106,34.7761362387,35.6943419149,6613184,0.0,1.0
48,2019-05-29,48.71,49.43,48.01,48.2,3525856,35.2171641619,35.7377217106,34.7110665451,34.8484358982,3525856,0.0,1.0
49,2019-05-30,48.47,48.59,48.02,48.12,3777607,35.5497425958,35.6377551626,35.2196954704,35.293039276,3777607,0.7,1.0
50,2019-05-31,46.76,48.0,46.75,47.96,3396850,34.2955635193,35.2050267093,34.2882291387,35.175689187,3396850,0.0,1.0
51,2019-06-03,47.96,47.96,46.85,46.85,5905198,35.175689187,35.175689187,34.3615729443,34.3615729443,5905198,0.0,1.0
52,2019-06-04,49.93,49.93,48.64,48.68,7043092,36.6205621582,36.6205621582,35.6744270654,35.7037645876,7043092,0.0,1.0
53,2019-06-05,50.34,50.57,49.05,50.49,6413509,36.9212717613,37.0899625143,35.9751366685,37.0312874698,6413509,0.0,1.0
54,2019-06-06,51.06,51.31,50.15,50.28,6228075,37.449347162,37.6327066761,36.7819185306,36.8772654779,6228075,0.0,1.0
55,2019-06-07,51.3,51.69,50.87,51.13,5391099,37.6253722955,37.9114131375,37.3099939313,37.5006878259,5391099,0.0,1.0
56,2019-06-10,51.62,52.1,51.58,51.72,5434387,37.8600724736,38.2121227407,37.8307349513,37.9334162792,5434387,0.0,1.0
57,2019-06-11,52.04,52.17,51.56,52.0,5144357,38.1681164573,38.2634634046,37.8160661902,38.138778935,5144357,0.0,1.0
58,2019-06-12,52.49,52.64,51.68,52.06,3103878,38.4981635827,38.6081792912,37.904078757,38.1827852184,3103878,0.0,1.0
59,2019-06-13,52.88,52.95,52.04,52.68,4179766,38.7842044247,38.8355450887,38.1681164573,38.6375168134,4179766,0.0,1.0
60,2019-06-14,51.15,52.69,51.0,52.63,3919484,37.5153565871,38.644851194,37.4053408786,38.6008449106,3919484,0.0,1.0
61,2019-06-17,49.35,50.33,49.05,50.06,5787336,36.1951680855,36.9139373808,35.9751366685,36.7159091055,5787336,0.0,1.0
62,2019-06-18,49.61,50.57,49.4,49.75,5014237,36.3858619801,37.0899625143,36.2318399883,36.488543308,5014237,0.0,1.0
63,2019-06-19,48.5,50.24,48.33,49.95,5404141,35.5717457375,36.8479279557,35.4470612679,36.6352309193,5404141,0.0,1.0
64,2019-06-20,48.93,49.59,48.62,49.095,4228328,35.8871241018,36.371193219,35.6597583043,36.0081413811,4228328,0.0,1.0
65,2019-06-21,48.36,49.27,48.31,48.82,9478466,35.4690644096,36.1364930409,35.4323925068,35.8064459155,9478466,0.0,1.0
66,2019-06-24,49.58,49.7,48.32,48.51,4602352,36.3638588384,36.4518714052,35.4397268873,35.579080118,4602352,0.0,1.0
67,2019-06-25,49.69,50.223,49.05,49.49,4005218,36.4445370246,36.8354595087,35.9751366685,36.2978494134,4005218,0.0,1.0
68,2019-06-26,50.45,51.22,49.81,49.85,5244396,37.0019499475,37.566697251,36.5325495914,36.5618871137,5244396,0.0,1.0
69,2019-06-27,50.91,51.14,50.531,50.61,4097246,37.3393314535,37.5080222065,37.0613584301,37.1193000366,4097246,0.0,1.0
70,2019-06-28,49.31,51.2,49.08,51.04,6507386,36.1658305632,37.5520284899,35.9971398102,37.4346784008,6507386,0.0,1.0
71,2019-07-01,50.16,50.2,49.52,50.0,4659633,36.7892529112,36.8185904334,36.3198525551,36.6719028221,4659633,0.0,1.0
72,2019-07-02,49.4,50.06,48.76,50.0,4726195,36.2318399883,36.7159091055,35.7624396322,36.6719028221,4726195,0.0,1.0
73,2019-07-03,49.33,49.65,49.2,49.46,2479359,36.1804993243,36.4151995024,36.085152377,36.2758462717,2479359,0.0,1.0
74,2019-07-05,49.31,49.37,48.96,49.01,2529919,36.1658305632,36.2098368466,35.9091272434,35.9457991463,2529919,0.0,1.0
75,2019-07-08,48.52,49.5,48.385,49.34,5936049,35.5864144986,36.3051837939,35.487400361,36.1878337049,5936049,0.0,1.0
76,2019-07-09,47.87,48.43,47.5,48.3,4967429,35.1096797619,35.5204050735,34.838307681,35.4250581262,4967429,0.0,1.0
77,2019-07-10,47.55,48.42,47.52,48.34,3507432,34.8749795839,35.513070693,34.8529764422,35.4543956484,3507432,0.0,1.0
78,2019-07-11,47.78,48.06,47.18,47.73,4202113,35.0436703368,35.2490329926,34.603607503,35.006998434,4202113,0.0,1.0
79,2019-07-12,49.71,50.04,48.08,48.46,4328444,36.4592057858,36.7012403444,35.2637017538,35.5424082152,4328444,0.0,1.0
80,2019-07-15,50.93,50.95,49.66,49.77,4923844,37.3540002146,37.3686689758,36.422533883,36.5032120692,4923844,0.0,1.0
81,2019-07-16,52.32,52.645,50.95,50.95,6011246,38.3734791131,38.6118464814,37.3686689758,37.3686689758,6011246,0.0,1.0
82,2019-07-17,51.6,52.3,51.23,52.16,4417567,37.8454037125,38.358810352,37.5740316316,38.2561290241,4417567,0.0,1.0
83,2019-07-18,51.75,52.05,51.28,51.55,3662569,37.9554194209,38.1754508379,37.6107035344,37.8087318096,3662569,0.0,1.0
84,2019-07-19,51.52,51.83,51.5,51.77,3221517,37.7867286679,38.0140944654,37.7720599068,37.970088182,3221517,0.0,1.0
85,2019-07-22,50.88,51.57,50.6,51.504,2815169,37.3173283118,37.8234005708,37.111965656,37.774993659,2815169,0.0,1.0
86,2019-07-23,52.62,52.9,50.95,51.0,4387686,38.59351053,38.7988731858,37.3686689758,37.4053408786,4387686,0.0,1.0
87,2019-07-24,52.79,52.99,52.04,52.5,3516493,38.7181949996,38.8648826109,38.1681164573,38.5054979633,3516493,0.0,1.0
88,2019-07-25,50.77,51.99,50.3,51.64,4254577,37.2366501256,38.1314445545,36.8919342391,37.8747412347,4254577,0.0,1.0
89,2019-07-26,49.11,50.3,48.92,50.27,5066020,36.0191429519,36.8919342391,35.8797897212,36.8699310974,5066020,0.0,1.0
90,2019-07-29,48.05,48.88,47.98,48.52,4219839,35.2416986121,35.8504521989,35.1903579481,35.5864144986,4219839,0.0,1.0
91,2019-07-30,48.4,48.44,47.78,47.78,4194314,35.4984019318,35.5277394541,35.0436703368,35.0436703368,4194314,0.0,1.0
92,2019-07-31,48.44,49.43,47.95,48.49,5188502,35.5277394541,36.25384313,35.1683548064,35.5644113569,5188502,0.0,1.0
93,2019-08-01,46.85,48.6,46.78,48.15,5803209,34.3615729443,35.6450895431,34.3102322804,35.3150424177,5803209,0.0,1.0
94,2019-08-02,45.6,47.5,45.37,46.69,5346434,33.4447753738,34.838307681,33.2760846208,34.2442228553,5346434,0.0,1.0
95,2019-08-05,44.77,45.13,44.07,45.06,5147308,32.8360217869,33.1000594873,32.3226151474,33.0487188233,5147308,0.0,1.0
96,2019-08-06,44.43,45.45,43.735,45.11,4702804,32.5866528478,33.3347596653,32.0769133985,33.0853907261,4702804,0.0,1.0
97,2019-08-07,44.89,45.0,43.91,44.1,4490080,32.9240343537,33.0047125399,32.2052650584,32.3446182891,4490080,0.0,1.0
98,2019-08-08,46.79,46.82,45.19,45.197,4573351,34.317566661,34.3395698027,33.1440657707,33.149199837,4573351,0.0,1.0
99,2019-08-09,46.64,46.99,46.1,46.42,4472721,34.2075509525,34.4642542723,33.811494402,34.0461945801,4472721,0.0,1.0
100,2019-08-12,45.69,46.8,45.52,46.39,5320263,33.5107847989,34.3249010415,33.3861003293,34.0241914384,5320263,0.0,1.0
101,2019-08-13,46.85,47.76,45.58,45.78,5415836,34.3615729443,35.0290015757,33.4301066127,33.576794224,5415836,0.0,1.0
