,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,58.42,59.46,58.13,59.0,1039359,38.6967575416,39.3856419621,38.5046647705,39.0809430838,1039359,0.0,1.0
1,2015-01-05,57.99,58.52,57.7901,58.28,935313,38.4119303293,38.7629964282,38.279518795,38.6040231004,935313,0.0,1.0
2,2015-01-06,58.19,59.27,57.55,58.94,1513538,38.5444081025,39.2597880776,38.1204792283,39.0411997518,1513538,0.0,1.0
3,2015-01-07,60.19,60.24,57.63,58.03,2694378,40.2334997103,40.2669217902,38.5222892226,38.7896658613,2694378,0.55,1.0
4,2015-01-08,61.14,61.19,60.42,60.78,1797336,40.8685192273,40.9019413071,40.3872412776,40.6278802524,1797336,0.0,1.0
5,2015-01-09,59.89,61.48,59.8,61.07,1540944,40.0329672313,41.0957893702,39.9728074876,40.8217283155,1540944,0.0,1.0
6,2015-01-12,59.84,60.4,59.57,60.07,1449960,39.9995451514,40.3738724456,39.8190659203,40.1532867187,1449960,0.0,1.0
7,2015-01-13,59.25,60.5,58.71,60.3,1861845,39.6051646093,40.4407166053,39.2442061471,40.307028286,1861845,0.0,1.0
8,2015-01-14,59.28,59.4,58.63,59.32,1481198,39.6252178572,39.7054308489,39.1907308193,39.6519555211,1481198,0.0,1.0
9,2015-01-15,58.78,59.61,58.65,59.33,1790788,39.2909970589,39.8458035842,39.2040996513,39.6586399371,1790788,0.0,1.0
10,2015-01-16,59.1,59.26,58.01,58.64,2448084,39.5048983698,39.6118490253,38.7762970293,39.1974152353,2448084,0.0,1.0
11,2015-01-20,59.25,59.54,58.88,59.49,1242911,39.6051646093,39.7990126724,39.3578412185,39.7655905926,1242911,0.0,1.0
12,2015-01-21,59.64,59.68,58.96,59.02,1116580,39.8658568321,39.892594496,39.4113165463,39.4514230421,1116580,0.0,1.0
13,2015-01-22,60.94,61.005,59.73,59.98,1629435,40.7348309079,40.7782796117,39.9260165758,40.093126975,1629435,0.0,1.0
