,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,87.01,87.24,85.98,86.83,873488,52.6450138431,52.784174321,52.0218169202,52.536105643,1026348,0.0,1.0
1,2015-01-05,86.16,87.28,85.82,86.91,1101157,52.1307251203,52.8083761433,51.9250096312,52.5845092875,1293859,0.0,1.0
2,2015-01-06,86.03,87.82,85.96,86.45,1234169,52.052069198,53.1351007436,52.0097160091,52.3061883316,1450148,0.0,1.0
3,2015-01-07,87.05,87.38,85.69,86.31,932948,52.6692156653,52.8688806989,51.8463537089,52.2214819538,1096213,0.0,1.0
4,2015-01-08,87.45,87.9,87.07,87.35,681220,52.9112338878,53.1835043881,52.6813165765,52.8507293322,800433,0.0,1.0
5,2015-01-09,86.8,87.6,86.29,87.46,673156,52.5179542763,53.0019907212,52.2093810426,52.9172843434,790958,0.0,1.0
6,2015-01-12,86.73,87.41,86.02,87.19,840558,52.4756010874,52.8870320656,52.0460187425,52.7539220432,987655,0.0,1.0
7,2015-01-13,87.22,88.72,86.57,87.45,645642,52.7720734099,53.6796417442,52.3787937984,52.9112338878,758629,0.0,1.0
8,2015-01-14,88.16,88.26,86.42,86.44,754695,53.3408162327,53.4013207883,52.288036965,52.3001378761,886766,0.0,1.0
9,2015-01-15,88.97,89.18,88.0301,88.63,799869,53.8309031332,53.9579627,53.262220815,53.6251876441,939846,0.0,1.0
10,2015-01-16,89.96,90.05,88.55,88.8,663812,54.4298982338,54.4843523339,53.5767839996,53.7280453887,779979,0.0,1.0
11,2015-01-20,90.08,90.35,89.14,90.25,698279,54.5025037006,54.6658660007,53.9337608778,54.6053614451,820477,0.0,1.0
12,2015-01-21,90.87,90.98,89.07,89.76,668609,54.9804896899,55.0470447011,53.8914076888,54.3088891226,785615,0.0,1.0
13,2015-01-22,90.7,91.42,90.03,90.98,539382,54.8776319454,55.3132647458,54.4722514228,55.0470447011,633773,0.0,1.0
14,2015-01-23,91.24,91.66,90.77,90.98,444203,55.2043565457,55.4584756793,54.9199851343,55.0470447011,521938,0.0,1.0
15,2015-01-26,90.93,91.02,89.98,91.02,711740,55.0167924233,55.0712465234,54.4419991449,55.0712465234,836294,0.0,1.0
16,2015-01-27,91.3,91.7,90.592,90.71,544489,55.2406592791,55.4826775016,54.8122870253,54.883682401,639774,0.0,1.0
17,2015-01-28,90.23,92.27,89.95,91.16,698946,54.593260534,55.8275534686,54.4238477783,55.1559529012,821261,0.0,1.0
18,2015-01-29,91.54,91.74,89.75,90.23,572612,55.3858702126,55.5068793238,54.302838667,54.593260534,672819,0.0,1.0
19,2015-01-30,89.66,91.51,89.56,91.2,885895,54.248384567,55.3677188459,54.1878800114,55.1801547235,1040926,0.0,1.0
20,2015-02-02,90.48,90.78,88.93,89.86,749148,54.744521923,54.9260355899,53.806701311,54.3693936782,880248,0.0,1.0
21,2015-02-03,90.03,90.82,89.64,90.2,1075980,54.4722514228,54.9502374121,54.2362836558,54.5751091673,1264276,0.0,1.0
22,2015-02-04,88.62,89.95,88.37,89.92,1018154,53.6191371885,54.4238477783,53.4678757995,54.4056964116,1196330,0.0,1.0
23,2015-02-05,89.57,89.66,88.27,89.12,956700,54.1939304669,54.248384567,53.4073712439,53.9216599666,1124122,0.0,1.0
24,2015-02-06,85.25,89.88,84.83,89.36,1240847,51.5801336642,54.3814945893,51.3260145306,54.0668709001,1457995,0.0,1.0
