,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,75.83,76.37,75.37,75.84,947245,75.83,76.37,75.37,75.84,947245,0.0,1.0
1,2015-01-05,74.7,75.93,74.45,75.36,1220818,74.7,75.93,74.45,75.36,1220818,0.0,1.0
2,2015-01-06,73.62,75.11,73.43,74.89,1237639,73.62,75.11,73.43,74.89,1237639,0.0,1.0
3,2015-01-07,74.29,74.72,73.82,73.87,1155752,74.29,74.72,73.82,73.87,1155752,0.0,1.0
4,2015-01-08,75.77,76.06,74.84,74.87,1084425,75.77,76.06,74.84,74.87,1084425,0.0,1.0
5,2015-01-09,75.22,76.199,75.15,76.14,489972,75.22,76.199,75.15,76.14,489972,0.0,1.0
6,2015-01-12,74.42,75.466,74.23,75.45,594256,74.42,75.466,74.23,75.45,594256,0.0,1.0
7,2015-01-13,74.54,75.29,74.0,74.87,847776,74.54,75.29,74.0,74.87,847776,0.0,1.0
8,2015-01-14,74.69,74.765,73.67,73.74,811930,74.69,74.765,73.67,73.74,811930,0.0,1.0
9,2015-01-15,74.46,75.1,74.39,74.75,742408,74.46,75.1,74.39,74.75,742408,0.0,1.0
10,2015-01-16,75.05,75.15,74.4,74.4,997398,75.05,75.15,74.4,74.4,997398,0.0,1.0
11,2015-01-20,75.21,75.94,74.78,75.52,517647,75.21,75.94,74.78,75.52,517647,0.0,1.0
12,2015-01-21,75.73,75.83,74.82,74.87,848926,75.73,75.83,74.82,74.87,848926,0.0,1.0
13,2015-01-22,76.15,76.32,75.0,75.98,1358000,76.15,76.32,75.0,75.98,1358000,0.0,1.0
14,2015-01-23,75.85,76.26,75.59,76.12,751278,75.85,76.26,75.59,76.12,751278,0.0,1.0
15,2015-01-26,76.19,76.34,75.42,75.77,723906,76.19,76.34,75.42,75.77,723906,0.0,1.0
16,2015-01-27,76.04,76.56,75.62,75.71,822386,76.04,76.56,75.62,75.71,822386,0.0,1.0
17,2015-01-28,75.52,76.6,75.49,76.24,771559,75.52,76.6,75.49,76.24,771559,0.0,1.0
18,2015-01-29,76.14,76.22,75.03,75.73,650094,76.14,76.22,75.03,75.73,650094,0.0,1.0
19,2015-01-30,75.06,76.04,74.96,75.69,1003237,75.06,76.04,74.96,75.69,1003237,0.0,1.0
20,2015-02-02,75.57,75.58,74.52,75.07,1094477,75.57,75.58,74.52,75.07,1094477,0.0,1.0
21,2015-02-03,75.6,76.11,75.07,75.56,1052733,75.6,76.11,75.07,75.56,1052733,0.0,1.0
22,2015-02-04,75.96,76.25,75.1014,75.22,853640,75.96,76.25,75.1014,75.22,853640,0.0,1.0
23,2015-02-05,76.77,77.1,76.08,76.08,790869,76.77,77.1,76.08,76.08,790869,0.0,1.0
