,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,73.41,73.69,72.06,72.28,1408947,44.5445984044,44.7145001556,43.725429247,43.85892348,1408947,0.0,1.0
1,2015-01-05,74.06,74.32,72.94,73.24,1800293,44.9390131839,45.0967790957,44.2594061792,44.4414437698,1800293,0.0,1.0
2,2015-01-06,74.48,74.98,74.11,74.31,2043199,45.1938658107,45.4972617949,44.9693527823,45.090711176,2043199,0.0,1.0
3,2015-01-07,75.58,75.82,74.56,74.78,1719631,45.861336976,46.0069670484,45.2424091681,45.3759034012,1719631,0.0,1.0
4,2015-01-08,76.43,76.48,75.01,75.76,2122400,46.3771101491,46.4074497476,45.5154655539,45.9705595303,2122400,0.0,1.0
5,2015-01-09,77.0,77.36,75.96,76.47,1890404,46.7229815712,46.9414266798,46.091917924,46.4013818279,1890404,0.0,1.0
6,2015-01-12,77.89,78.05,77.16,77.27,1803308,47.2630264231,47.360113138,46.8200682861,46.8868154026,1803308,0.0,1.0
7,2015-01-13,77.09,78.03,76.79,77.97,2071558,46.7775928483,47.3479772987,46.5955552578,47.3115697806,2071558,0.0,1.0
8,2015-01-14,78.08,78.19,76.67,76.67,1460900,47.3783168971,47.4450640136,46.5227402216,46.5227402216,1460900,0.0,1.0
9,2015-01-15,78.53,78.68,77.79,78.42,1388031,47.6513732829,47.7423920782,47.2023472262,47.5846261664,1388031,0.0,1.0
10,2015-01-16,79.39,79.62,78.22,78.68,2204285,48.1732143758,48.3127765285,47.4632677727,47.7423920782,2204285,0.0,1.0
11,2015-01-20,77.98,80.08,77.445,79.94,3457183,47.3176377003,48.591900834,46.9930039971,48.5069499584,3457183,0.0,1.0
12,2015-01-21,77.73,77.92,76.77,77.53,2149673,47.1659397081,47.2812301821,46.5834194184,47.0445813144,2149673,0.0,1.0
13,2015-01-22,79.31,79.32,77.7,77.78,1805056,48.1246710183,48.130738938,47.1477359491,47.1962793066,1805056,0.0,1.0
14,2015-01-23,79.8,80.095,78.99,79.58,2127956,48.4219990828,48.6010027135,47.9304975884,48.2885048498,2127956,0.0,1.0
15,2015-01-26,80.1,80.28,79.27,79.67,1792807,48.6040366734,48.7132592277,48.1003993396,48.3431161269,1792807,0.0,1.0
