,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,172.45,174.64,170.33,173.78,1249847,149.4658920833,151.3640092399,147.628445338,150.6186298998,1249847,0.0,1.0
1,2015-01-05,169.8,171.93,169.3475,171.82,1726204,147.1690836517,149.0151975986,146.776892778,148.9198583807,1726204,0.0,1.0
2,2015-01-06,169.79,173.32,169.58,172.42,2613704,147.1604164501,150.2199386249,146.9784052159,149.4398904784,2613704,0.0,1.0
3,2015-01-07,171.04,172.34,170.05,171.97,1835878,148.2438166536,149.3705528653,147.3857636924,149.0498664051,1835878,0.0,1.0
4,2015-01-08,175.04,175.36,172.46,173.18,1819537,151.710697305,151.9880477571,149.4745592849,150.0985978021,1819537,0.0,1.0
5,2015-01-09,172.66,175.23,172.35,174.51,1393571,149.6479033174,151.875374136,149.379220067,151.2513356187,1393571,0.0,1.0
6,2015-01-12,172.57,175.0,172.49,174.06,1884709,149.5698985028,151.6760284985,149.5005608898,150.8613115454,1884709,0.0,1.0
7,2015-01-13,171.5,174.73,170.1002,173.93,1738541,148.6425079285,151.4420140545,147.4292730446,150.7486379243,1738541,0.0,1.0
8,2015-01-14,172.75,172.96,169.01,170.0,1928877,149.7259081321,149.9079193663,146.4843747231,147.3424276843,1928877,0.0,1.0
9,2015-01-15,173.85,174.46,172.08,173.29,2221250,150.6793003112,151.2079996106,149.145205623,150.19393702,2221250,0.0,1.0
10,2015-01-16,176.76,176.9,172.86,172.86,2588860,153.2014559851,153.3227968079,149.82124735,149.82124735,2588860,0.0,1.0
11,2015-01-20,179.13,179.47,177.2,178.31,2596301,155.2555827711,155.5502676264,153.5828128568,154.5448722375,2596301,0.0,1.0
12,2015-01-21,178.69,180.43,177.49,178.94,1616328,154.8742258994,156.3823189828,153.834161704,155.0909059401,1616328,0.0,1.0
13,2015-01-22,181.4,181.49,178.31,179.53,1537443,157.2230375407,157.3010423554,154.5448722375,155.6022708362,1537443,0.0,1.0
14,2015-01-23,176.01,180.74,175.55,177.56,3342836,152.551415863,156.6510022333,152.1527245881,153.8948321154,3342836,0.0,1.0
15,2015-01-26,176.66,177.94,175.17,175.94,1393780,153.1147839688,154.2241857773,151.8233709262,152.4907454516,1393780,0.0,1.0
16,2015-01-27,173.88,175.59,173.61,175.54,1387968,150.7053019161,152.1873933946,150.4712874722,152.1440573865,1387968,0.0,1.0
17,2015-01-28,171.45,175.62,171.1503,175.43,1220717,148.5991719204,152.2133949995,148.3394158876,152.0487181685,1220717,0.0,1.0
18,2015-01-29,172.89,173.24,170.05,172.14,1640567,149.8472489549,150.1506010119,147.3857636924,149.1972088328,1640567,0.0,1.0
19,2015-01-30,169.11,173.64,168.88,171.57,2194461,146.5710467393,150.497289077,146.3717011019,148.7031783399,2194461,0.0,1.0
20,2015-02-02,171.25,171.3,168.033,169.3,1475147,148.4258278878,148.469163896,145.6375891239,146.7357235703,1475147,0.0,1.0
21,2015-02-03,172.97,173.99,170.75,173.02,1649544,149.9165865679,150.800641134,147.9924678064,149.9599225761,1649544,0.0,1.0
22,2015-02-04,172.08,173.2125,171.17,172.14,1442277,149.145205623,150.1267662074,148.3564902748,149.1972088328,1442277,0.0,1.0
23,2015-02-05,173.37,174.17,172.6,172.72,1149661,150.2632746331,150.9566507634,149.5959001077,149.6999065272,1149661,0.0,1.0
24,2015-02-06,173.25,174.98,172.33,174.09,1056568,150.1592682135,151.6586940953,149.3618856637,150.8873131503,1056568,0.0,1.0
25,2015-02-09,171.64,173.2,170.96,172.29,1210487,148.7638487513,150.1159322054,148.1744790406,149.3272168572,1210487,0.0,1.0
26,2015-02-10,173.3,173.74,170.78,172.95,1497878,150.2026042217,150.5839610933,148.0184694113,149.8992521647,1497878,0.0,1.0
