,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,20.21,20.53,19.99,20.41,6398967,14.4018505121,14.6298857502,14.2450762858,14.5443725359,6398967,0.0,1.0
1,2015-01-05,19.6,20.09,19.59,20.02,7501117,13.9671583393,14.3163372977,13.9600322381,14.2664545894,7501117,0.0,1.0
2,2015-01-06,18.81,19.79,18.8,19.65,27930004,13.404196345,14.1025542619,13.3970702438,14.0027888452,27930004,0.0,1.0
3,2015-01-07,19.02,19.13,18.81,19.1,12862197,13.55384447,13.6322315832,13.404196345,13.6108532796,12862197,0.0,1.0
4,2015-01-08,19.45,19.47,19.14,19.19,14648791,13.8602668214,13.8745190237,13.6393576844,13.6749881903,14648791,0.0,1.0
5,2015-01-09,18.93,19.52,18.9,19.5,6817144,13.4897095593,13.9101495297,13.4683312557,13.8958973273,6817144,0.0,1.0
6,2015-01-12,18.64,18.98,18.53,18.9,11466437,13.2830526247,13.5253400653,13.2046655116,13.4683312557,11466437,0.0,1.0
7,2015-01-13,18.51,19.01,18.405,18.86,10613111,13.1904133092,13.5467183688,13.1155892466,13.4398268509,10613111,0.0,1.0
8,2015-01-14,18.21,18.31,17.975,18.24,14223001,12.9766302734,13.0478912853,12.8091668953,12.9980085769,14223001,0.0,1.0
9,2015-01-15,18.02,18.35,17.91,18.18,9330931,12.8412343507,13.0763956901,12.7628472376,12.9552519698,9330931,0.0,1.0
10,2015-01-16,18.3,18.325,17.91,17.96,10179251,13.0407651841,13.0585804371,12.7628472376,12.7984777435,10179251,0.0,1.0
11,2015-01-20,18.08,18.54,17.89,18.54,10925645,12.8839909578,13.2117916127,12.7485950352,13.2117916127,10925645,0.0,1.0
12,2015-01-21,17.53,18.18,17.43,17.96,28189876,12.4920553922,12.9552519698,12.4207943803,12.7984777435,28189876,0.0,1.0
13,2015-01-22,17.91,18.05,17.47,17.58,25885654,12.7628472376,12.8626126543,12.449298785,12.5276858982,25885654,0.0,1.0
14,2015-01-23,17.67,18.16,17.67,17.84,11882917,12.5918208089,12.9409997674,12.5918208089,12.7129645292,11882917,0.0,1.0
15,2015-01-26,17.93,18.04,17.64,17.73,9073390,12.7770994399,12.8554865531,12.5704425053,12.6345774161,9073390,0.0,1.0
16,2015-01-27,17.665,17.87,17.58,17.66,7305508,12.5882577583,12.7343428328,12.5276858982,12.5846947077,7305508,0.0,1.0
17,2015-01-28,17.22,17.84,17.22,17.84,7541180,12.2711462552,12.7129645292,12.2711462552,12.7129645292,7541180,0.0,1.0
18,2015-01-29,17.46,17.5,17.14,17.17,7230316,12.4421726838,12.4706770886,12.2141374457,12.2355157492,7230316,0.0,1.0
19,2015-01-30,17.3,17.58,17.16,17.23,10799857,12.3281550648,12.5276858982,12.228389648,12.2782723564,10799857,0.0,1.0
20,2015-02-02,17.88,17.97,17.41,17.52,12585477,12.741468934,12.8056038447,12.4065421779,12.484929291,12585477,0.0,1.0
21,2015-02-03,18.25,18.31,17.92,17.94,11502400,13.0051346781,13.0478912853,12.7699733387,12.7842255411,11502400,0.0,1.0
22,2015-02-04,18.35,18.48,18.14,18.22,13803769,13.0763956901,13.1690350056,12.926747565,12.9837563746,13803769,0.0,1.0
23,2015-02-05,18.63,18.68,18.25,18.25,9960932,13.2759265235,13.3115570295,13.0051346781,13.0051346781,9960932,0.0,1.0
24,2015-02-06,18.89,19.16,18.8,18.82,23096073,13.4612051545,13.6536098867,13.3970702438,13.4113224462,23096073,0.0,1.0
25,2015-02-09,18.79,18.92,18.66,18.74,9747353,13.3899441426,13.4825834581,13.2973048271,13.3543136366,9747353,0.0,1.0
26,2015-02-10,18.85,18.87,18.68,18.7,8922774,13.4327007497,13.4469529521,13.3115570295,13.3258092318,8922774,0.0,1.0
27,2015-02-11,18.78,18.86,18.69,18.82,8543270,13.3828180414,13.4398268509,13.3186831306,13.4113224462,8543270,0.0,1.0
28,2015-02-12,19.19,19.22,18.78,18.91,9822995,13.6749881903,13.6963664939,13.3828180414,13.4754573569,9822995,0.0,1.0
29,2015-02-13,19.26,19.36,19.12,19.19,4802332,13.7248708987,13.7961319106,13.625105482,13.6749881903,4802332,0.0,1.0
30,2015-02-17,19.47,19.47,19.09,19.27,8209443,13.8745190237,13.8745190237,13.6037271784,13.7319969999,8209443,0.0,1.0
31,2015-02-18,19.115,19.44,19.09,19.4,8327439,13.6215424314,13.8531407202,13.6037271784,13.8246363154,8327439,0.0,1.0
32,2015-02-19,19.2,19.26,18.76,19.04,7479731,13.6821142915,13.7248708987,13.368565839,13.5680966724,7479731,0.0,1.0
33,2015-02-20,19.39,19.4,18.92,19.18,7565731,13.8175102142,13.8246363154,13.4825834581,13.6678620891,7565731,0.0,1.0
34,2015-02-23,19.29,19.38,19.12,19.38,6071313,13.7462492023,13.810384113,13.625105482,13.810384113,6071313,0.0,1.0
35,2015-02-24,19.39,19.535,19.29,19.37,9432238,13.8175102142,13.9208386815,13.7462492023,13.8032580118,9432238,0.0,1.0
36,2015-02-25,19.4,19.53,19.24,19.53,6592898,13.8246363154,13.9172756309,13.7106186963,13.9172756309,6592898,0.0,1.0
37,2015-02-26,19.44,19.47,19.31,19.34,3978371,13.8531407202,13.8745190237,13.7605014046,13.7818797082,3978371,0.0,1.0
38,2015-02-27,19.36,19.525,19.34,19.4,6902195,13.7961319106,13.9137125803,13.7818797082,13.8246363154,6902195,0.0,1.0
39,2015-03-02,19.51,19.54,19.24,19.32,7420912,13.9030234285,13.9244017321,13.7106186963,13.7676275058,7420912,0.0,1.0
40,2015-03-03,19.49,19.55,19.34,19.42,7684670,13.8887712261,13.9315278333,13.7818797082,13.8388885178,7684670,0.0,1.0
41,2015-03-04,19.28,19.44,19.18,19.43,6020733,13.7391231011,13.8531407202,13.6678620891,13.846014619,6020733,0.0,1.0
42,2015-03-05,19.31,19.32,19.07,19.28,4869952,13.7605014046,13.7676275058,13.589474976,13.7391231011,4869952,0.0,1.0
43,2015-03-06,19.45,19.75,19.16,19.32,8028181,13.8602668214,14.0740498572,13.6536098867,13.7676275058,8028181,0.0,1.0
44,2015-03-09,19.465,19.5,19.355,19.49,7391968,13.8709559731,13.8958973273,13.79256886,13.8887712261,7391968,0.0,1.0
45,2015-03-10,19.075,19.33,19.07,19.19,6977037,13.5930380266,13.774753607,13.589474976,13.6749881903,6977037,0.0,1.0
46,2015-03-11,19.02,19.1499,18.93,19.14,8029991,13.55384447,13.6464125245,13.4897095593,13.6393576844,8029991,0.0,1.0
47,2015-03-12,19.24,19.39,18.97,19.21,15268743,13.7106186963,13.8175102142,13.5182139641,13.6892403927,15268743,0.0,1.0
48,2015-03-13,19.08,19.27,18.945,19.23,9608279,13.5966010772,13.7319969999,13.5003987111,13.7034925951,9608279,0.0,1.0
49,2015-03-16,19.25,19.3,19.1,19.2,9314310,13.7177447975,13.7533753034,13.6108532796,13.6821142915,9314310,0.0,1.0
50,2015-03-17,19.25,19.31,19.05,19.26,9765127,13.7177447975,13.7605014046,13.5752227736,13.7248708987,9765127,0.0,1.0
51,2015-03-18,19.255,19.48,19.05,19.23,9163343,13.7213078481,13.8816451249,13.5752227736,13.7034925951,9163343,0.0,1.0
52,2015-03-19,19.22,19.35,19.0,19.15,9223027,13.6963664939,13.7890058094,13.5395922676,13.6464837855,9223027,0.0,1.0
53,2015-03-20,19.48,19.5,19.21,19.33,7396687,13.8816451249,13.8958973273,13.6892403927,13.774753607,7396687,0.0,1.0
54,2015-03-23,19.29,19.6297,19.29,19.51,4967387,13.7462492023,13.9883228598,13.7462492023,13.9030234285,4967387,0.0,1.0
