,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,138.45,139.05,137.16,138.47,1112127,110.7251303323,111.2049792178,109.6934552285,110.7411252952,1112127,0.0,1.0
1,2015-01-05,135.56,138.63,135.38,137.96,1437105,108.4138582004,110.869084998,108.2699035348,110.3332537425,1437105,0.0,1.0
2,2015-01-06,135.72,136.61,134.18,135.78,2772698,108.5418179032,109.2535937501,107.3102057637,108.5898027918,2772698,0.0,1.0
3,2015-01-07,135.2,136.67,134.97,135.79,2067315,108.1259488691,109.3015786386,107.9420067963,108.5978002732,2067315,0.0,1.0
4,2015-01-08,138.46,138.57,135.965,136.13,3858422,110.7331278137,110.8211001094,108.7377561981,108.8697146417,3858422,0.0,1.0
5,2015-01-09,138.97,139.51,137.38,138.37,3029560,111.1409993664,111.5728633634,109.8693998198,110.6611504809,3029560,0.0,1.0
6,2015-01-12,137.9,139.6,137.53,139.59,1386557,110.2852688539,111.6448406962,109.9893620412,111.6368432148,1386557,0.0,1.0
7,2015-01-13,137.79,140.75,136.69,139.51,1722098,110.1972965582,112.5645510601,109.3175736015,111.5728633634,1722098,0.0,1.0
8,2015-01-14,137.35,137.82,135.4,135.83,1258766,110.3412512239,110.7188295863,108.7747026991,109.1201467327,1258766,0.62,1.0
9,2015-01-15,137.71,138.48,136.74,138.16,1482226,110.6304601823,111.2490460101,109.851202711,110.9919713804,1482226,0.0,1.0
10,2015-01-16,139.07,139.15,136.81,137.49,1681524,111.7230273586,111.7872960161,109.9074377863,110.4537213744,1681524,0.0,1.0
11,2015-01-20,138.09,139.89,136.61,139.09,1761889,110.9357363051,112.3817810973,109.7467661427,111.739094523,1761889,0.0,1.0
12,2015-01-21,138.89,139.34,137.81,138.31,1197950,111.5784228794,111.9399340775,110.7107960041,111.1124751131,1197950,0.0,1.0
13,2015-01-22,141.21,141.56,138.46,139.42,1311172,113.4422139449,113.7233893211,111.2329788457,112.0042027349,1311172,0.0,1.0
14,2015-01-23,141.32,142.41,140.33,141.16,896415,113.5305833488,114.4062438063,112.7352587131,113.402046034,896415,0.0,1.0
15,2015-01-26,140.06,141.13,139.51,141.13,1223728,112.5183519943,113.3779452874,112.0765049745,113.3779452874,1223728,0.0,1.0
16,2015-01-27,137.2,138.75,137.05,138.33,1590220,110.2207474912,111.4659527289,110.1002437585,111.1285422774,1590220,0.0,1.0
17,2015-01-28,136.4,141.92,136.13,139.0,2764641,109.5780609169,114.0125982796,109.3611541981,111.6667922834,2764641,0.0,1.0
18,2015-01-29,134.48,136.84,133.04,136.32,3133026,108.0356131386,109.9315385328,106.8787773049,109.5137922595,3133026,0.0,1.0
19,2015-01-30,133.21,135.11,132.63,132.83,3479826,107.0153482019,108.5417288159,106.5494004356,106.7100720791,3479826,0.0,1.0
20,2015-02-02,136.12,136.49,132.5,133.89,2031002,109.3531206159,109.6503631565,106.4449638673,107.5616317901,2031002,0.0,1.0
21,2015-02-03,138.95,139.095,136.47,136.9,1893141,111.6266243725,111.7431113141,109.6342959922,109.9797400259,1893141,0.0,1.0
22,2015-02-04,138.53,139.87,138.26,138.75,1500466,111.289213921,112.3657139329,111.0723072022,111.4659527289,1500466,0.0,1.0
23,2015-02-05,138.69,139.1999,138.02,138.56,1399490,111.4177512358,111.8273835911,110.8795012299,111.3133146675,1399490,0.0,1.0
24,2015-02-06,139.29,140.35,138.3,138.69,1428411,111.8997661666,112.7513258775,111.1044415309,111.4177512358,1428411,0.0,1.0
25,2015-02-09,136.94,139.26,136.63,138.65,1902148,110.0118743546,111.87566542,109.762833307,111.3856169071,1902148,0.0,1.0
26,2015-02-10,138.16,138.73,136.7,138.73,1361432,110.9919713804,111.4498855646,109.8190683823,111.4498855646,1361432,0.0,1.0
27,2015-02-11,137.21,138.24,136.32,138.09,1297443,110.2287810734,111.0562400378,109.5137922595,110.9357363051,1297443,0.0,1.0
28,2015-02-12,138.15,138.55,137.06,137.27,860934,110.9839377982,111.3052810853,110.1082773407,110.2769825665,860934,0.0,1.0
29,2015-02-13,137.61,138.2,136.97,137.7,1361709,110.5501243605,111.0241057091,110.0359751011,110.6224266002,1361709,0.0,1.0
30,2015-02-17,138.05,138.26,136.26,137.31,1242485,110.9036019764,111.0723072022,109.4655907664,110.3091168952,1242485,0.0,1.0
31,2015-02-18,138.66,138.9,137.64,137.74,755161,111.3936504893,111.5864564616,110.5742251071,110.6545609289,755161,0.0,1.0
32,2015-02-19,139.51,139.92,138.01,138.34,742822,112.0765049745,112.4058818438,110.8714676477,111.1365758596,742822,0.0,1.0
33,2015-02-20,142.24,142.55,139.04,139.32,1341241,114.2696729093,114.5187139568,111.6989266121,111.9238669131,1341241,0.0,1.0
