,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,94.91,96.65,94.52,95.14,12340245,67.3024366588,68.5363028456,67.0258804446,67.4655339134,12340245,0.0,1.0
1,2015-01-05,96.785,98.73,93.18,95.24,27530431,68.6320338429,70.0112693217,66.075661657,67.5364457632,27530431,0.0,1.0
2,2015-01-06,97.65,99.3399,96.09,98.47,22363845,69.2454213437,70.4437606938,68.1391964866,69.8268985122,22363845,0.0,1.0
3,2015-01-07,99.48,99.9,98.44,99.31,16373670,70.5431081954,70.8409379646,69.8056249573,70.4225580507,16373670,0.0,1.0
4,2015-01-08,102.3,102.45,100.29,100.8,18902291,72.5428223601,72.6491901348,71.1174941788,71.4791446129,18902291,0.0,1.0
5,2015-01-09,102.21,103.83,101.75,103.52,14605825,72.4790016953,73.6277736623,72.1528071861,73.4079469279,14605825,0.0,1.0
6,2015-01-12,101.21,103.34,100.76,102.84,12745984,71.7698831971,73.2803055982,71.450779873,72.9257463491,12745984,0.0,1.0
7,2015-01-13,97.21,101.88,95.25,101.85,27030551,68.9334092046,72.2449925909,67.5435369482,72.223719036,27030551,0.0,1.0
8,2015-01-14,99.26,100.09,95.71,96.0,16183672,70.3871021258,70.9756704792,67.8697314574,68.0753758218,16183672,0.0,1.0
9,2015-01-15,97.4,100.39,97.23,99.3,11442169,69.0681417192,71.1884060287,68.9475915745,70.4154668657,11442169,0.0,1.0
10,2015-01-16,100.71,100.89,97.07,97.42,14097738,71.4153239481,71.5429652777,68.8341326148,69.0823240892,14097738,0.0,1.0
11,2015-01-20,103.78,104.05,100.15,101.14,18838104,73.5923177374,73.7837797319,71.0182175891,71.7202449023,18838104,0.0,1.0
12,2015-01-21,103.58,105.07,102.57,103.04,12312484,73.4504940377,74.5070806,72.7342843546,73.0675700487,12312484,0.0,1.0
13,2015-01-22,105.14,105.18,101.56,104.14,12963053,74.5567188948,74.5850836348,72.0180746715,73.8476003967,12963053,0.0,1.0
14,2015-01-23,105.54,106.11,103.8,104.4,9593491,74.8403662941,75.244563838,73.6065001073,74.0319712062,9593491,0.0,1.0
15,2015-01-26,107.11,107.77,104.874,104.874,10307537,75.9536823362,76.421700545,74.3680933743,74.3680933743,10307537,0.0,1.0
16,2015-01-27,105.03,107.02,104.86,105.94,10341071,74.4787158601,75.8898616714,74.3581657154,75.1240136934,10341071,0.0,1.0
17,2015-01-28,102.45,105.5,102.35,105.32,11554534,72.6491901348,74.8120015542,72.578278285,74.6843602245,11554534,0.0,1.0
18,2015-01-29,104.18,104.5099,101.07,102.5,8410510,73.8759651366,74.1099033292,71.6706066074,72.6846460597,8410510,0.0,1.0
19,2015-01-30,104.83,106.27,103.73,104.33,13608217,74.3368921604,75.3580227977,73.5568618125,73.9823329114,13608217,0.0,1.0
20,2015-02-02,106.19,107.19,104.43,106.1,13965576,75.3012933179,76.010411816,74.0532447612,75.2374726531,13965576,0.0,1.0
21,2015-02-03,107.18,107.31,104.1,106.71,19849948,76.0033206311,76.0955060358,73.8192356568,75.6700349369,19849948,0.0,1.0
22,2015-02-04,98.43,100.21,95.81,98.93,59415804,69.7985337723,71.060764699,67.9406433072,70.1530930214,59415804,0.0,1.0
23,2015-02-05,99.9,100.9182,97.3,98.92,20641508,70.8409379646,71.5629624194,68.9972298694,70.1460018364,20641508,0.0,1.0
24,2015-02-06,97.48,100.58,97.15,99.73,21546250,69.1248711991,71.3231385433,68.8908620947,70.7203878199,21546250,0.0,1.0
25,2015-02-09,96.9,98.67,96.629,97.01,12668518,68.7135824701,69.9687222119,68.5214113571,68.7915855049,12668518,0.0,1.0
26,2015-02-10,98.32,98.75,97.12,97.75,11495107,69.7205307375,70.0254516917,68.8695885397,69.3163331936,11495107,0.0,1.0
27,2015-02-11,99.98,101.26,98.42,98.63,14529625,70.8976674444,71.805339122,69.7914425873,69.9403574719,14529625,0.0,1.0
28,2015-02-12,100.8,101.7,99.6,100.62,10659883,71.4791446129,72.1173512612,70.6282024151,71.3515032832,10659883,0.0,1.0
29,2015-02-13,101.9,101.9,100.83,101.26,11084707,72.2591749609,72.2591749609,71.5004181678,71.805339122,11084707,0.0,1.0
30,2015-02-17,103.84,103.85,101.91,102.06,10789904,73.6348648473,73.6419560322,72.2662661458,72.3726339206,10789904,0.0,1.0
31,2015-02-18,103.94,104.14,103.01,103.755,7459437,73.7057766971,73.8476003967,73.0462964938,73.5745897749,7459437,0.0,1.0
32,2015-02-19,102.73,104.31,102.55,103.4,9203786,72.8477433143,73.9681505414,72.7201019847,73.3228527081,9203786,0.0,1.0
33,2015-02-20,102.61,102.99,101.92,102.42,9965413,72.7626490945,73.0321141238,72.2733573308,72.6279165799,9965413,0.0,1.0
34,2015-02-23,104.51,104.99,102.95,102.96,8926892,74.109974241,74.4503511201,73.0037493839,73.0108405689,8926892,0.0,1.0
35,2015-02-24,104.7,105.42,104.01,104.59,7830302,74.2447067557,74.7552720743,73.7554149919,74.1667037209,7830302,0.0,1.0
36,2015-02-25,104.43,105.0,103.8997,104.84,7270157,74.0532447612,74.4574423051,73.6771992216,74.3439833454,7270157,0.0,1.0
37,2015-02-26,104.19,104.85,103.3,104.2975,6698033,73.8830563216,74.3510745304,73.2519408583,73.9592865602,6698033,0.0,1.0
38,2015-02-27,103.53,104.34,102.71,104.28,7939977,73.4150381128,73.9894240963,72.8335609444,73.9468769864,7939977,0.0,1.0
39,2015-03-02,103.83,104.3,102.8,104.3,7672808,73.6277736623,73.9610593564,72.8973816092,73.9610593564,7672808,0.0,1.0
40,2015-03-03,102.79,103.9,102.15,103.84,8348514,72.8902904242,73.6774119571,72.4364545854,73.6348648473,8348514,0.0,1.0
41,2015-03-04,103.06,104.08,101.66,102.09,8884504,73.0817524187,73.8050532868,72.0889865213,72.3939074755,8884504,0.0,1.0
42,2015-03-05,103.415,104.45,102.7199,103.43,8650683,73.3334894855,74.0674271311,72.8405812175,73.344126263,8650683,0.0,1.0
43,2015-03-06,101.81,103.75,101.71,103.0,8658882,72.195354296,73.5710441824,72.1244424462,73.0392053088,8658882,0.0,1.0
44,2015-03-09,101.37,101.98,100.19,101.54,9335877,71.8833421568,72.3159044407,71.046582329,72.0038923015,9335877,0.0,1.0
45,2015-03-10,98.83,100.55,98.7,99.87,12728946,70.0821811716,71.3018649884,69.9899957668,70.8196644096,12728946,0.0,1.0
