,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,194.41,195.73,192.7001,195.3,1877498,158.7978961032,159.8760979594,157.4012162897,159.5248655365,1877498,0.0,1.0
1,2015-01-05,188.34,194.04,187.48,193.06,3417017,153.839801204,158.4956728556,153.1373363584,157.6951896594,3417017,0.0,1.0
2,2015-01-06,184.53,188.659,183.93,188.3,3430666,150.7277185737,154.1003666526,150.2376268209,153.8071284205,3430666,0.0,1.0
3,2015-01-07,187.28,187.99,185.77,186.85,1896744,152.9739724407,153.5539143482,151.7405748629,152.6227400179,1896744,0.0,1.0
4,2015-01-08,190.27,190.82,189.25,189.35,1953237,155.4162630089,155.8655137823,154.5831070291,154.6647889879,1953237,0.0,1.0
5,2015-01-09,187.35,191.31,186.96,190.48,1942594,153.0311498119,156.2657553804,152.7125901726,155.5877951224,1942594,0.0,1.0
6,2015-01-12,185.07,187.53,184.11,187.36,2083868,151.1688011513,153.1781773377,150.3846543468,153.0393180078,2083868,0.0,1.0
7,2015-01-13,184.93,189.375,183.37,186.58,2747022,151.0544464089,154.6852094776,149.7802078517,152.4021987291,2747022,0.0,1.0
8,2015-01-14,180.23,182.51,178.1,181.18,5204532,147.2153943453,149.077743006,145.4755686229,147.9913729539,5204532,0.0,1.0
9,2015-01-15,178.49,181.6,177.5,180.18,3145103,145.7941282622,148.3344371809,144.9854768701,147.1745533659,3145103,0.0,1.0
10,2015-01-16,177.23,180.1,174.06,176.73,5124104,144.7649355813,147.1092077989,142.1756174874,144.3565257873,5124104,0.0,1.0
11,2015-01-20,175.63,178.33,174.23,177.57,3607421,143.4580242405,145.6634371281,142.3144768173,145.0426542413,3607421,0.0,1.0
12,2015-01-21,177.15,178.39,172.82,174.55,3736831,144.6995900143,145.7124463034,141.1627611983,142.5758590855,3736831,0.0,1.0
13,2015-01-22,182.04,182.59,177.25,178.81,6228147,148.6938377996,149.143088573,144.7812719731,146.0555105304,6228147,0.0,1.0
14,2015-01-23,180.49,182.98,180.42,181.43,3123379,147.4277674382,149.4616482123,147.3705900671,148.1955778509,3123379,0.0,1.0
15,2015-01-26,180.42,180.99,178.06,178.72,2736479,147.3705900671,147.8361772322,145.4428958394,145.9819967675,2736479,0.0,1.0
16,2015-01-27,176.49,178.64,176.3,177.24,3335640,144.1604890862,145.9166512004,144.0052933645,144.7731037772,3335640,0.0,1.0
17,2015-01-28,173.05,177.97,172.97,177.73,3016978,141.3506297035,145.3693820765,141.2852841365,145.1733453753,3016978,0.0,1.0
